KEY,ENGLISH,NOTES,GERMAN,FRENCH,ITALIAN,SPANISH,PORTUGUESE,PORTUGUESE BR,POLISH,RUSSIAN,TURKISH,DANISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH,JAPANESE,SIMPLIFIED CHINESE,KOREAN
GEM.SAPPHIRE.NOUN,Sapphire,,Saphir,Saphir,Zaffiro,Zafiro,Safira,de safira,,Сапфир,Safir,Safir,,Safir,,,,サファイア,蓝宝石,
GEM.SAPPHIRE.TOOLTIP,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",,"Von Saphiren wird oft geglaubt, dass sie den Träger vor Aufmerksamkeit von Dämonen schützen. Saphire sind bei Magier für den Einsatz in Himmels- und Luftmagie sehr begehrt.","Souvent censés protéger le porteur de l'attention des démons, les saphirs sont très recherchés par les mages pour une utilisation dans le ciel et la magie aérienne.","Spesso si ritiene che protegga chi lo indossa dall'attenzione dei demoni, gli zaffiri sono molto ricercati dai maghi per l'uso nel cielo e nella magia basata sull'aria.","A menudo se cree que protege al usuario de la atención de los demonios, los zafiros son muy buscados por los magos para su uso en la magia del cielo y el aire.","Muitas vezes acredita-se para proteger o usuário da atenção dos demônios, safiras são muito procuradas por magos para uso no céu e magia baseada no ar.",,,"Часто считают, что сапфиры защищают владельца от демонов, поэтому он пользуется большим спросом для использования в небесной и воздушной магии.","Genellikle kullanıcıyı iblislerden koruduğuna inanılan safir, büyücüler tarafından gök ve hava temelli büyülerde kullanmak için rağbet görür.","Ofte opfattet som beskyttende for bæreren mod dæmoners opmærksomhed, er safirer meget eftertragtede af magikere til brug i himmel- og luft-baseret magi.",,"Ofta tros skydda bäraren från demonernas uppmärksamhet, safirer är mycket eftertraktade av magiker för användning i himlen och luftbaserad magi.",,,,サファイアを身に着けている者は悪魔から身を守れると広く信じられています。また空や空気に関連する魔法と関わりがあるため、魔法使いに大きな需要があります。,人们普遍认为佩戴蓝宝石能避开邪魔，对于使用天和风系魔法的法师而言，这种宝石深受他们的追捧。,
GEM.SPINEL.ADJECTIVE,Spinel,,Spinell,en spinelle,di smeriglio,de espinela,De espinela,de espinela,,Шпинелевый,Spinel,Spinel,,Spinell-,,,,スピネルの,尖晶石,
GEM.SPINEL.NOUN,Spinel,,Spinell,Spinelle,Smeriglio,Espinela,Espinela,de espinela,,Шпинель,Spinel,Spinel,,Spinell,,,,スピネル,尖晶石,
GEM.SPINEL.TOOLTIP,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.",,"Wird oft mit himmlischen Steinen wie echten Rubinen und Saphiren verwechselt. Spinelle sind eine geringere Form von magisch aufgeladenen Edelsteinen, die je nach Farbe mit jedem der Elemente in Verbindung gebracht werden kann.","Souvent confondus avec des pierres célestes comme de vrais rubis et saphirs, les spinelles sont une forme moindre de gemme imprégnée de magie qui peut être associée à n'importe quel élément, selon la couleur.","Spesso confusi con pietre celesti come veri rubini e zaffiri, gli spinelli sono una forma minore di gemma infusa magia che può essere associata a qualsiasi elemento, a seconda del colore.","A menudo confundidas con piedras celestiales como rubíes y zafiros verdaderos, las espinelas son una forma menor de gema impregnada de magia que puede asociarse con cualquiera de los elementos, dependiendo del color.","Muitas vezes confundidos com pedras celestiais como verdadeiros rubis e safiras, os espinéis são uma forma menor de joia mágica infundida que pode ser associada a qualquer um dos elementos, dependendo da cor.",,,"Шпинель часто путают с небесными камнями, такими как настоящие рубины и сапфиры, шпинель - это меньшая форма наполненного магией драгоценного камня, который может ассоциироваться с любым из элементов, в зависимости от цвета.","Genellikle  yakutlar ve safirler gibi cennet taşlarla karıştırılan spineller, renge bağlı olarak herhangi bir elementle ilişkilendirilebilen daha aşağı seviye büyü ile aşılanmış mücevher şeklidir.","Ofte forvekslet med himmelske sten såsom ægte rubiner og safirer, er spineller en mindre form for magisk-infunderet ædelsten, som kan forbindes med et hvilket som helst af elementerne, afhængig af farve.",,"Ofta förväxlas med himmelska stenar som äkta rubiner och safirer, spineller är en mindre form av magisk infunderad pärla som kan associeras med något av elementen, beroende på färg.",,,,よくルビーやサファイアのような天石と混同されていますが、スピネルは色に応じてさまざまな元素を表す弱い魔法が込められた石です。,经常会与红宝石和蓝宝石这类真正的圣石混淆，尖晶石可以与任何元素有关，视其颜色而定。,
GEM.TANZANITE.ADJECTIVE,Tanzanite,,Tansanit,en tanzanite,di tanzanite,de tanzanita,De tanzanite,de tanzanita,,Танзанитовый,Tanzanit,Tanzanit,,Tanzanite-,,,,タンザナイトの,坦桑石,
GEM.TANZANITE.NOUN,Tanzanite,,Tansanit,Tanzanite,Tanzanite,Tanzanita,Tanzanite,de tanzanita,,Танзанит,Tanzanit,Tanzanit,,Tanzanite,,,,タンザナイト,坦桑石,
GEM.TANZANITE.TOOLTIP,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,,"Ein seltener Edelstein, der abwechselnd blau und violett sein kann. Man nimmt an, dass er aus dem materiellen Körper eines toten Gottes geformt ist.",Une pierre précieuse rare qui peut alterner entre le bleu et le violet. Il est supposé être formé à partir du corps matériel d'un dieu mort.,Una gemma rara che può alternarsi tra blu e viola. Si pensa che sia formato dal corpo materiale di un dio morto.,Una piedra preciosa rara que puede alternar entre azul y violeta. Se cree que está formado a partir del cuerpo material de un dios muerto.,Uma pedra preciosa rara que pode alternar entre azul e violeta. Acredita-se que seja formado a partir do corpo material de um deus morto.,,,"Редкий драгоценный камень, оттенок которого может переливается между синим и фиолетовым цветом. Считается, что он образован из материального тела мертвого бога.",Mavi veya menekşe arasında renk değiştirebilen nadir bir değerli taş. Ölü bir tanrının fiziksel bedeninden meydana geldikleri düşünülüyor.,"En sjælden ædelsten, der kan fåes i både blå og violet. De menes at være dannet af en død guds fysiske legeme.",,En sällsynt ädelsten som kan växla mellan blå och violett. Det tros vara bildat av en död guds materiella kropp.,,,,青色と紫色の間を行き来する、希少価値の高い宝石です。死神から身を守ることができると考えられています。,稀有的宝石，浓郁略带紫色调的蓝色。人们认为它是死亡神明的血肉形成的。,
GEM.TOPAZ.ADJECTIVE,Topaz,,Topas,en topaze,di topazio,de topacio,De topázio,de topázio,,Топазовый,Topaz,Topas,,Topas-,,,,トパーズの,黄玉,
GEM.TOPAZ.NOUN,Topaz,,Topas,Topaze,Topazio,Topacio,Topázio,de topázio,,Топаз,Topaz,Topas,,Topas,,,,トパーズ,黄玉,
GEM.TOPAZ.TOOLTIP,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",,"Manchmal mit dem häufiger vorkommenden Zitrin verwechselt, kann Topas in mehreren Farben gefunden werden, am häufigsten jedoch in einem gelblichen Braun. Er wurde zuerst auf einer Insel entdeckt, die es nicht mehr länger gibt.","Parfois confondue avec la gemme {{GEM.CITRINE.NOUN}} plus commune, la topaze peut être trouvée en plusieurs couleurs, mais le plus souvent un brun jaunâtre. Il a d'abord été découvert sur une île qui n'existe plus.","Talvolta confuso con la più comune gemma {{GEM.CITRINE.NOUN}}, il topazio può essere trovato in diversi colori ma più comunemente un marrone giallastro. Fu scoperto per la prima volta su un'isola che non esiste più.","A veces confundido con la gema más común {{GEM.CITRINE.NOUN}}, el topacio se puede encontrar en varios colores, pero más comúnmente un marrón amarillento. Fue descubierto por primera vez en una isla que ya no existe.","Às vezes confundido com a gema {{GEM.CITRINE.NOUN}} mais comum, topázio pode ser encontrado em várias cores, mas mais comumente um marrom amarelado. Foi descoberto pela primeira vez numa ilha que já não existe.",,,"Иногда его путают с более распространенным драгоценным камнем {{GEM.CITRINE.NOUN}}, топаз встречается в нескольких цветах, но чаще всего имеет желтовато-коричневый оттенок. Впервые он был обнаружен на острове, который больше не существует.",Bazen daha kolay bulunan {{GEM.CITRINE.NOUN}} karıştırılan topaz birkaç renkte bulunabilir ancak genellikle kahverengiye çalan sarı rengindedir. İlk defa artık olmayan bir adada keşfedildi.,"Nogle gange forvekslet med den mere almindelige {{GEM.CITRINE.NOUN}} ædelsten, findes topas i flere farver, men oftest en gulbrun. Det blev først opdaget på en ø, der ikke længere eksisterer.",,"Ibland förväxlas med den vanligare ädelstenen {{GEM.CITRINE.NOUN}}, finns topas i flera färger men oftast gulbrun. Den upptäcktes först på en ö som inte längre existerar.",,,,ときどきより一般的な{{GEM.CITRINE.NOUN}}と混同されますが、トパーズはいくつかの色を持つものの普通は黄色がかった茶色です。この宝石が最初に発見された島は、もはや存在しません。,有时候容易与更常见的{{GEM.CITRINE.NOUN}}混淆，呈现的颜色较多，但最常见的为黄褐色。最初发现的地方是一座已经不复存在的岛屿。,
GEM.TOURMALINE.ADJECTIVE,Tourmaline,,Turmalin,en tourmaline,di tormalina,de turmalina,De turmalina,de turmalina,,Турмалиновый,Turmalin,Turmalin,,Turmalin-,,,,トルマリンの,电气石,
GEM.TOURMALINE.NOUN,Tourmaline,,Turmalin,Tourmaline,Tormalina,Turmalina,Turmalina,de turmalina,,Турмалин,Turmalin,Turmalin,,Turmalin,,,,トルマリン,电气石,
GEM.TOURMALINE.TOOLTIP,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,,Oftmals zusammen mit Kassiteriterz gefunden. Manchmal wird er mit Erdmagie in Verbindung gebracht.,Souvent trouvé à côté de {{ORE.CASSITERITE.ADJECTIVE}} minerai. Il est parfois associé à la magie de la terre.,Spesso trovato accanto a {{ORE.CASSITERITE.ADJETTIVE}} ore. A volte è associato alla magia della terra.,A menudo se encuentra junto al mineral {{ORE.CASSITERITE.ADJECTIVE}}. A veces se asocia con la magia de la tierra.,Frequentemente encontrado junto com {{ORE.CASSITERITE.ADJECTIVE}} minério. Às vezes é associado com a magia da Terra.,,,Часто встречается вместе с {{ORE.CASSITERITE.ADJECTIVE}} руды. Иногда это связано с магией земли.,Genellikle {{ORE.CASSITERITE.ADJECTIVE}} ile beraber bulunan cevher. Bazen yeryüzü büyüsü ile ilişkilendirilir.,Ofte fundet sammen med {{ORE.CASSITERITE.ADJECTIVE}}malm. Det bliver nogen gange associeret med jordmagi.,,Ofta hittas tillsammans med {{ORE.CASSITERITE.ADJEKTIVAL}} malm. Det är ibland förknippat med jordmagi.,,,,{{ORE.CASSITERITE.ADJECTIVE}}鉱石に混じって発見されることの多い宝石です。大地の魔法に関連付けられることがあります。,通常能在{{ORE.CASSITERITE.ADJECTIVE}}附近发现。它有时候与土系魔法有关。,
GEM.TURQUOISE.ADJECTIVE,Turquoise,,Türkis,en turquoise,di turchese,de turquesa,De turquesa,de turquesa,,Бирюзовый,Turkuaz,Turkis,,Turkos-,,,,ターコイズの,绿松石,
GEM.TURQUOISE.NOUN,Turquoise,,Türkis,Turquoise,Turchese,Turquesa,Turquesa,de turquesa,,Бирюза,Turkuaz,Turkis,,Turkos,,,,ターコイズ,绿松石,
GEM.TURQUOISE.TOOLTIP,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,,"Ein blaugrünes Mineral, das häufig in Dekorationen verwendet wird. Man nimmt an, dass es dem Träger Glück bringt. Es ist oft mit dem Element Erde durchdringen.",Un minéral bleu-vert souvent utilisé dans les décorations. On pense qu'il porte bonne chance au porteur. Il est souvent infusé avec l'élément de la terre.,Un minerale blu-verde spesso usato nelle decorazioni. Si pensa che porti fortuna al portatore. È spesso infuso con l'elemento della terra.,Un mineral azul-verdoso a menudo utilizado en decoraciones. Se cree que trae buena suerte al portador. A menudo se infunde con el elemento de la tierra.,Um mineral azul-verde freqüentemente usado em decorações. Pensa-se que trará boa sorte ao portador. Muitas vezes é infundido com o elemento da terra.,,,"Сине-зеленый минерал, который часто используется в декорациях. Считается, что он приносит удачу. В нем часто встречается элемент земли.",Mavi-yeşil renge sahip genellikle dekorasyonda kullanılan bir mineral. Taşıyıcısına iyi şans getirdiğine inanılır. Genellikle toprak elementi ile birleiştirilir.,"Et blågrønt mineral, der ofte bruges i udsmykninger. Det menes at bringe held og lykke til bæreren. Det er ofte infunderet med jordelement.",,Ett blågrönt mineral som ofta används i dekorationer. Det är tänkt att bringa lycka till bäraren. Det är ofta infunderat med jordens element.,,,,装飾品として良く使われる青緑色の鉱石です。持つものに幸運をもたらすとされています。時々、大地の元素を込められることがあります。,蓝绿色的矿物，可作首饰。据说能为佩戴者带来好运。通常为它灌注土系元素。,

GOAL.ABANDON_JOB.DESCRIPTION,Abandoning task,,Aufgabe abbrechen,,,Dejando la tarea,,,,"Отказ от задачи ",,Forlader opgave,,,,,,タスクを放棄している,放弃任务,
GOAL.ADD_TO_INVENTORY.DESCRIPTION,Collecting {{targetDescription}},,Sammelt {{targetDescription}},Collecte: {{targetDescription}},Sta raccogliendo: {{targetDescription}},Recogiendo {{targetDescription}},A recolher {{targetDescription}},Coletando {{targetDescription}},,Сбор: {{targetDescription}}," {{targetDescription}} toplanıyor",Indsamler {{targetDescription}},,Samla {{targetDescription}},,,,{{targetDescription}}を取得している,正在采集{{targetDescription}},
GOAL.COMBAT.DESCRIPTION,Attacking {{targetDescription}},,Angriff auf {{targetDescription}},,,Atacando a {{targetDescription}},,,,"Атакующий {{targetDescription}} ",,Angriber {{targetDescription}},,,,,,{{targetDescription}}を攻撃している,正在攻击{{targetDescription}},
GOAL.DRINK.DESCRIPTION,Drinking {{targetDescription}},,Trinkt {{targetZoneMaterial}},Boire {{targetZoneMaterial}},Bere {{targetZoneMaterial}},Bebiendo {{targetZoneMaterial}},Beber {{targetZoneMaterial}},,,Пьющий{{targetZoneMaterial}}," {{targetZoneMaterial}} içiliyor",Drikker {{targetDescription}},,Dricka {{targetZoneMaterial}},,,,{{targetDescription}}を飲んでいる,正在饮用{{targetDescription}},
GOAL.DUMP_LIQUID.DESCRIPTION,Dumping contents of {{targetDescription}},,Entsorgt Inhalt von {{targetDescription}},,Scaricare il contenuto di {{targetDescription}},Vaciando {{targetDescription}},,,,Выгрузка содержимого {{targetDescription}},,Tømmer indhold af {{targetDescription}},,,,,,{{targetDescription}}から液体を排出している,正在清空{{targetDescription}},
GOAL.EAT.DESCRIPTION,Eating {{targetDescription}},,Isst {{targetDescription}},Mange {{targetDescription}},Mangiare {{targetDescription}},Comiendo {{targetDescription}},Comer {{targetDescription}},,,Кушающий {{targetDescription}},{{targetDescription}} yeniliyor,Spiser {{targetDescription}},,Äta {{targetDescription}},,,,{{targetDescription}} を食べている,正在吃{{targetDescription}},
GOAL.EXTINGUISH_FIRE.DESCRIPTION,Putting out a fire,,Löscht ein Feuer,,Spegnere il fuoco,Apagando un incendio,,,,Тушит пожар,,Slukker ildebrand,,,,,,着火している,正在灭火,
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,Fleeing from {{targetDescription}},,Flucht vor {{targetDescription}},,In fuga da {{targetDescription}},Huyendo de {{targetDescription}},,,,Убегает от {{targetDescription}},,Flygter fra {{targetDescription}},,,,,,{{targetDescription}}から逃げている,正在逃离{{targetDescription}},
GOAL.HAULING.DESCRIPTION,Hauling {{targetDescription}},,Transportiert {{itemDescription}},Transporte: {{itemDescription}},Sta trasportando: {{itemDescription}},Transportando {{itemDescription}},Carregar {{itemDescription}},Transportando {{targetDescription}},,Переноска: {{itemDescription}},{{itemDescription}} taşınıyor,Fragter {{targetDescription}},,Släpa {{itemDescription}},,,,{{targetDescription}}を運んでいる,正在搬运{{targetDescription}},
GOAL.IDLE.DESCRIPTION,Idle,,Untätig,Libre,Non sta facendo niente,Descansando,Inativo,À toa,,Бездельничает,Boşta,Inaktiv,,Inaktiv,,,,何もしていない,闲置,
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,Setting up camp,,Schlägt ein Lager auf,,,,,,,,,Slår lejr,,,,,,,正在搭建营地,
GOAL.INVADER.RETREAT.DESCRIPTION,Retreating from map,,Zieht sich von der Karte zurück,,,,,,,,,Trækker sig ud af kortet,,,,,,,正在撤离地图,
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,Raiding stockpiles,,Plündert Lagerbestände,,,,,,,,,Plyndrer lagre,,,,,,,正在劫掠仓库,
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,Moving into combat,,Zieht in den Kampf,,,,,,,,,Går ind i kamp,,,,,,,正在奔赴战斗,
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,Guarding a position,,Verteidigt eine Position,,,,,,,,,Bevogter en position,,,,,,,正在防守,
GOAL.MILITARY.TRAINING.DESCRIPTION,Weapon training,,Trainiert mit einer Waffe,,,,,,,,,Våbentræning,,,,,,,正在训练武器,
GOAL.ON_FIRE.DESCRIPTION,On fire!,,Brennt!,,A fuoco!,¡En llamas!,,,,Горит!,,Brænder!,,,,,,炎上している！,着火了！,
GOAL.REFILL_WATERSKIN.DESCRIPTION,Refilling waterskin,,Füllt den Wasserschlauch auf,,,,,,,,,Fylder drikkeskind,,,,,,,正在装水,
GOAL.SLEEP.DESCRIPTION,Going to sleep,,Geht schlafen,Va dormir,Sta andando a dormire,Yendo a dormir,A ir para a cama,Indo dormir,,Собирается спать,Uyumaya gidiyor,Går i seng,,Gå till sängs,,,,眠ろうとしている,去睡觉,
GOAL.TRANSFER_LIQUID.DESCRIPTION,Transferring {{targetZoneMaterial}},,Füllt {{targetZoneMaterial}} um,Transfère: {{targetZoneMaterial}},Sta trasferendo: {{targetZoneMaterial}},Transfiriendo {{targetZoneMaterial}},A transferir {{targetZoneMaterial}},Transferindo {{targetZoneMaterial}},,Переносит: {{targetZoneMaterial}},{{targetZoneMaterial}} aktarılıyor,Overfører {{targetZoneMaterial}},,Överföra {{targetZoneMaterial}},,,,{{targetZoneMaterial}}を運んでいる,正在转移{{targetZoneMaterial}},

GUI.ADD_REMOVE_TILES,Add/remove tiles,,Felder hinzufügen/entfernen,Ajouter/retirer des cases,Aggiungi/Rimuovi caselle,Añadir/eliminar casillas,Adicionar/remover mosaicos,Adicionar/remover áreas,,Добавление/удаление клеток,Karo ekle/çıkar,Tilføj/fjern felter,,Lägg till/ta bort brickor,,,,タイルの追加/削除,添加/移除区格,
GUI.ADD_TILES,Add tiles,,Felder hinzufügen,Ajouter des cases,Aggiungi caselle,Añadir casillas,Adicionar mosaicos,Adicionar áreas,,Добавить клетки,Karo ekle,Tilføj felter,,Lägg till paneler,,,,タイル追加,添加区格,
GUI.AMBIENT_EFFECT_VOLUME,Ambient Atmosphere,,Atmosphäre,,Volume effetto atmosfera ambiente:,,,,,,,Omgivende atmosfære,,,,,,,环境氛围,
GUI.AVAILABLE_PROGRESS_BAR,{{item}} Available:,,{{Item}} verfügbar:,,,,,,,,,{{item}} tilgængelig:,,,,,,,可用{{item}}：,
GUI.BACK_LABEL,Back,,Zurück,"Retour ",Indietro,Atrás,Anterior,Voltar,,Назад,Geri,Tilbage,,"Tillbaka ",,,,戻る,返回,
GUI.BUILD.BRIDGE,Bridge,,Brücke,Pont,Ponte,Puente,Ponte,,,Мост,Köprü,Bro,,Bron,,,,架橋,桥,
GUI.BUILD.DOORS,Doors,,Türen,Portes,Porte,Puertas,Portas,Portas,,Двери,Kapı,Dør,,Dörrar,,,,ドア,门,
GUI.BUILD.FLOOR,Flooring,,Fußboden,,Pavimentazione,Suelo,,,,Полы,,Gulv,,,,,,床,地板,
GUI.BUILD.PILLARS,Pillars,,Stützpfeiler,,,,,,,,,Søjler,,,,,,,柱子,
GUI.BUILD.PIPING,Pipes,,Rohre,,Tubi,Tuberías,,,,Трубы,,Rør,,,,,,配管,管道,
GUI.BUILD.POWER,Power,,Energie,,Potenza,Energía,,,,Энергия,,Kraft,,,,,,動力,动力,
GUI.BUILD.ROOFING,Roofing,,Dächer,,Tetto,Tejado,,,,Крыша,,Tagdækning,,,,,,屋根,屋顶,
GUI.BUILD.WALLS,Walls,,Wände,Murs,Pareti,Paredes,Paredes,Paredes,,Стены,Duvar,Mure,,Väggar,,,,壁,墙壁,
GUI.BUILD_FURNITURE,Furniture,,Möbel,Meubles,Mobili,Muebles,Mobília,Mobília,,Мебель,Mobilya,Møbler,,Möbler,,,,建造物,家具,
GUI.BUILD_LABEL,Build,,Bauen,"Construire ",Costruisci,"Construir ","Construir ",Construir,,Строить,İnşa Et,Byg,,Bygg,,,,建築,建造,
GUI.CANCEL_LABEL,Cancel,,Abbrechen,"Annuler ",Annulla,"Cancelar ","Cancelar ",Cancelar,,Отмена,İptal,Annuller,,"Avbryt ",,,,取消,取消,
GUI.CHANGE_PROFESSION_LABEL,Choose New Profession,,Beruf wechseln,Changer de profession,Cambia professione,Cambiar profesión,Mudar de profissão,,,Сменить профессию,Meslek Değiştir,Vælg nyt erhverv,,Byt yrke,,,,職業を割り当てる,更改职业,
GUI.CHANGE_WEAPON_LABEL,Select weapon,,Waffe auswählen,,Seleziona l'arma,Seleccionar arma,,,,Сменить оружие,,Vælg våben,,,,,,武器を選択,选择武器,
GUI.COMBAT_LABEL,Combat,,Kampf,,,,,,,,,Kamp,,,,,,,战斗,
GUI.CONSTRUCTION_LABEL,Construction,,Konstruktion,,,,,,,,,Konstruktion,,,,,,,建筑,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,Maintaining,,Beibehalten,,Mantenere,Mantener,,,,"Поддержание ",Sabit Düzey,Vedligeholde,,,,,,生産目標,维持,
GUI.CRAFTING_MANAGEMENT.SUBTITLE,{{craftingType}} ({{profession}}),,{{craftingType}} ({{profession}}),,,,,,,,,{{craftingType}} ({{profession}}),,,,,,,{{craftingType}} ({{profession}}),
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,Crafted With,,Hergestellt mit,,,,,,,,,Lavet med,,,,,,,制作材料：,
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,Item,,Gegenstand,,,,,,,,,Objekt,,,,,,,物品,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,Management,,,,,,,,,,,Administration,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,Limit,,,,,,,,,,,Begrænsning,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,Quantity,,,,,,,,,,,Mængde,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,Decrement,,,,,,,,,,,Fald,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,Increment,,,,,,,,,,,Stigning,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TITLE,Crafting,,Handwerk,,"Creazione di ",Creando,,,,Ремесло,Üretim,Skabe,,,,,,クラフト,制作,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,Current total: {{quantity}},,Gesamt: {{quantity}},,Totale attuale: {{quantity}},Total actual: {{quantity}},,,,Текущий итог: {{quantity}},Anlık toplam: {{quantity}},Nuværende mængde: {{quantity}},,,,,,現在の所持数:{{quantity}}個,目前总数：{{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,({{quantity}} in total),,({{quantity}} insgesamt),,({{quantity}} in totale),({{quantity}} en total}},,,,Всего ({{quantity}},Toplam) ({{quantity}},({{quantity}} mængde),,,,,,(全体で{{quantity}}個),（总计{{quantity}}）,
GUI.CREDITS.AND_YOU_TITLE,And You! Thanks For Playing!,,Und Du! Danke fürs Mitmachen!,,,,,,,,,Og dig! Tak fordi du spiller spillet!,,,,,,,,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,Character Artists,,Charakter Künstler,,,,,,,,,Karaktérkunstnere,,,,,,,,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,Concept Artwork,,Konzeptzeichnungen,,,,,,,,,Konceptkunst,,,,,,,,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,Environment Artists,,Landschaft,,,,,,,,,Landskabskunstnere,,,,,,,,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,Lead Design & Programming,,Leitung Design & Programmierung,,,,,,,,,Ledende design & Programmering,,,,,,,,
GUI.CREDITS.DEVELOPERS.LEAD_UI,Lead 2D & UI Artist,,Leitender 2D & UI Künstler,,,,,,,,,Ledende 2D & UI-kunstner,,,,,,,,
GUI.CREDITS.DEVELOPERS.MUSIC,Music & Sound Effects,,Musik und Soundeffekte,,,,,,,,,Musik og Lydeffekter,,,,,,,,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,Additional Music Tracks,,Zusätzliche Musikstücke,,,,,,,,,Yderligere Musiknumre,,,,,,,,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,Programming,,Programmierung,,,,,,,,,Programmering,,,,,,,,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,Special Thanks,,Besonderer Dank,,,,,,,,,Speciel tak til,,,,,,,,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,Special Thanks to our Founding Backers,,Besonderen Dank an unsere Gründungshelfer,,,,,,,,,Speciel tak til vores stiftende støtter,,,,,,,,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,Additional Thanks to our Patreon and Kickstarter Backers,,Zusätzlicher Dank an unsere Patreon- und Kickstarter-Unterstützer,,,,,,,,,Yderligere tak til vores Patreon og Kickstarter støtter,,,,,,,,
GUI.CROP_SELECTION,Crop:,,Pflanze:,Culture:,Coltura:,Cosecha:,Plantação:,Cultivo:,,Обрезать:,Mahsül:,Afgrøde:,,Beskära:,,,,Crop:,农作物：,
GUI.CROP_SELECTION.DESCRIPTION,{{plantDescription}} - {{planting}} - {{usage}},,{{plantDescription}} - {{planting}} - {{usage}},,,,,,,,,{{plantDescription}} - {{planting}} - {{usage}},,,,,,,{{plantDescription}} - {{planting}} - {{usage}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,Can not be planted,,Kann nicht gepflanzt werden,,,,,,,,,Kan ikke plantes,,,,,,,无法种植,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,Plant in {{season1}},,Anpflanzen in {{season1}},,,,,,,,,Plant i {{season1}},,,,,,,在{{season1}}种植,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,Plant in {{season1}} or {{season2}},,Anpflanzen in {{season1}} oder {{season2}},,,,,,,,,Plant i {{season1}} eller i {{season2}},,,,,,,在{{season1}}或{{season2}}种植,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,"Plant in {{season1}}, {{season2}} or {{season3}}",,"Anpflanzen in {{season1}}, {{season2}} oder {{season3}}",,,,,,,,,"Plant i {{season1}}, {{season2}} eller om {{season3}}",,,,,,,在{{season1}}，{{season2}}或{{season3}}种植,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,Planted all year round,,Ganzjährige Pflanzung,,,,,,,,,Plantet hele året rundt,,,,,,,全年种植,
GUI.DATE_TIME_YEAR_LABEL,"{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}",,"{{timeOfDay}}, Tag {{dayNumber}}, Jahr {{year}}","{{timeOfDay}}, jour {{dayNumber}}",,"{{timeOfDay}}, día {{dayNumber}}","{{timeOfDay}}, dia {{dayNumber}}","{{timeOfDay}}, dia {{dayNumber}}",,"{{timeOfDay}}, день {{dayNumber}}, год {{year}}","{{timeOfDay}}, Gün {{dayNumber}}","{{timeOfDay}}, Dag {{dayNumber}}, År {{year}}",,,,,,{{year}}年目/{{dayNumber}}日目/{{timeOfDay}},{{timeOfDay}}，第{{dayNumber}}天，第{{year}}年,
GUI.DAY_LABEL,Day {{dayNumber}},,Tag {{dayNumber}},,,,,,,,,Dag {{dayNumber}},,,,,,,第{{dayNumber}}天,
