KEY,NOTES,ENGLISH,SPANISH
GEM.TURQUOISE.ADJECTIVE,,Turquoise,de turquesa
GEM.TURQUOISE.NOUN,,Turquoise,Turquesa
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Un mineral azul-verdoso a menudo utilizado en decoraciones. Se cree que trae buena suerte al portador. A menudo está infunfida del elemento tierra.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,Dejando la tarea
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Recogiendo {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},Atacando a {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Bebiendo {{targetZoneMaterial}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},Vaciando {{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Comiendo {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,Apagando un incendio
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},Huyendo de {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportando {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Descansando
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,Acampando
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,Retirándose
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,Desbalijando las reservas
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,Entrando en combate
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,Vigilando
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,Entrenando con armamento
GOAL.ON_FIRE.DESCRIPTION,,On fire!,¡En llamas!
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,Rellenando la cantinplora de cuero
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Yendo a dormir
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Transfiriendo {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Añadir/eliminar casillas
GUI.ADD_TILES,,Add tiles,Añadir casillas
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,Sonido Ambiente
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,{{item}} Disponible:
GUI.BACK_LABEL,,Back,Atrás
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Puente
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Puertas
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,Suelo
GUI.BUILD.PILLARS,,Pillars,Pilares
GUI.BUILD.PIPING,,Pipes,Tuberías
GUI.BUILD.POWER,,Power,Energía
GUI.BUILD.ROOFING,,Roofing,Tejados
GUI.BUILD.WALLS,,Walls,Paredes
GUI.BUILD_FURNITURE,,Furniture,Muebles
GUI.BUILD_LABEL,,Build,Construir
GUI.CANCEL_LABEL,,Cancel,Cancelar
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Cambiar profesión
GUI.CHANGE_WEAPON_LABEL,,Select weapon,Seleccionar arma
GUI.COMBAT_LABEL,,Combat,Combate
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,Construcción
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Mantener
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),{{craftingType}} ({{profession}})
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,Fabricado con
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,Objeto
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management,Gestión
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit,Límite
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity,Cantidad
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement,Decremento
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment,Incremento
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Creando
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Total actual: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),({{quantity}} en total)
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,¡Y a tí! ¡Gracias por jugar!
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,Diseño de Personajes
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,Diseño Artístico
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,Diseño Ambiental
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,Dirección de Diseño y Programación
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,Dirección de Diseño 2D e Interfaz
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,Música y Efectos de Sonido
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,Pistas de Música Adicionales
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,Programación
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,Agradecimientos
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,Muchas gracias a nuestros Patrocinadores Fundacionales
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,Gracias también a nuestros patrocinadores de Patreon y Kickstarter
GUI.CREDITS.TRANSLATORS_TITLE,,Translations,
GUI.CROP_SELECTION,,Crop:,Cultivo:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},{{plantDescription}} - {{planting}} - {{usage}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,No puede ser plantado
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},Plantar en {{season1}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},Plantar en {{season1}} o {{season2}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}","Plantar en {{season1}}, {{season2}} o {{season3}}"
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,Plantado durante todo el año
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, Día {{dayNumber}}, Año {{year}}"
GUI.DAY_LABEL,,Day {{dayNumber}},Día {{dayNumber}}
GUI.DECONSTRUCT_LABEL,,Demolish,Demoler
GUI.DIALOG.CANCEL_BUTTON,,Cancel,Cancelar
GUI.DIALOG.CONFIRM,,Confirm,Confirmar
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,¿Seguro que quieres eliminar {{name}}?
GUI.DIALOG.DISMISS,,Dismiss,Despedir
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Ya existe una habitación con ese nombre.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,No se pudo cargar el archivo guardado porque no es compatible con esta versión del juego.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Ha ocurrido un error
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Se produjo un error inesperado al cargar el juego.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Se produjo un error inesperado al guardar el juego.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,Ocultar Estas Notificaciones
GUI.DIALOG.INFO_TITLE,,Information,Información
GUI.DIALOG.JUMP_TO,,Go to Location,Ir a la Ubicación
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,"La traducción del idioma seleccionado está incompleta y puede faltarle texto. De ser así, se utilizará un lenguaje alternativo (Inglés)."
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Has seleccionado un conjunto de Modos de Juego diferente. Estos se aplicarán cuando se reinicie el juego.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Uno o varios Modos de Juego son incompatibles con esta versión del juego y han sido desactivados. Puedes buscar actualizaciones en el menú de Modos de Juego.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Cambiar nombre de la Habitación
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,Cambiar nombre del Colono
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Debe reiniciar el juego para que este cambio surta efecto
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,Ya tienes una partida guardada para el asentamiento {{name}}. Empezar una partida nueva sobrescribirá el archivo de guardado ¿Está seguro de que desea continuar?
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,Debe especificar un nombre para el asentamiento.
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,Configuración de las Reservas
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,Haz click aquí para unirte a nuestra comunidad de Discord
GUI.EMBARK.MAP_SEED,,Random Seed,Semilla aleatoria
GUI.EMBARK.MAP_SIZE,,Map Size,Tamaño del Mapa
GUI.EMBARK.MAP_SIZE.LARGE,,Large,Grande
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,Mediano
GUI.EMBARK.MAP_SIZE.SMALL,,Small,Pequeño
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,Modo Pacífico
GUI.EMBARK.SETTLEMENT_NAME,,Name,Nombre
GUI.EMBARK.START,,Begin!,¡Empezar!
GUI.EMBARK.TITLE,,Choose Kingdom,Elige un reino
GUI.EMPTY_CONTAINER_LABEL,,Empty,Vacío
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,Vaciando contenidos.
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,Vaciar el contenido en el suelo.
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Asignado a {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Se está eliminando
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,{{amount}} disponible
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,{{amount}} {{material}} disponibles
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Pantalla completa
GUI.GRAPHICS.RESOLUTION,,Resolution,Resolución
GUI.INVASION_LABEL,,Invasion,Invasión
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,Debug - frame buffer 0
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,Debug - frame buffer 1
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,Debug - frame buffer 2
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,Debug - frame buffer 3
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,Debug - frame buffer 4
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,Debug - frame buffer 5
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,Debug - frame buffer 6
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,Debug - frame buffer 7
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,Debug - frame buffer 8
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,Debug - frame buffer 9
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,Debug - velocidad del juego lenta
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,Debug - velocidad del juego ultra rápida
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,Debug - ocultar interfaz gráfica
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,Debug - mostrar los buffers individuales de la iluminación
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,Debug - mostrar estado de los trabajo
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,Debug - mostrar flujos de líquidos
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,Debug - mostrar menú
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,Debug - mostrar los nodos de selección de caminos
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,Debug - mostrar zonas
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,Debug - alternar renderizado de la superposición del suelo
GUI.KEY_BINDING.FAST_PAN,,Fast pan,Giro de cámara rápido
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,Velocidad del juego rápida
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,Velocidad del juego muy rápida
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,Velocidad del juego más rápida
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,Velocidad del juego normal
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,Girar cámara hacia abajo
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,Girar cámara hacia la izquierda
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,Girar cámara hacia la derecha
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,Girar cámara hacia arriba
GUI.KEY_BINDING.PAUSE,,Pause,Pausa
GUI.KEY_BINDING.QUICKLOAD,,Quickload,Carga rápida
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,Galvado rápido
GUI.KEY_BINDING.ROTATE,,Rotate,Rotar
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,Aumentar zoom
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,Disminuir zoom
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,No hay ningún cultivo seleccionado para ser plantado
GUI.LOAD_GAME.TABLE.COPY_SEED,,Copy Seed,
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,Última modificación
GUI.LOAD_GAME.TABLE.DELETE,,Delete,Borrar
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,Hora
GUI.LOAD_GAME.TABLE.PLAY,,Play,Jugar
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,Nombre
GUI.LOAD_GAME.TABLE.VERSION,,Version,Versión
GUI.LOAD_GAME.TITLE,,Load Game,Cargar Partida
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,Copiar al portapapeles
GUI.MAP_SEED_DISPLAY,,"Current map seed: ",Semilla del mapa actual:
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,Horizontal
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,Vertical
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,Nombrar Escuadrón
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},Elegir emblema para {{squadName}}
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,Renombrar Escuadrón
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,Asignar a un Nuevo Escuadrón
GUI.MILITARY.NEW_SQUAD,,New Squad,Nuevo Escuadrón
GUI.MILITARY.ORDERS,,Orders,Órdenes
GUI.MILITARY.ORDERS.ATTACK,,Attack,Atacar
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,Cancelar ataque
GUI.MILITARY.ORDERS.GUARD,,Guard,Vigilar
GUI.MILITARY.ORDERS.RETREAT,,Retreat,Retirarse
GUI.MILITARY.ORDERS.TRAIN,,Train,Entrenar
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,Eliminar Escuadrón
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,¿Seguro que deseas eliminar este Escuadrón?
GUI.MILITARY.SET_FORMATION,,Set Formation,Establecer Formación
GUI.MILITARY.SET_ORDERS,,Set Orders,Establecer Órdenes
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,Enanos Militares
GUI.MILITARY.TAB.SQUADS,,Military Squads,Escuadrones Militares
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,Civiles entrenados
GUI.MINIMAP.LABEL,,Minimap,Minimapa
GUI.MUSIC_VOLUME,,Music,Música
GUI.NEXT_LABEL,,Next,Siguiente
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Este mueble no se puede girar en esta versión del juego
GUI.OK_LABEL,,Ok,Ok
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Opciones de Sonido
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Hacer que los árboles sean transparentes cuando oculten a los colonos
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Opciones de Jugabilidad
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Desplazarse cuando el cursor está en el borde de la pantalla
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,Desplazarse hacia el cursor al hacer zoom
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,Sin bordes
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,Pantalla completa exclusiva
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,En ventana
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ",Ajustes de vídeo
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,Efectos Meteorológicos
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,Mostrar efectos meteorológicos como nieve sobre los muebles
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,Atajos
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,Enviar Informes de Errores
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Varios
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,Empezar Partida con Tutorial
GUI.OPTIONS.RESET,,Reset,Reiniciar
GUI.OPTIONS.TAB.AUDIO,,Audio,Audio
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Jugabilidad
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Vídeo
GUI.OPTIONS.TAB.MISC,,Other,Otros
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Cuenta de Twitch:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Código
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Cuenta de Twitch conectada
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Desconectar
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Cuenta de Twitch desconectada
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Integración de Twitch habilitada
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,Ocurrió un error al comunicar con Twitch
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,Emparejar cuenta de Twitch
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,Dar prioridad a los subscriptores
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Enviar
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Integración con Twitch
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,Usar espectadores como nombres de los colonos
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers,{{numViewers}} espectadores
GUI.ORDERS.CHOP_WOOD,,Chop,Talar
GUI.ORDERS.CLEAR_GROUND,,Clear,Despejar
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,Irrigación
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,Esta orden se usa para excavar canales de riego en el suelo
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,Extinguir
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,Esta orden se usa para extiguir incendios activos
GUI.ORDERS.HARVEST_PLANTS,,Harvest,Cosechar
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,Cazar
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,Esta orden se usa para seleccionar los animales a cazar
GUI.ORDERS.MINE,,Mine,Excavar
GUI.ORDERS_LABEL,,Orders,Órdenes
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Un puente debe cubrir ambos lados del río y tener al menos 3x3 casillas de tamaño
GUI.POWER_LABEL,,Power & Water,Energía y Agua
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} y {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} se conectan con con líneas de transmisión {{drawable|tooltip_icon_power}}{{\n}}Las líneas de tansmisión {{drawable|tooltip_icon_power}} proporcionan energía a {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} y otros muebles{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} y la Irrigación {{drawable|tooltip_icon_irrigation}} están conectados a {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}}
GUI.PRIORITY_LABEL,,Priority,Prioridad
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,Elegir objeto para Retirar de la habitación
GUI.PRODUCTION_EXPORT.LIMIT.REACHED,,Production halted - limit is set to {{quantity}},
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,Elegir objeto para Traer a la habitación
GUI.REMOVE_LABEL,,Remove,Eliminar
GUI.REMOVE_TILES,,Remove tiles,Eliminar casillas
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},Todos {{item}}
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,Disponible
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,{{available}} / {{total}} Disponible
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,Se está volcando el contenido de {{item}}
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,Se están volcando los contenidos de {{item}}
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,{{item}} está listo para el transporte
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,{{item}} están listos para el transporte
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,Equipado por {{item}}
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,Equipados por {{item}}
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,{{item}} asignado a
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,{{item}} asignados a
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,{{item}} está siendo transportado por
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by,{{item}} están siendo transportados por
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of,{{item}} está en el inventario de
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of,{{item}} están en el inventario de
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire,{{item}} está en llamas
