KEY,NOTES,ENGLISH,PORTUGUESE
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,{{RESOURCE.ORE.UNREFINED.PLURAL}} é esmagado para um tamanho mais viável para que ele possa ser usado em um {{MOBILITURE.BLOOMERY_FURNE}}.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Pilar
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,É necessário um pilar para impedir que grandes áreas extraídas desmoronem. Uma área de azulejos 7x7 que foram extraídos sem pilares ou outros suportes no lugar acabará por entrar em colapso.
FURNITURE.RETTING_TANK,,Retting tank,
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarcófago
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Este elaborado recipiente de pedra é o local de descanso final de um colono falecido.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Mesa auxiliar
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} são colocados aqui para servir depois de ser cozido em um {{MOBILITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Cama
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest.,Uma cama é o melhor lugar para uma noite de descanso confortável.
FURNITURE.SINGLE_DOOR,,Door,Porta
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Ombreira de porta
FURNITURE.SLEEPING_SPOT,,Sleeping spot,
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Bancada de trabalho de cantaria
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,Um {{PROFISSION.STONEMASON}} trabalha aqui com recursos {{MATERIAL_TYPE.STONE.ADJECTIVE}}.
FURNITURE.TANNING_FRAME,,Tanning frame,
FURNITURE.TANNING_FRAME.TOOLTIP,,Used to turn {{CARCASS.HIDE.PLURAL}} into {{PRODUCT.LEATHER.PLURAL}}.,
FURNITURE.TRADE_BANNER,,Banner,
FURNITURE.TRADE_BANNER.TOOLTIP,,A decorative banner to denote the trading depot.,
FURNITURE.TRAINING_DUMMY,,Training dummy,
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here.,
FURNITURE.WAGON_PARKED,,Wagon,
FURNITURE.WATERWHEEL,,Water Wheel,
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels,
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,
FURNITURE.WATER_BARREL,,Water Barrel,Barril de água
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Um barril de água é um lugar para seus colonos obterem uma bebida que sacia a sede, em vez de terem que encontrar uma fonte de água natural como o rio."
FURNITURE.WATER_PUMP,,Water Pump,
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps,
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,
FURNITURE.WEAPON_RACK,,Weapon Rack,
FURNITURE.WEAPON_RACK.TOOLTIP,,Used to store weapons.,
FURNITURE.WELL,,Well,
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.",
FURNITURE.WINDMILL,,Windmill,
FURNITURE.WINDMILL.PLURAL,,Windmills,
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench,Bancada de corte de lenha
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,Um {{PROFISSION.WOODCUTTER}} trabalha aqui para transformar {{RESOURCE.LOGS.PLURAL}} em {{RESOURCE.PLANKS.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,De ametista
GEM.AMETHYST.NOUN,,Amethyst,Ametista
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,"Uma variedade violeta de quartzo. Antigos humanos acreditavam que poderia magicamente protegê-los de ficarem bêbados demais. Por esta razão, não é muito popular na cultura anã."
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolite
GEM.AMMOLITE.NOUN,,Ammolite,Ammolite
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,Uma pedra preciosa semelhante a opala que tem uma iridescência vermelha a verde. É conhecido como a “pedra de caça” e os amuletos feitos dele destinam-se a trazer boa sorte a uma caça.
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,De água-marinha
GEM.AQUAMARINE.NOUN,,Aquamarine,Água-marinha
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,Uma variedade ciano-colorida de berilo. Alguns humanos acreditam que oferece proteção mágica contra os perigos dos mares. Isso ocorre porque um mago antigo usou uma combinação de magia do céu e do gelo para proteger navios comerciais durante a era das trevas.
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbite
GEM.BIXBITE.NOUN,,Bixbite,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Também conhecido como berilo vermelho, é uma pedra preciosa muito rara. É muitas vezes confundido para uma esmeralda de cor vermelha."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinabre
GEM.CINNABAR.NOUN,,Cinnabar,Cinabre
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,Um minério de mercúrio que é frequentemente usado em joalharia devido à sua tonalidade vermelha profunda. Também é usado para produzir o corante conhecido como vermelhão.
GEM.CITRINE.ADJECTIVE,,Citrine,De citrino
GEM.CITRINE.NOUN,,Citrine,Citrino
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Uma variedade amarelada de quartzo. É a pedra preciosa mais semelhante em cor ao ouro, então a maioria dos anões acha que o citrino é sortudo."
GEM.DIAMOND.ADJECTIVE,,Diamond,De diamante
GEM.DIAMOND.NOUN,,Diamond,Diamante
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,O material mais duro conhecido e uma das mais importantes das sete pedras celestiais. Os diamantes são a forma mais condensada do elemento neutro conhecido como “espírito” ou “éter”.
GEM.EMERALD.ADJECTIVE,,Emerald,De esmeralda
GEM.EMERALD.NOUN,,Emerald,Esmeralda
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,Uma variedade verde vibrante de berilo. Acredita-se que a gravação em uma esmeralda traz grande infortúnio. As esmeraldas estão intimamente relacionadas com a vida elementar e a magia associada.
GEM.GARNET.ADJECTIVE,,Garnet,De granada
GEM.GARNET.NOUN,,Garnet,Granada
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Granadas cobrem uma variedade de minerais usados como pedras preciosas, todos com uma cor vermelha profunda. Algumas gemas de granada são, na verdade, uma forma condensada de fogo elementar."
GEM.JADE.ADJECTIVE,,Jade,De jade
GEM.JADE.NOUN,,Jade,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Um mineral com uma cor verde-clara frequentemente usado para decoração. Além disso, elfos são conhecidos por usar jade para produzir medicamentos que podem curar doenças do intestino."
GEM.JASPER.ADJECTIVE,,Jasper,De jaspe
GEM.JASPER.NOUN,,Jasper,Jaspe
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Uma variedade impuro de sílica que pode ocorrer em várias cores, mas mais comumente vermelha. Jasper é favorecido como um material de decoração por orcs devido à sua variedade."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorita
GEM.LABRADORITE.NOUN,,Labradorite,Labradorita
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,Uma rocha que brilha com uma iridescência tipicamente azul claro. Espécimes mais raros podem refletir uma ampla gama de cores.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lápis-lazúli
GEM.LAPIS.NOUN,,Lapis lazuli,Lápis-lazúli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,Uma rocha com um tom azul profundo brilhante que é usado como uma pedra preciosa.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesita
GEM.MAGNESITE.NOUN,,Magnesite,Magnesita
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,Um mineral que pode ser polido em grânulos para uso em joalharia. Estas contas podem ser tingidas em muitas cores diferentes.
GEM.MOONSTONE.ADJECTIVE,,Moonstone,De pedra da lua
GEM.MOONSTONE.NOUN,,Moonstone,Pedra da lua
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Pensado ser formado pelo luar capturado em rocha, o que torna esta pedra preciosa uma das favoritas dos elfos."
GEM.MORGANITE.ADJECTIVE,,Morganite,De morganite
GEM.MORGANITE.NOUN,,Morganite,Morganite
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,Uma variedade de cor rosa de berilo. Foi nomeado após ser popularizado por um comerciante particularmente rico na era do mito.
GEM.OPAL.ADJECTIVE,,Opal,De opala
GEM.OPAL.NOUN,,Opal,Opala
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Uma forma de sílica infundida com a magia dos oceanos, o que torna este um favorito dos marinheiros e pescadores."
GEM.PAINITE.ADJECTIVE,,Painite,- Painite
GEM.PAINITE.NOUN,,Painite,- Painite
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,Uma pedra preciosa muito rara que é muitas vezes identificada como uma safira fora de cor. Os cristais são naturalmente hexagonais em forma e um favorito dos táticos.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodocrosite
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodocrosite
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,Encontrado em vários tons de vermelho a rosa. Não é tão difícil como a maioria das pedras preciosas tornando-o uma escolha ruim para anéis e outras jóias de alto impacto.
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,De cristal de rocha
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Cristal de rocha
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,A forma mais pura de quartzo. Cristais de rocha muitas vezes apresentam artefatos mágicos como eles são uma forma condensada do elemento de gelo.
GEM.RUBY.ADJECTIVE,,Ruby,De rubi
GEM.RUBY.NOUN,,Ruby,Rubi
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","Uma das sete pedras celestiais, rubis são o elemento de fogo condensado em uma forma sólida."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,De safira
GEM.SAPPHIRE.NOUN,,Sapphire,Safira
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Muitas vezes acredita-se para proteger o usuário da atenção dos demônios, safiras são muito procuradas por magos para uso no céu e magia baseada no ar."
GEM.SPINEL.ADJECTIVE,,Spinel,De espinela
GEM.SPINEL.NOUN,,Spinel,Espinela
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Muitas vezes confundidos com pedras celestiais como verdadeiros rubis e safiras, os espinéis são uma forma menor de joia mágica infundida que pode ser associada a qualquer um dos elementos, dependendo da cor."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,De tanzanite
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanite
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Uma pedra preciosa rara que pode alternar entre azul e violeta. Acredita-se que seja formado a partir do corpo material de um deus morto.
GEM.TOPAZ.ADJECTIVE,,Topaz,De topázio
GEM.TOPAZ.NOUN,,Topaz,Topázio
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Às vezes confundido com a gema {{GEM.CITRINE.NOUN}} mais comum, topázio pode ser encontrado em várias cores, mas mais comumente um marrom amarelado. Foi descoberto pela primeira vez numa ilha que já não existe."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,De turmalina
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalina
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Frequentemente encontrado junto com {{ORE.CASSITERITE.ADJECTIVE}} minério. Às vezes é associado com a magia da Terra.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,De turquesa
GEM.TURQUOISE.NOUN,,Turquoise,Turquesa
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Um mineral azul-verde freqüentemente usado em decorações. Pensa-se que trará boa sorte ao portador. Muitas vezes é infundido com o elemento da terra.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},A recolher {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Beber {{targetZoneMaterial}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Comer {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Carregar {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Inativo
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,
GOAL.ON_FIRE.DESCRIPTION,,On fire!,
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,
GOAL.SLEEP.DESCRIPTION,,Going to sleep,A ir para a cama
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},A transferir {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Adicionar/remover mosaicos
GUI.ADD_TILES,,Add tiles,Adicionar mosaicos
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,
GUI.BACK_LABEL,,Back,Anterior
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Ponte
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Portas
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,
GUI.BUILD.PILLARS,,Pillars,
GUI.BUILD.PIPING,,Pipes,
GUI.BUILD.POWER,,Power,
GUI.BUILD.ROOFING,,Roofing,
GUI.BUILD.WALLS,,Walls,Paredes
GUI.BUILD_FURNITURE,,Furniture,Mobília
GUI.BUILD_LABEL,,Build,"Construir "
GUI.CANCEL_LABEL,,Cancel,"Cancelar "
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Mudar de profissão
GUI.CHANGE_WEAPON_LABEL,,Select weapon,
GUI.COMBAT_LABEL,,Combat,
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,
GUI.CROP_SELECTION,,Crop:,Plantação:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}",
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, dia {{dayNumber}}"
GUI.DAY_LABEL,,Day {{dayNumber}},
GUI.DECONSTRUCT_LABEL,,Demolish,
GUI.DIALOG.CANCEL_BUTTON,,Cancel,
GUI.DIALOG.CONFIRM,,Confirm,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,
GUI.DIALOG.DISMISS,,Dismiss,Dispensar
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Já existe uma sala com esse nome.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,O arquivo salvo não pôde ser carregado porque é incompatível com esta versão do jogo.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Ocorreu um erro
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Ocorreu um erro inesperado ao carregar o jogo.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Ocorreu um erro inesperado ao salvar o jogo.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,
GUI.DIALOG.INFO_TITLE,,Information,Informação
GUI.DIALOG.JUMP_TO,,Go to Location,Ir para o local
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,A tradução do idioma selecionado está atualmente incompleta e faltará algum texto. Uma linguagem de fallback será usada.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Você selecionou um conjunto diferente de mods a serem aplicados ao jogo. Estes serão aplicados quando o jogo for reiniciado da próxima vez.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Um ou mais mods são incompatíveis com esta versão do jogo e foram desativados. Você pode verificar se há atualizações no menu mods.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Renomear sala
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Você deve reiniciar o jogo para que essa alteração entre em vigor
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,
GUI.EMBARK.MAP_SEED,,Random Seed,
GUI.EMBARK.MAP_SIZE,,Map Size,
GUI.EMBARK.MAP_SIZE.LARGE,,Large,
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,
GUI.EMBARK.MAP_SIZE.SMALL,,Small,
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,
GUI.EMBARK.SETTLEMENT_NAME,,Name,
GUI.EMBARK.START,,Begin!,
GUI.EMBARK.TITLE,,Choose Kingdom,
GUI.EMPTY_CONTAINER_LABEL,,Empty,
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Atribuído a {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Atualmente em remoção
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Ecrã inteiro
GUI.GRAPHICS.RESOLUTION,,Resolution,Resolução
GUI.INVASION_LABEL,,Invasion,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,
GUI.KEY_BINDING.FAST_PAN,,Fast pan,
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,
GUI.KEY_BINDING.PAUSE,,Pause,
GUI.KEY_BINDING.QUICKLOAD,,Quickload,
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,
GUI.KEY_BINDING.ROTATE,,Rotate,
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,Nenhum (pousio)
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,
GUI.LOAD_GAME.TABLE.DELETE,,Delete,
