KEY,NOTES,ENGLISH,DANISH
FURNITURE.FLETCHERS_WORKBENCH.TOOLTIP,,This is a crafting station for ranged weapons and ammunition.,Dette er en arbejdsstation til afstandsvåben og ammunition.
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Melkværn
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,Melkværnen maler {{VEGETABLE.WHEAT}} til {{RESOURCE.FLOUR.SACK.NOUN}} så det kan bruges af en {{PROFESSION.CHEF}}.
FURNITURE.FORGE,,Forge,Smedje
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Det er her en {{PROFESSION.BLACKSMITH}} arbejder med {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} og {{FUEL.SACK}} for at smede våben og andre ting.
FURNITURE.GRAVE,,Grave,Grav
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be dug into {{MATERIAL_TYPE.EARTH}}.,En hurtigt gravet grav til afdøde bosættere. Kan kun laves på {{MATERIAL_TYPE.EARTH}}.
FURNITURE.HITCHING_POST,,Hitching post,Hængende stolpe
FURNITURE.HITCHING_POST.TOOLTIP,,Visiting merchants will park their wagons here.,Besøgende handelsmænd parkerer deres vogne her.
FURNITURE.IMPORT_PALLET,,Import pallet,Importpalle
FURNITURE.IMPORT_PALLET.TOOLTIP,,Use this to determine which items to import to the room.,Brug denne til at bestemme hvilke ting der skal eksporteres fra rummet.
FURNITURE.INVADER_CAMPFIRE,,Campfire,Lejrbål
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Køkkenbordplade
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Et område til at opbevare ingredienser som en {{PROFESSION.CHEF}} kan lave til suppe.
FURNITURE.LANTERN,,Lantern,Lanterne
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light. This does not currently have an in-game effect.,En lanterne giver lys. Denne har på nuværende tidspunkt ingen effekt i spillet.
FURNITURE.LEATHERWORKING_STATION,,Leatherworking station,Læderbearbejdningsstation
FURNITURE.LEATHERWORKING_STATION.TOOLTIP,,A workbench to produce leather goods like armour and waterskins.,En arbejdsstation til produktion af lædervarer såsom rustninger og drikkeskind.
FURNITURE.LEDGER_TABLE,,Ledger table,Hovedbogsbord
FURNITURE.LEDGER_TABLE.TOOLTIP,,A landmark for the {{ROOMS.TRADING_DEPOT}}. This does not currently have an in-game effect.,En markør for {{ROOMS.TRADING_DEPOT}}. Denne har på nuværende tidspunkt ingen effekt i spillet.
FURNITURE.LOOM,,Loom,Væv
FURNITURE.LOOM.TOOLTIP,,Used to craft textiles such as {{PRODUCT.LINEN.NOUN}} from {{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}.,Denne bliver brugt til at lave tekstiler såsom {{PRODUCT.LINEN.NOUN}} af {{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}.
FURNITURE.MALTING_STATION,,Malting station,Maltningsstation
FURNITURE.MALTING_STATION.TOOLTIP,,Here brewers steep barley and then dry it out using a kiln to produce malt.,Her udfører bryggere mæskning af byg og tørrer det i en kiln for at producere malt.
FURNITURE.MASH_TUN,,Mash tun,Mæskefad
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,Dette bliver brugt til at producere maltafkog (ugæret øl) af malet malt og vand.
FURNITURE.MUSHROOM_LOG,,Mushroom log,Svampestamme
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",En træstamme der er blevet indsprøjtet med svampe sporer for at producere flere lækre og saftige svampe.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Choktank
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Efter podningen bliver en {{FURNITURE.MUSHROOM_LOG}} placeret i tanken for at ""chocke"" svampekolonien og fremme vækstren."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Malmknusningsstation
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,"Rå {{RESOURCE.ORE.UNREFINED.PLURAL}} bliver knust til mere brugbare størrelser, så det kan bruges i en {{FURNITURE.BLOOMERY_FURNACE}}"
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Søjle
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,"En søjle er nødvendig for at forhindre udgravede områder i at kollapse. Et område på 7x7 felter, der er udgravet uden en søjle eller anden støtte, vil kollapse."
FURNITURE.RETTING_TANK,,Retting tank,Rettetank
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,"Denne bliver brugt til at lave rå {{VEGETABLE.HEMP}} om til hampfibre, der kan bearbejdes til brugbare materialer."
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkofag
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Denne detaljerede stenbeholder er det endelige hvilested for en afdød bosætter.
FURNITURE.SELLING_PALLET,,Selling pallet,
FURNITURE.SELLING_PALLET.TOOLTIP,,Use this to determine which items to sell to the merchants.,
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Serveringsbord
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} bliver placeret her til servering efter bagning i en {{FURNITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Seng
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest.,En seng er det bedste sted til en komfortabel nattesøvn.
FURNITURE.SINGLE_DOOR,,Door,Dør
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Dørramme
FURNITURE.SLEEPING_SPOT,,Sleeping spot,Sovested
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,Dine bosættere vil bruge dette sted til at sove på gulvet. Det er ikke særligt behageligt.
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Stenhuggers arbejdsbord
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,En {{PROFESSION.STONEMASON}} arbejder her med {{MATERIAL_TYPE.STONE.ADJECTIVE}} ressourcer.
FURNITURE.TANNING_FRAME,,Tanning frame,Garvningsramme
FURNITURE.TANNING_FRAME.TOOLTIP,,Used to turn {{CARCASS.HIDE.PLURAL}} into {{PRODUCT.LEATHER.PLURAL}}.,Denne bliver brugt til at lave {{CARCASS.HIDE.PLURAL}} om til {{PRODUCT.LEATHER.PLURAL}}.
FURNITURE.TRADE_BANNER,,Banner,Banner
FURNITURE.TRADE_BANNER.TOOLTIP,,A decorative banner to denote the trading depot.,"Et dekorativt banner, der viser hvor handelsdepotet ligger."
FURNITURE.TRAINING_DUMMY,,Training dummy,Træningsdukke
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here up to level 50.,Militære bosættere vil her øve deres nærkampsegenskaber op til niveau 50.
FURNITURE.WAGON_PARKED,,Wagon,Vogn
FURNITURE.WATERWHEEL,,Water Wheel,Vandhjul
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels,Vandhjul
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,Giver mekanisk kraft til andre indretninger via {{PRODUCT.STONE.GEAR.PLURAL}} og aksler. Skal bygges op af en flod.
FURNITURE.WATER_BARREL,,Water Barrel,Vandtønde
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","En vandtønde er et sted, hvor dine bosættere kan få en tørstslukkende drink, i stedet for at skulle finde en naturlig vandkilde såsom floden."
FURNITURE.WATER_PUMP,,Water Pump,Vandpumpe
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps,Vandpumper
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,Flytter vand fra floden til rørsystemet.
FURNITURE.WEAPON_RACK,,Weapon Rack,Våbenstativ
FURNITURE.WEAPON_RACK.TOOLTIP,,Used to store weapons.,Brugt til at lagre våben.
FURNITURE.WELL,,Well,Brønd
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.","En brønd er en vandkilde, men den skal være forbundet til et fungerende rørsystem."
FURNITURE.WINDMILL,,Windmill,Vindmølle
FURNITURE.WINDMILL.PLURAL,,Windmills,Vindmøller
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,Giver mekanisk kraft til andre indretninger via {{PRODUCT.STONE.GEAR.PLURAL}} og aksler.
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench,Snedkers bænk
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,En {{PROFESSION.WOODCUTTER}} arbejder her for at lave {{RESOURCE.LOGS.PLURAL}} om til {{RESOURCE.PLANKS.PLURAL}}.

GEM.AMETHYST.ADJECTIVE,,Amethyst,Ametyst
GEM.AMETHYST.NOUN,,Amethyst,Ametyst
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,"En violetfarvet variant af kvarts. Oldtidens mennesker mente, at det på magisk vis kunne beskytte dem mod at blive for fulde. Af denne grund er det ikke særligt populært i dværgkultur."
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"En opal-lignende ædelsten, som har en rød til grøn iriscens. Det er kendt som jagtstenen og amuletter lavet af det er beregnet til at bringe held og lykke til en jagt."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Akvamarin
GEM.AQUAMARINE.NOUN,,Aquamarine,Akvamarin
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,"En cyan-farvet variant af sort beryl. Nogle mennesker mener, at den giver magisk beskyttelse mod farerne på havene. Dette skyldes, at en ældgammel magiker brugte en kombination af himmel- og is-magi til at beskytte handelsskibe under den mørke tidsalder."
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbit
GEM.BIXBITE.NOUN,,Bixbite,Bixbit
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",En meget sjælden ædelsten også kendt som rød beryl. Den bliver ofte forvekslet med en rødfarvet smaragd.
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinnabarit
GEM.CINNABAR.NOUN,,Cinnabar,Cinnabarit
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,"En kviksølvmalm, som ofte bruges i smykker på grund af sin dyb-røde nuance. Det bruges også til at producere farvestoffet kendt som vermilion."
GEM.CITRINE.ADJECTIVE,,Citrine,Citrin
GEM.CITRINE.NOUN,,Citrine,Citrin
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","En gullig variant af kvarts. Det er den ædelsten, der ligner guld mest i farven, så de fleste dværge tror citrin bringer held."
GEM.DIAMOND.ADJECTIVE,,Diamond,Diamant
GEM.DIAMOND.NOUN,,Diamond,Diamant
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,Det hårdeste kendte materiale og én af de vigtigste af de syv himmelske sten. Diamanter er den mest sammenpressede form af det neutrale element kendt som 'ånd' eller 'æter'.
GEM.EMERALD.ADJECTIVE,,Emerald,Smaragd
GEM.EMERALD.NOUN,,Emerald,Smaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,"En levende grøn variant af beryl. Det menes, at graverer man på en smaragd, bringer det stor ulykke. Smaragder er nært knyttet til livselementet og tilhørende magi."
GEM.GARNET.ADJECTIVE,,Garnet,Granat
GEM.GARNET.NOUN,,Garnet,Granat
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Granater dækker over en række mineraler, der anvendes som ædelstene, alle med en dyb rød farve. Nogle granatædelstene er faktisk en sammenpresset form for ildelementet."
GEM.JADE.ADJECTIVE,,Jade,Jade
GEM.JADE.NOUN,,Jade,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Et mineral med en lysegrøn farve, der ofte bruges til udsmykning. Elvere har også været kendt for at bruge jade til at producere medicin, der kan helbrede sygdomme i tarmen."
GEM.JASPER.ADJECTIVE,,Jasper,Jaspis
GEM.JASPER.NOUN,,Jasper,Jaspis
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","En uren variant af silica, som kan forekomme i flere farver, men mest almindeligt rød. Jaspis er foretrukken som dekorationsmateriale af orker på grund af sine mange varianter."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorit
GEM.LABRADORITE.NOUN,,Labradorite,Labradorit
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,"En sten, der typisk skinner med en lyseblå iriscens. Sjældnere udgaver kan reflektere en bred vifte af farver."
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapis Lazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapis Lazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,"En sten med en strålende dyb blå nuance, der bruges som en ædelsten."
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnesit
GEM.MAGNESITE.NOUN,,Magnesite,Magnesit
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,"Et mineral, der kan poleres til perler til brug i smykker. Disse perler kan farves i mange forskellige farver."
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Månesten
GEM.MOONSTONE.NOUN,,Moonstone,Månesten
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Disse menes at være dannet af måneskin fanget i sten, hvilket gør denne ædelsten til en favorit hos elverne."
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganit
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,En rosa udgave af beryl. Den blev navngivet således efter at være blevet gjort populær af en særdeles velhavende købmand i myternes tidsalder.
GEM.OPAL.ADJECTIVE,,Opal,Opal
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","En form for silica infunderet med havenes magi, hvilket gør dette til en favorit for sømænd og fiskere."
GEM.PAINITE.ADJECTIVE,,Painite,Painit
GEM.PAINITE.NOUN,,Painite,Painit
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,"En meget sjælden ædelsten, der ofte bliver identificeret som en fejlfarvet safir. Krystallerne er naturligt sekskantede i form og en favorit hos taktikere."
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rhodochrosit
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rhodochrosit
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Fundet i varierende nuancer fra rød til pink. Den er ikke så hård, som de fleste ædelstene, hvilket gør den til et dårligt valg for ringe og andre smykker med stor effekt."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Stenkrystal
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Stenkrystal
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,"Den reneste form for kvarts. Stenkrystaller optræder ofte i magiske artefakter, da de er en kondenseret form af iselementet."
GEM.RUBY.ADJECTIVE,,Ruby,Rubin
GEM.RUBY.NOUN,,Ruby,Rubin
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","Som en af de syv himmelske sten, er rubiner ildelementet sammenpresset til fast form."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Safir
GEM.SAPPHIRE.NOUN,,Sapphire,Safir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Ofte opfattet som beskyttende for bæreren mod dæmoners opmærksomhed, er safirer meget eftertragtede af magikere til brug i himmel- og luft-baseret magi."
GEM.SPINEL.ADJECTIVE,,Spinel,Spinel
GEM.SPINEL.NOUN,,Spinel,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Ofte forvekslet med himmelske sten såsom ægte rubiner og safirer, er spineller en mindre form for magisk-infunderet ædelsten, som kan forbindes med et hvilket som helst af elementerne, afhængig af farve."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanit
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanit
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,"En sjælden ædelsten, der kan fåes i både blå og violet. De menes at være dannet af en død guds fysiske legeme."
GEM.TOPAZ.ADJECTIVE,,Topaz,Topas
GEM.TOPAZ.NOUN,,Topaz,Topas
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Nogle gange forvekslet med den mere almindelige {{GEM.CITRINE.NOUN}} ædelsten, findes topas i flere farver, men oftest en gulbrun. Det blev først opdaget på en ø, der ikke længere eksisterer."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalin
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Ofte fundet sammen med {{ORE.CASSITERITE.ADJECTIVE}}malm. Det bliver nogen gange associeret med jordmagi.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkis
GEM.TURQUOISE.NOUN,,Turquoise,Turkis
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,"Et blågrønt mineral, der ofte bruges i udsmykninger. Det menes at bringe held og lykke til bæreren. Det er ofte infunderet med jordelement."

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,Forlader opgave
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Indsamler {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},Angriber {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Drikker {{targetDescription}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},Tømmer indhold af {{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Spiser {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,Slukker ildebrand
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},Flygter fra {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Fragter {{targetDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Inaktiv
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,Slår lejr
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,Trækker sig ud af kortet
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,Plyndrer lagre
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,Går ind i kamp
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,Bevogter en position
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,Våbentræning
GOAL.ON_FIRE.DESCRIPTION,,On fire!,Brænder!
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,Fylder drikkeskind
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Går i seng
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Overfører {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Tilføj/fjern felter
GUI.ADD_TILES,,Add tiles,Tilføj felter
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,Omgivende atmosfære
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,{{item}} tilgængelig:
GUI.BACK_LABEL,,Back,Tilbage
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Bro
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Dør
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,Gulv
GUI.BUILD.PILLARS,,Pillars,Søjler
GUI.BUILD.PIPING,,Pipes,Rør
GUI.BUILD.POWER,,Power,Kraft
GUI.BUILD.ROOFING,,Roofing,Tagdækning
GUI.BUILD.WALLS,,Walls,Mure
GUI.BUILD_FURNITURE,,Furniture,Møbler
GUI.BUILD_LABEL,,Build,Byg
GUI.CANCEL_LABEL,,Cancel,Annuller
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Vælg nyt erhverv
GUI.CHANGE_WEAPON_LABEL,,Select weapon,Vælg våben
GUI.COMBAT_LABEL,,Combat,Kamp
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,Konstruktion
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Vedligeholde
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),{{craftingType}} ({{profession}})
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,Lavet med
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,Objekt
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management,Administration
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit,Begrænsning
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity,Mængde
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement,Fald
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment,Stigning
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Skabe
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Nuværende mængde: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),({{quantity}} mængde)
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,Og dig! Tak fordi du spiller spillet!
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,Karaktérkunstnere
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,Konceptkunst
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,Landskabskunstnere
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,Ledende design & Programmering
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,Ledende 2D & UI-kunstner
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,Musik og Lydeffekter
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,Yderligere Musiknumre
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,Programmering
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,Speciel tak til
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,Speciel tak til vores stiftende støtter
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,Yderligere tak til vores Patreon og Kickstarter støtter
GUI.CREDITS.TRANSLATORS_TITLE,,Translations,
GUI.CROP_SELECTION,,Crop:,Afgrøde:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},{{plantDescription}} - {{planting}} - {{usage}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,Kan ikke plantes
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},Plant i {{season1}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},Plant i {{season1}} eller i {{season2}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}","Plant i {{season1}}, {{season2}} eller om {{season3}}"
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,Plantet hele året rundt
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, Dag {{dayNumber}}, År {{year}}"
GUI.DAY_LABEL,,Day {{dayNumber}},Dag {{dayNumber}}
