KEY,NOTES,ENGLISH,GERMAN
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,Zieht sich von der Karte zurück
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,Plündert Lagerbestände
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,Zieht in den Kampf
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,Verteidigt eine Position
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,Trainiert mit einer Waffe
GOAL.ON_FIRE.DESCRIPTION,,On fire!,Brennt!
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,Füllt den Wasserschlauch auf
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Geht schlafen
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Füllt {{targetZoneMaterial}} um

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Felder hinzufügen/entfernen
GUI.ADD_TILES,,Add tiles,Felder hinzufügen
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,Atmosphäre
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,{{Item}} verfügbar:
GUI.BACK_LABEL,,Back,Zurück
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Brücke
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Türen
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,Fußboden
GUI.BUILD.PILLARS,,Pillars,Stützpfeiler
GUI.BUILD.PIPING,,Pipes,Rohre
GUI.BUILD.POWER,,Power,Energie
GUI.BUILD.ROOFING,,Roofing,Dächer
GUI.BUILD.WALLS,,Walls,Wände
GUI.BUILD_FURNITURE,,Furniture,Möbel
GUI.BUILD_LABEL,,Build,Bauen
GUI.CANCEL_LABEL,,Cancel,Abbrechen
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Beruf wechseln
GUI.CHANGE_WEAPON_LABEL,,Select weapon,Waffe auswählen
GUI.COMBAT_LABEL,,Combat,Kampf
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,Konstruktion
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Beibehalten
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),{{craftingType}} ({{profession}})
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,Hergestellt mit
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,Gegenstand
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Handwerk
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Gesamt: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),({{quantity}} insgesamt)
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,Und Du! Danke fürs Mitmachen!
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,Charakter Künstler
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,Konzeptzeichnungen
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,Landschaft
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,Leitung Design & Programmierung
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,Leitender 2D & UI Künstler
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,Musik und Soundeffekte
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,Zusätzliche Musikstücke
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,Programmierung
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,Besonderer Dank
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,Besonderen Dank an unsere Gründungshelfer
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,Zusätzlicher Dank an unsere Patreon- und Kickstarter-Unterstützer
GUI.CREDITS.TRANSLATORS_TITLE,,Translations,
GUI.CROP_SELECTION,,Crop:,Pflanze:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},{{plantDescription}} - {{planting}} - {{usage}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,Kann nicht gepflanzt werden
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},Anpflanzen in {{season1}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},Anpflanzen in {{season1}} oder {{season2}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}","Anpflanzen in {{season1}}, {{season2}} oder {{season3}}"
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,Ganzjährige Pflanzung
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, Tag {{dayNumber}}, Jahr {{year}}"
GUI.DAY_LABEL,,Day {{dayNumber}},Tag {{dayNumber}}
GUI.DECONSTRUCT_LABEL,,Demolish,Abreißen
GUI.DIALOG.CANCEL_BUTTON,,Cancel,Abbrechen
GUI.DIALOG.CONFIRM,,Confirm,Bestätigen
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,"Bist du sicher, dass du {{name}} löschen willst?"
GUI.DIALOG.DISMISS,,Dismiss,Ausblenden
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Ein Raum mit diesem Namen existiert schon.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Die Datei konnte nicht geladen werden, da sie inkompatibel mit dieser Version des Spiels ist."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Ein Fehler ist aufgetreten
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Während des Ladens ist ein unerwarteter Fehler aufgetreten.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Während des Speicherns ist ein unerwarteter Fehler aufgetreten.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,Diese Benachrichtigungen ausblenden
GUI.DIALOG.INFO_TITLE,,Information,Information
GUI.DIALOG.JUMP_TO,,Go to Location,Gehe zu
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Die ausgewählte Übersetzung ist derzeit noch unvollständig und Teile des Textes fehlen. Es wird eine Ausweichsprache verwendet.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Du hast neue Mods ausgewählt. Diese werden erst beim nächsten Neustarts des Spiels aktiv.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Eine oder mehrere Mods sind mit dieser Version des Spiels nicht kompatibel und wurden deaktiviert. Du kannst im Mods-Menü nach Updates suchen.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Raum umbenennen
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,Siedler umbenennen
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,"Damit diese Änderung wirksam wird, muss das Spiel neugestart werden."
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,Du hast bereits einen Speicherstand für die Siedlung {{name}}. Ein neues Spiel wird den existierenden Speicherplatz überschreiben. Bist du sicher
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,Für die Siedlung muss ein Name vergeben werden.
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,Lager Einstellungen
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,Klicke hier um unserer Discord Community beizutreten
GUI.EMBARK.MAP_SEED,,Random Seed,Zufallsgenerator
GUI.EMBARK.MAP_SIZE,,Map Size,Kartengröße
GUI.EMBARK.MAP_SIZE.LARGE,,Large,Groß
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,Mittel
GUI.EMBARK.MAP_SIZE.SMALL,,Small,Klein
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,Friedlicher Modus
GUI.EMBARK.SETTLEMENT_NAME,,Name,Name
GUI.EMBARK.START,,Begin!,Start!
GUI.EMBARK.TITLE,,Choose Kingdom,Wähle ein Königreich
GUI.EMPTY_CONTAINER_LABEL,,Empty,Leer
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,Der Inhalt wird geleert.
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,Schüttet den Inhalt dieses Behälters auf den Boden.
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Zugewiesen zu {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Wird gerade entfernt
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,{{amount}} verfügbar
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,{{amount}} {{material}} verfügbar
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Vollbild
GUI.GRAPHICS.RESOLUTION,,Resolution,Auflösung
GUI.INVASION_LABEL,,Invasion,Invasion
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,
GUI.KEY_BINDING.FAST_PAN,,Fast pan,Schnelles Schwenken
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,Spielgeschwindigkeit schnell
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,Spielgeschwindigkeit schneller
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,Spielgeschwindigkeit am schnellsten
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,Spielgeschwindigkeit normal
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,Kamera nach unten schwenken
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,Kamera nach links schwenken
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,Kamera nach rechts schwenken
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,Kamera nach oben schwenken
GUI.KEY_BINDING.PAUSE,,Pause,Pause
GUI.KEY_BINDING.QUICKLOAD,,Quickload,Schnellladen
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,Schnellspeichern
GUI.KEY_BINDING.ROTATE,,Rotate,Rotieren
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,Vergrößern
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,Verkleinern
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,Keine (Brachfläche)
GUI.LOAD_GAME.TABLE.COPY_SEED,,Copy Seed,
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,Zuletzt geändert
GUI.LOAD_GAME.TABLE.DELETE,,Delete,Löschen
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,Uhrzeit
GUI.LOAD_GAME.TABLE.PLAY,,Play,Spielen
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,Name
GUI.LOAD_GAME.TABLE.VERSION,,Version,Version
GUI.LOAD_GAME.TITLE,,Load Game,Lade Spiel
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,In die Zwischenablage kopieren
GUI.MAP_SEED_DISPLAY,,"Current map seed: ",Aktueller Karten-Seed:
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,Horizontal
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,Vertikal
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,Neue Gruppe benennen
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},Wähle ein Emblem für {{squadName}}
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,Gruppe umbenennen
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,Neuer Gruppe zuweisen
GUI.MILITARY.NEW_SQUAD,,New Squad,Neue Gruppe
GUI.MILITARY.ORDERS,,Orders,Befehle
GUI.MILITARY.ORDERS.ATTACK,,Attack,Angriff
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,Angriff abbrechen
GUI.MILITARY.ORDERS.GUARD,,Guard,Verteidigen
GUI.MILITARY.ORDERS.RETREAT,,Retreat,Zurückziehen
GUI.MILITARY.ORDERS.TRAIN,,Train,Trainieren
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,Gruppe auflösen
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,"Bist du sicher, dass du die Gruppe auflösen möchtest?"
GUI.MILITARY.SET_FORMATION,,Set Formation,Formation festlegen
GUI.MILITARY.SET_ORDERS,,Set Orders,Befehle festlegen
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,Militärische Zwerge
GUI.MILITARY.TAB.SQUADS,,Military Squads,Militärische Gruppen
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,Trainierte Zivilisten
GUI.MINIMAP.LABEL,,Minimap,Minikarte
GUI.MUSIC_VOLUME,,Music,Musik
GUI.NEXT_LABEL,,Next,Weiter
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Dieses Möbelstück kann in dieser Version des Spiels nicht rotiert werden.
GUI.OK_LABEL,,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Audioeinstellungen
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,"Bäume transparent machen, wenn sie Siedler verdecken"
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","Spieleinstellungen "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,"Scrollen, wenn der Mauszeiger am Bildschirmrand ist"
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,Zum Mauszeiger scrollen beim Zoomen
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,Ohne Fensterrahmen
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,Exklusiver Vollbildmodus
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,Fensermodus
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Grafikeinstellungen "
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,Wettereffekte
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,Zeige Wettereffekte wie Schnee auf Möbeln
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,Tastenbelegung
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,Opt-In für Absturzberichte
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Verschiedenes
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,Spiel starten mit Tutorial
GUI.OPTIONS.RESET,,Reset,Zurücksetzen
GUI.OPTIONS.TAB.AUDIO,,Audio,Ton
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Spielverhalten
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Grafik
GUI.OPTIONS.TAB.MISC,,Other,Anderes
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Twitch Konto:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Code
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Twitch Konto verbunden
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Verbindung getrennt
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Twitch Konto getrennt
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Twitch Integration aktiviert
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,Ein Fehler ist während der Kommunikation mit Twitch aufgetreten
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,Twitch Konto verknüpfen
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,Gib deinen Abonnenten Vorrang
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Einreichen
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Twitch Integration
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,Benutze Zuschauer für Siedlernamen
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers,{{numViewers}} Zuschauer
GUI.ORDERS.CHOP_WOOD,,Chop,Fällen
GUI.ORDERS.CLEAR_GROUND,,Clear,Beräumen
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,Bewässerung
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,"Dieser Auftrag wird verwendet, um Kanäle in den Boden zu graben."
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,Löschen
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,"Dieser Auftrag wird verwendet, um Brände zu löschen, wenn es gerade brennen."
GUI.ORDERS.HARVEST_PLANTS,,Harvest,Ernten
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,Jagen
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,"Dieser Auftrag wird verwendet, um festzulegen welche Tiere gejagt werden sollen."
GUI.ORDERS.MINE,,Mine,Graben
GUI.ORDERS_LABEL,,Orders,Aufträge
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Eine Brücke muss beide Seiten des Flusses bedecken und mindestens 3x3 Felder gross sein
GUI.POWER_LABEL,,Power & Water,Energie & Wasser
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},Windmühlen {{drawable|tooltip_icon_windmill}} und Wasserräder {{drawable|tooltip_icon_waterwheel}} verbinden sich mit Energieleitungen {{drawable|tooltip_icon_power}}{{\n}}Energieleitungen {{drawable|tooltip_icon_power}} treiben Wasserpumpen {{drawable|tooltip_icon_pump}} und andere angetriebene Möbel an{{\n}}Wasserpumpen {{drawable|tooltip_icon_pump}} und Bewässerung {{drawable|tooltip_icon_irrigation}} sind mit Rohren verbunden {{drawable|tooltip_icon_pipes}}
GUI.PRIORITY_LABEL,,Priority,Priorität
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,Zu exportierenden Artikel auswählen
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,Zu importierenden Artikel auswählen
GUI.REMOVE_LABEL,,Remove,Entfernen
GUI.REMOVE_TILES,,Remove tiles,Felder entfernen
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},Alle {{item}}
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,Verfügbar
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,{{available}} / {{total}} verfügbar
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,Der Inhalt von {{item}} wird entladen von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,Die Inhalte von {{item}} werden entladen von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,{{item}} ist fällig zum Transport
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,{{item}} sind fällig zum Transport
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,{{item}} ist ausgerüstet von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,{{item}} sind ausgerüstet von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,{{item}} ist zugeordnet zu
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,{{item}} sind zugeordnet zu
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,{{item}} wird transportiert von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by,{{item}} werden transportiert von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of,{{item}} befindet sich im Inventar von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of,{{item}} befinden sich im Inventar von
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire,{{item}} brennt
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE.PLURAL,,{{item}} are on fire,{{item}} brennen
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION,,{{item}} is being placed for construction,{{item}} wird für den Bau platziert
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION.PLURAL,,{{item}} are being placed for construction,{{item}} werden für den Bau platziert
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT,,{{item}} is on an import pallet,{{item}} befindet sich auf einer Importpalette
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT.PLURAL,,{{item}} are on an import pallet,{{item}} befinden sich auf einer Importpalette
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT,,{{item}} is being moved to an export palle,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT.PLURAL,,{{item}} are being moved to an export pallet,
GUI.RESOURCE_MANAGEMENT.QUANTIFIED_ITEM,,{{quantity}} {{item}},{{quantity}} {{item}}
GUI.RESOURCE_MANAGEMENT.SEARCH,,Search,Suche
GUI.RESOURCE_MANAGEMENT.SORT_BY,,Sort By,Sortieren nach
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ressourcen
GUI.RESOURCE_MANAGEMENT.TOTAL,,Total,Gesamt
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Verfügbar: {{count}}
GUI.ROOFING.ADD,,Add,Hinzufügen
GUI.ROOMS_LABEL,,Rooms,Räume
