KEY,NOTES,ENGLISH,JAPANESE
FURNITURE.LOOM.TOOLTIP,,Used to craft textiles such as {{PRODUCT.LINEN.NOUN}} from {{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}.,
FURNITURE.MALTING_STATION,,Malting station,麦汁製造台
FURNITURE.MALTING_STATION.TOOLTIP,,Here brewers steep barley and then dry it out using a kiln to produce malt.,醸造者が大麦を煮た後で乾燥させ、麦芽を作るための場所です
FURNITURE.MASH_TUN,,Mash tun,糖化桶
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,粉砕した麦芽と水から麦汁(未発酵のビール)を作る場所です。
FURNITURE.MUSHROOM_LOG,,Mushroom log,キノコ培地
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",おいしくてジューシーなキノコを栽培するために{{INGREDIENT.MUSHROOM.SPAWN.PLURAL}}を注入した丸太です。
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,発生促進タンク
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",キノコを播種後、水を満たしたこのタンクに{{FURNITURE.MUSHROOM_LOG}}を置くことによってキノコのコロニーに「刺激」を与え、発生を促進します。
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,鉱石破砕所
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,{{RESOURCE.ORE.UNREFINED.PLURAL}}をより小さな欠片になるまで砕き、{{FURNITURE.BLOOMERY_FURNACE}}で加工可能にするための場所です。
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,柱
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,柱は採掘した洞窟の天井が崩れるのを防ぐために必要です。7x7タイルより広い部屋は柱やその他の支えになるものがなければ、いずれ崩壊します。
FURNITURE.RETTING_TANK,,Retting tank,紡績タンク
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,{{VEGETABLE.HEMP}}から有用な繊維を取り出すために必要なタンクです。
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,石棺
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,精緻な作りの石棺です。かつて入植者であった故人はここで最後の安息を得ます。
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,サービングテーブル
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{FURNITURE.BAKING_OVEN}}で焼いた後、{{PRODUCT.BREAD.LOAF.PLURAL}}を切り分けるために使われる台です。
FURNITURE.SINGLE_BED,,Bed,ベッド
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest.,夜を快適に過ごすなら、ベッドが一番です。
FURNITURE.SINGLE_DOOR,,Door,ドア
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,ドアフレーム
FURNITURE.SLEEPING_SPOT,,Sleeping spot,寝床
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,入植者を眠らせる床です。寝るのに快適とは言えません！
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,石細工台
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}}が{{MATERIAL_TYPE.STONE.ADJECTIVE}}を加工するために必要です。
FURNITURE.TANNING_FRAME,,Tanning frame,
FURNITURE.TANNING_FRAME.TOOLTIP,,Used to turn {{CARCASS.HIDE.PLURAL}} into {{PRODUCT.LEATHER.PLURAL}}.,
FURNITURE.TRADE_BANNER,,Banner,
FURNITURE.TRADE_BANNER.TOOLTIP,,A decorative banner to denote the trading depot.,
FURNITURE.TRAINING_DUMMY,,Training dummy,
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here.,
FURNITURE.WAGON_PARKED,,Wagon,
FURNITURE.WATERWHEEL,,Water Wheel,水車
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels,
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,{{PRODUCT.STONE.GEAR.PLURAL}}とシャフトを使って動力を引き出します。川の横に設置する必要があります。
FURNITURE.WATER_BARREL,,Water Barrel,水タル
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",川のような天然の水源に行かなくても、水タルから入植者たちに水を飲ませることができます。
FURNITURE.WATER_PUMP,,Water Pump,汲み上げポンプ
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps,
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,配管を使い、川の水を他の場所に移します。
FURNITURE.WEAPON_RACK,,Weapon Rack,
FURNITURE.WEAPON_RACK.TOOLTIP,,Used to store weapons.,
FURNITURE.WELL,,Well,井戸
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.",井戸は水源になります。使用するには配管を敷設する必要があります。
FURNITURE.WINDMILL,,Windmill,風車
FURNITURE.WINDMILL.PLURAL,,Windmills,
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,{{PRODUCT.STONE.GEAR.PLURAL}}とシャフトを使って動力を引き出します。
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench,製材台
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.," {{PROFESSION.WOODCUTTER}}が{{RESOURCE.LOGS.PLURAL}}を{{RESOURCE.PLANKS.PLURAL}}にするために必要な場所です。"

GEM.AMETHYST.ADJECTIVE,,Amethyst,アメジストの
GEM.AMETHYST.NOUN,,Amethyst,アメジスト
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,紫色のクオーツの一種です。古代の人類にとって、アメジストは泥酔を防ぐ魔術的なお守りでした。この宝石がドワーフ文化においてあまり好まれないのはそれが理由です。
GEM.AMMOLITE.ADJECTIVE,,Ammolite,アンモライトの
GEM.AMMOLITE.NOUN,,Ammolite,アンモライト
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,赤と緑が目立つ虹色をした、オパールのような宝石です。「狩猟石」という名でも知られ、狩りに幸運をもたらすお守りとされています。
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,アクアマリンの
GEM.AQUAMARINE.NOUN,,Aquamarine,アクアマリン
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,澄んだ青色のベリルです。人間の中には、この宝石が海の危険に対して魔術的保護を提供してくれると考えるものもいます。闇の時代において、とある古代の魔術師が空と氷の魔法を使って交易船を守っていたからです。
GEM.BIXBITE.ADJECTIVE,,Bixbite,ビックスバイトの
GEM.BIXBITE.NOUN,,Bixbite,ビックスバイト
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",レッドベリルとも呼ばれる非常に希少な宝石です。よく赤いエメラルドと間違われます。
GEM.CINNABAR.ADJECTIVE,,Cinnabar,辰砂の
GEM.CINNABAR.NOUN,,Cinnabar,辰砂
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,水銀の鉱石で、真紅の宝飾品として用いられます。また、赤い染料を得るためにも使われます。
GEM.CITRINE.ADJECTIVE,,Citrine,シトリンの
GEM.CITRINE.NOUN,,Citrine,シトリン
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",黄色みを帯びたクオーツの一種です。金と似た色の宝石であるために、ほとんどのドワーフにとってシトリンは幸運の象徴です。
GEM.DIAMOND.ADJECTIVE,,Diamond,ダイアモンドの
GEM.DIAMOND.NOUN,,Diamond,ダイアモンド
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,"知られている中でもっとも硬い物質であり、宝石の中でもっとも重要な七天石のひとつです。ダイヤモンドは""スピリット""もしくは""エーテル""と呼ばれるとらえどころのない物質の、その最も凝縮された形であると考えられています。"
GEM.EMERALD.ADJECTIVE,,Emerald,エメラルドの
GEM.EMERALD.NOUN,,Emerald,エメラルド
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,鮮やかな緑のベリルです。エメラルドの彫刻は大不幸をもたらすと考えられています。エメラルドは元素としての生命、そして魔法と深い関わりがあります。
GEM.GARNET.ADJECTIVE,,Garnet,ガーネットの
GEM.GARNET.NOUN,,Garnet,ガーネット
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",ガーネットは深い赤色をしたさまざまな宝石の総称です。ガーネットのうちのいくつかは、実際には火の元素が凝縮されたものです。
GEM.JADE.ADJECTIVE,,Jade,翡翠の
GEM.JADE.NOUN,,Jade,翡翠
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",装飾品として広く用いられている明るい緑色の鉱石です。エルフは翡翠を使って腸の病気に効く薬を作ることが知られています。
GEM.JASPER.ADJECTIVE,,Jasper,ジャスパーの
GEM.JASPER.NOUN,,Jasper,ジャスパー
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",不純物の混じった石英で、いくつか色の異なる種類を持ちますが一般的には赤色です。ジャスパーはさまざまな色味のために、オークの装飾品として好まれます。
GEM.LABRADORITE.ADJECTIVE,,Labradorite,ラブラドライトの
GEM.LABRADORITE.NOUN,,Labradorite,ラブラドライト
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,ぱっと見には淡い青色をした、真珠のように輝く石です。ごくまれに、光の反射によって様々な色に変わるものがあります。
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,ラピスラズリの
GEM.LAPIS.NOUN,,Lapis lazuli,ラピスラズリ
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,貴石として使われる、美しい濃青色を持つ石です。
GEM.MAGNESITE.ADJECTIVE,,Magnesite,マグネサイトの
GEM.MAGNESITE.NOUN,,Magnesite,マグネサイト
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,宝飾品としてビーズに加工される石です。これらのビーズは染料を用いて、さまざまな色で染められます。
GEM.MOONSTONE.ADJECTIVE,,Moonstone,ムーンストーンの
GEM.MOONSTONE.NOUN,,Moonstone,ムーンストーン
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",月光を浴びた石が変質するものであると考えられています。エルフが好む宝石です。
GEM.MORGANITE.ADJECTIVE,,Morganite,モルガナイトの
GEM.MORGANITE.NOUN,,Morganite,モルガナイト
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,バラ色のベリルです。神話の時代、特に富裕な商人にちなんで名付けられました。
GEM.OPAL.ADJECTIVE,,Opal,オパールの
GEM.OPAL.NOUN,,Opal,オパール
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",石英の一種であり、海の魔法が込められているとされています。船員や漁師が好みます。
GEM.PAINITE.ADJECTIVE,,Painite,ペイナイトの
GEM.PAINITE.NOUN,,Painite,ペイナイト
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,非常に希少価値の高い宝石で、しばしばくすんだ色のサファイアと誤認されます。その結晶は自然に六角形を形成し、戦術家に好まれます。
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,ロードクロサイトの
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,ロードクロサイト
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,赤だったりピンクだったり、様々な色合いを持つ宝石です。他の宝石に比べて硬度が低く、指輪などの傷つきかねない宝飾品に使うのは良い考えではありません。
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,ロッククリスタルの
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,ロッククリスタル
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,最も純粋な石英です。ロッククリスタルは凝縮された氷の元素であると考えられており、魔法のアーティファクトによく用いられます。
GEM.RUBY.ADJECTIVE,,Ruby,ルビーの
GEM.RUBY.NOUN,,Ruby,ルビー
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",七天石の一つ、ルビーは固体となった火の元素です。
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,サファイアの
GEM.SAPPHIRE.NOUN,,Sapphire,サファイア
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",サファイアを身に着けている者は悪魔から身を守れると広く信じられています。また空や空気に関連する魔法と関わりがあるため、魔法使いに大きな需要があります。
GEM.SPINEL.ADJECTIVE,,Spinel,スピネルの
GEM.SPINEL.NOUN,,Spinel,スピネル
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.",よくルビーやサファイアのような天石と混同されていますが、スピネルは色に応じてさまざまな元素を表す弱い魔法が込められた石です。
GEM.TANZANITE.ADJECTIVE,,Tanzanite,タンザナイトの
GEM.TANZANITE.NOUN,,Tanzanite,タンザナイト
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,青色と紫色の間を行き来する、希少価値の高い宝石です。死神から身を守ることができると考えられています。
GEM.TOPAZ.ADJECTIVE,,Topaz,トパーズの
GEM.TOPAZ.NOUN,,Topaz,トパーズ
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",ときどきより一般的な{{GEM.CITRINE.NOUN}}と混同されますが、トパーズはいくつかの色を持つものの普通は黄色がかった茶色です。この宝石が最初に発見された島は、もはや存在しません。
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,トルマリンの
GEM.TOURMALINE.NOUN,,Tourmaline,トルマリン
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,{{ORE.CASSITERITE.ADJECTIVE}}鉱石に混じって発見されることの多い宝石です。大地の魔法に関連付けられることがあります。
GEM.TURQUOISE.ADJECTIVE,,Turquoise,ターコイズの
GEM.TURQUOISE.NOUN,,Turquoise,ターコイズ
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,装飾品として良く使われる青緑色の鉱石です。持つものに幸運をもたらすとされています。時々、大地の元素を込められることがあります。

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,タスクを放棄している
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},{{targetDescription}}を取得している
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},{{targetDescription}}を攻撃している
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},{{targetDescription}}を飲んでいる
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},{{targetDescription}}から液体を排出している
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},{{targetDescription}} を食べている
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,着火している
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},{{targetDescription}}から逃げている
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},{{targetDescription}}を運んでいる
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,何もしていない
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,
GOAL.ON_FIRE.DESCRIPTION,,On fire!,炎上している！
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,
GOAL.SLEEP.DESCRIPTION,,Going to sleep,眠ろうとしている
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},{{targetZoneMaterial}}を運んでいる

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,タイルの追加/削除
GUI.ADD_TILES,,Add tiles,タイル追加
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,
GUI.BACK_LABEL,,Back,戻る
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,架橋
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,ドア
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,床
GUI.BUILD.PILLARS,,Pillars,
GUI.BUILD.PIPING,,Pipes,配管
GUI.BUILD.POWER,,Power,動力
GUI.BUILD.ROOFING,,Roofing,屋根
GUI.BUILD.WALLS,,Walls,壁
GUI.BUILD_FURNITURE,,Furniture,建造物
GUI.BUILD_LABEL,,Build,建築
GUI.CANCEL_LABEL,,Cancel,取消
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,職業を割り当てる
GUI.CHANGE_WEAPON_LABEL,,Select weapon,武器を選択
GUI.COMBAT_LABEL,,Combat,
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,生産目標
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,クラフト
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},現在の所持数:{{quantity}}個
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),(全体で{{quantity}}個)
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,
GUI.CROP_SELECTION,,Crop:,Crop:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}",
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}",{{year}}年目/{{dayNumber}}日目/{{timeOfDay}}
GUI.DAY_LABEL,,Day {{dayNumber}},
GUI.DECONSTRUCT_LABEL,,Demolish,破壊
GUI.DIALOG.CANCEL_BUTTON,,Cancel,キャンセル
GUI.DIALOG.CONFIRM,,Confirm,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,{{name}}を削除してもよろしいですか？
GUI.DIALOG.DISMISS,,Dismiss,非表示
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,その名前のルームは既に存在します。
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,このバージョンのゲームと互換性がないため、保存ファイルをロードできませんでした。
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,エラーが発生しました
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,ゲームの読み込み中に予期しないエラーが発生しました。
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,ゲームの保存中に予期しないエラーが発生しました。
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,
GUI.DIALOG.INFO_TITLE,,Information,情報
GUI.DIALOG.JUMP_TO,,Go to Location,その場所へ移動
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,選択された言語の翻訳は現在不完全なため、一部のテキストが欠落しています。 代替言語が使用されます。
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Mod構成が変更されました。変更はゲームの再起動後に有効化されます。
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,このバージョンと互換性が無いため、無効になっているModがあります。 更新はModメニューで確認することができます。
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,部屋の名前を変更する
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,入植者の名前を変更する
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,変更を有効にするには、ゲームを再起動する必要があります。
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,{{name}}の名前でセーブしたゲームが存在します。新しいゲームを開始すると、既存のセーブファイルが上書きされます。続けますか？
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,入植地の名前を決める必要があります。
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,貯蔵所の設定:
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,クリックでDiscord communityに加入します
GUI.EMBARK.MAP_SEED,,Random Seed,
GUI.EMBARK.MAP_SIZE,,Map Size,
GUI.EMBARK.MAP_SIZE.LARGE,,Large,
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,
GUI.EMBARK.MAP_SIZE.SMALL,,Small,
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,
GUI.EMBARK.SETTLEMENT_NAME,,Name,
GUI.EMBARK.START,,Begin!,開始！
GUI.EMBARK.TITLE,,Choose Kingdom,
GUI.EMPTY_CONTAINER_LABEL,,Empty,空にする
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,空にしている
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,この容器の中身を地面に捨てます。
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},{{name}}に割り当て済
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,撤去しようとしている
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,画面設定
GUI.GRAPHICS.RESOLUTION,,Resolution,解像度
GUI.INVASION_LABEL,,Invasion,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,
