KEY,NOTES,ENGLISH,KOREAN
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","무큐레이션 후, {{FURNITURE.MUSHROOM_LOG}} 을 (를) 이 탱크에 넣어 버섯 식민지에 충격을 주고 버섯을 재배하도록 격려합니다."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,광석 분쇄 역
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,원료 {{자원.Ore.정제되지 않은 .복수형}} 원료는 {{RESOURCE.ORE.UNREFINED.PLURAL}} 에서 사용할 수 있도록 좀 더 작업 가능한 크기로 분쇄됩니다.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,기둥
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,큰 채굴 지역이 붕괴되는 것을 막기 위해 기둥이 필요합니다. 기둥이나 다른 지지대없이 채굴 된 7x7 타일 영역은 결국 붕괴됩니다.
FURNITURE.RETTING_TANK,,Retting tank,
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,석관
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,이 정교한 돌 용기는 사망 한 정착민의 마지막 휴식 장소입니다.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,서빙 테이블
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} 은 (는) {{FURNITURE.BAKING_OVEN}} 에서 구운 후 서빙하기 위해 여기에 놓입니다.
FURNITURE.SINGLE_BED,,Bed,침대
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest.,침대는 편안한 야간 휴식을위한 최고의 장소입니다.
FURNITURE.SINGLE_DOOR,,Door,문
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,도어 프레임
FURNITURE.SLEEPING_SPOT,,Sleeping spot,
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,스톤메이슨 워크벤치
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}} 은 {{MATERIAL_TYPE.STONE.ADJECTIVE}} 리소스와 함께 작동합니다.
FURNITURE.TANNING_FRAME,,Tanning frame,
FURNITURE.TANNING_FRAME.TOOLTIP,,Used to turn {{CARCASS.HIDE.PLURAL}} into {{PRODUCT.LEATHER.PLURAL}}.,
FURNITURE.TRADE_BANNER,,Banner,
FURNITURE.TRADE_BANNER.TOOLTIP,,A decorative banner to denote the trading depot.,
FURNITURE.TRAINING_DUMMY,,Training dummy,
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here.,
FURNITURE.WAGON_PARKED,,Wagon,
FURNITURE.WATERWHEEL,,Water Wheel,
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels,
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,
FURNITURE.WATER_BARREL,,Water Barrel,물 배럴
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",물 배럴은 이주민들이 강과 같은 천연 수원을 찾지 않고 갈증을 식힐 수있는 장소입니다.
FURNITURE.WATER_PUMP,,Water Pump,
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps,
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,
FURNITURE.WEAPON_RACK,,Weapon Rack,
FURNITURE.WEAPON_RACK.TOOLTIP,,Used to store weapons.,
FURNITURE.WELL,,Well,
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.",
FURNITURE.WINDMILL,,Windmill,
FURNITURE.WINDMILL.PLURAL,,Windmills,
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench,목판용 벤치
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,"{{전문 목재커터}} 이 (가) {{자원.로그, 복수형}} 을 (를) {{PROFESSION.WOODCUTTER}} 으로 전환하기 위해 여기서 작동합니다."

GEM.AMETHYST.ADJECTIVE,,Amethyst,자수정
GEM.AMETHYST.NOUN,,Amethyst,자수정
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,바이올렛 색조의 다양한 석영. 고대 인간은 너무 술에 취해지지 않도록 마술처럼 보호 할 수 있다고 믿었습니다. 이런 이유로 그것은 드워프 문화에서별로 인기가 없습니다.
GEM.AMMOLITE.ADJECTIVE,,Ammolite,암몰라이트
GEM.AMMOLITE.NOUN,,Ammolite,암몰라이트
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"빨간색에서 초록색 무지개 빛깔의 오팔과 같은 원석. “사냥용 돌”이라고 불리며, 부적으로 만든 부적은 사냥에 행운을 가져다 주기위한 것입니다."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,아쿠아마린
GEM.AQUAMARINE.NOUN,,Aquamarine,아쿠아마린
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,시안 컬러의 다양한 베릴. 어떤 인간은 바다의 위험에 대한 마법의 보호를 제공한다고 생각합니다. 이것은 고대 마법사가 어둠의 시대에 무역선을 보호하기 위해 하늘과 얼음 마법을 조합하여 사용했기 때문입니다.
GEM.BIXBITE.ADJECTIVE,,Bixbite,빅바이트
GEM.BIXBITE.NOUN,,Bixbite,빅바이트
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",레드 베릴이라고도 불리며 매우 드문 보석입니다. 그것은 종종 붉은 색 에메랄드에 대한 혼란.
GEM.CINNABAR.ADJECTIVE,,Cinnabar,신나바
GEM.CINNABAR.NOUN,,Cinnabar,신나바
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,깊은 붉은 색조로 인해 보석에 자주 사용되는 수은의 광석. 또한 주홍색으로 알려진 염료를 생산하는 데 사용됩니다.
GEM.CITRINE.ADJECTIVE,,Citrine,황수정
GEM.CITRINE.NOUN,,Citrine,황수정
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",황색을 띤 다양한 석영. 금색과 색상이 가장 유사한 보석이기 때문에 대부분의 드워프는 황수정 운이 좋다고 생각합니다.
GEM.DIAMOND.ADJECTIVE,,Diamond,다이아몬드
GEM.DIAMOND.NOUN,,Diamond,다이아몬드
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,가장 어려운 알려진 물질이며 7 개의 천상의 돌 중 가장 중요한 것 중 하나입니다. 다이아몬드는 “정신” 또는 “오드”로 알려진 중립 원소의 가장 응축된 형태입니다.
GEM.EMERALD.ADJECTIVE,,Emerald,에메랄드
GEM.EMERALD.NOUN,,Emerald,에메랄드
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,생동감 넘치는 녹색의 다양한 베릴. 에메랄드 조각은 큰 불행을 가져 오는 것으로 생각됩니다. 에메랄드는 원소 생명과 관련된 마법과 밀접한 관련이 있습니다.
GEM.GARNET.ADJECTIVE,,Garnet,가닛
GEM.GARNET.NOUN,,Garnet,가닛
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","가넷은 보석으로 사용되는 다양한 미네랄을 포함하고 있으며, 모두 깊은 붉은 색을 띠고 있습니다. 일부 가닛 보석은 실제로 원소 불의 응축 된 형태입니다."
GEM.JADE.ADJECTIVE,,Jade,제이드
GEM.JADE.NOUN,,Jade,제이드
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",밝은 녹색 색상의 미네랄 종종 장식에 사용됩니다. 또한 엘프는 창자의 질병을 치료할 수 있는 약을 생산하기 위해 옥을 사용하는 것으로 알려져 있습니다.
GEM.JASPER.ADJECTIVE,,Jasper,재스퍼
GEM.JASPER.NOUN,,Jasper,재스퍼
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",여러 가지 색상으로 발생할 수 있지만 가장 일반적으로 빨간색의 불순한 다양한 실리카. 재스퍼는 다양한 오크의 장식 재료로 선호됩니다.
GEM.LABRADORITE.ADJECTIVE,,Labradorite,라브라도라이트
GEM.LABRADORITE.NOUN,,Labradorite,라브라도라이트
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,일반적으로 하늘색 무지개 빛깔로 빛나는 바위입니다. 희귀한 표본은 다양한 색상을 반영할 수 있습니다.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,라피스 라줄리
GEM.LAPIS.NOUN,,Lapis lazuli,라피스 라줄리
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,귀중한 돌로 사용되는 선명한 딥 블루 컬러의 바위입니다.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,마그네사이트
GEM.MAGNESITE.NOUN,,Magnesite,마그네사이트
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,보석에 사용하기 위해 구슬로 연마 할 수있는 미네랄. 이 구슬은 다양한 색상으로 염색 할 수 있습니다.
GEM.MOONSTONE.ADJECTIVE,,Moonstone,월장석
GEM.MOONSTONE.NOUN,,Moonstone,월장석
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",암석 속에 담겨 있는 달빛에 의해 형성된 것으로 생각되는 이 보석은 엘프에게 가장 사랑받는 보석입니다.
GEM.MORGANITE.ADJECTIVE,,Morganite,모거나이트
GEM.MORGANITE.NOUN,,Morganite,모거나이트
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,로즈 컬러의 다양한 베릴. 그것은 신화의 시대에 특히 부유 한 상인에 의해 대중화 된 이름을 따서 명명되었습니다.
GEM.OPAL.ADJECTIVE,,Opal,오팔
GEM.OPAL.NOUN,,Opal,오팔
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","바다의 마법이 주입된 실리카로, 선원들과 어부들에게 사랑받고 있습니다."
GEM.PAINITE.ADJECTIVE,,Painite,파이니나이트
GEM.PAINITE.NOUN,,Painite,파이니나이트
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,종종 오프 컬러 사파이어로 식별되는 매우 희귀 한 보석. 크리스탈은 자연적으로 육각형이며 촉술가들의 사랑을 받고 있습니다.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,로도크로사이트
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,로도크로사이트
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,빨간색에서 분홍색까지 다양한 색조로 발견됩니다. 대부분의 보석만큼 힘들지 않아 반지와 기타 충격이 강한 보석에 적합하지 않습니다.
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,록 크리스탈
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,록 크리스탈
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,석영의 가장 순수한 형태. 바위 결정은 종종 얼음 원소의 응축 형태로서 마법의 유물에 등장합니다.
GEM.RUBY.ADJECTIVE,,Ruby,루비
GEM.RUBY.NOUN,,Ruby,루비
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",일곱 천상의 돌 중 하나 인 루비는 단단한 형태로 응축 된 불의 요소입니다.
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,사파이어
GEM.SAPPHIRE.NOUN,,Sapphire,사파이어
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",데몬의 주목으로부터 착용자를 보호한다고 여겨지는 사파이어는 하늘과 공기 기반의 마법에 사용하기 위해 마법사들이 많이 찾는 사파이어입니다.
GEM.SPINEL.ADJECTIVE,,Spinel,스피넬
GEM.SPINEL.NOUN,,Spinel,스피넬
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","종종 진정한 루비와 사파이어 같은 천상의 돌과 혼동, 스피넬은 마법 주입 보석의 작은 형태이며, 어떤 요소와도 연관 될 수 있습니다, 색상에 따라."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,탄자나이트
GEM.TANZANITE.NOUN,,Tanzanite,탄자나이트
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,블루와 바이올렛을 번갈아 사용할 수 있는 희귀 한 보석. 그것은 죽은 신의 물질적 몸으로 형성된 것으로 생각됩니다.
GEM.TOPAZ.ADJECTIVE,,Topaz,토파즈
GEM.TOPAZ.NOUN,,Topaz,토파즈
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","때로는 더 일반적인 {{GEM.CITRINE.NOUN}} 보석과 혼동, 토파즈는 여러 가지 색상에서 찾을 수 있지만 가장 일반적으로 황갈색입니다. 그것은 더 이상 존재하지 않는 섬에서 처음 발견되었습니다."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,토르말린
GEM.TOURMALINE.NOUN,,Tourmaline,토르말린
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,종종 {{ORE.CASSITERITE.ADJECTIVE}} 광석과 함께 발견됩니다. 그것은 때때로 지구 마법과 관련이 있습니다.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,청록색
GEM.TURQUOISE.NOUN,,Turquoise,청록색
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,장식에 자주 사용되는 푸른 녹색 미네랄. 그것은 무기명에게 행운을 가져다 줄 것으로 생각된다. 그것은 종종 지구의 요소로 주입됩니다.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},{{대상 설명}} 수집하는 중
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},마시는 {{대상 지역 재료}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},{{대상 설명}} 먹는 것
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},운반 {{대상 설명}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,유휴 상태
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,
GOAL.ON_FIRE.DESCRIPTION,,On fire!,
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,
GOAL.SLEEP.DESCRIPTION,,Going to sleep,잠자기
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},{{대상 지역 소재}} 전송 중

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,타일 추가/제거
GUI.ADD_TILES,,Add tiles,타일 추가
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,
GUI.BACK_LABEL,,Back,뒤로
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,다리
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,문
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,
GUI.BUILD.PILLARS,,Pillars,
GUI.BUILD.PIPING,,Pipes,
GUI.BUILD.POWER,,Power,
GUI.BUILD.ROOFING,,Roofing,
GUI.BUILD.WALLS,,Walls,벽
GUI.BUILD_FURNITURE,,Furniture,가구
GUI.BUILD_LABEL,,Build,빌드
GUI.CANCEL_LABEL,,Cancel,취소
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,직업 변경
GUI.CHANGE_WEAPON_LABEL,,Select weapon,
GUI.COMBAT_LABEL,,Combat,
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,
GUI.CROP_SELECTION,,Crop:,자르기:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}",
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, 일 {{일 번호}}, {{dayNumber}}"
GUI.DAY_LABEL,,Day {{dayNumber}},
GUI.DECONSTRUCT_LABEL,,Demolish,
GUI.DIALOG.CANCEL_BUTTON,,Cancel,
GUI.DIALOG.CONFIRM,,Confirm,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,
GUI.DIALOG.DISMISS,,Dismiss,해고
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,해당 이름의 룸이 이미 있습니다.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,저장 파일은이 버전의 게임과 호환되지 않기 때문에로드 할 수 없습니다.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,오류가 발생했습니다.
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,게임을 로드하는 동안 예기치 않은 오류가 발생했습니다.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,게임을 저장하는 동안 예상치 못한 오류가 발생했습니다.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,
GUI.DIALOG.INFO_TITLE,,Information,정보
GUI.DIALOG.JUMP_TO,,Go to Location,위치로 이동
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,선택한 언어 번역이 현재 불완전하며 일부 텍스트가 누락됩니다. 대체 언어가 사용됩니다.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,게임에 적용할 다른 모드 세트를 선택했습니다. 다음 번 게임이 다시 시작될 때 적용됩니다.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,하나 이상의 개조 게임이 버전과 호환되지 않는 및 비활성화되었습니다. 모드 메뉴에서 업데이트를 확인할 수 있습니다.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,확인
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,룸 이름 바꾸기
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,이 변경 사항을 적용하려면 게임을 다시 시작해야 합니다.
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,
GUI.EMBARK.MAP_SEED,,Random Seed,
GUI.EMBARK.MAP_SIZE,,Map Size,
GUI.EMBARK.MAP_SIZE.LARGE,,Large,
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,
GUI.EMBARK.MAP_SIZE.SMALL,,Small,
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,
GUI.EMBARK.SETTLEMENT_NAME,,Name,
GUI.EMBARK.START,,Begin!,
GUI.EMBARK.TITLE,,Choose Kingdom,
GUI.EMPTY_CONTAINER_LABEL,,Empty,
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},{{name}} 에 할당됨
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,현재 제거 중입니다.
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,전체 화면
GUI.GRAPHICS.RESOLUTION,,Resolution,해결 방법
GUI.INVASION_LABEL,,Invasion,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,
GUI.KEY_BINDING.FAST_PAN,,Fast pan,
