KEY,NOTES,ENGLISH,FRENCH
GEM.TURQUOISE.ADJECTIVE,,Turquoise,en turquoise
GEM.TURQUOISE.NOUN,,Turquoise,Turquoise
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Un minéral bleu-vert souvent utilisé dans les décorations. On pense qu'il porte bonne chance au porteur. Il est souvent infusé avec l'élément de la terre.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,Abandonne sa tâche
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Collecte {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},Attaque {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Boit {{targetZoneMaterial}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},Vide le contenu {{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Mange {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,Eteind le feu
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},Fuit {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transporte {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Temps libre
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,Etabli le camp
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,Se retire de la map
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,Pille la réserve
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,Part au combat
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,Garde la position
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,S'entraine aux armes
GOAL.ON_FIRE.DESCRIPTION,,On fire!,En feu!
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,Rempli la gourde
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Va dormir
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Transfère {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Ajouter/retirer des cases
GUI.ADD_TILES,,Add tiles,Ajouter des cases
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,Effet d'ambiance
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,{{item}} Disponible:
GUI.BACK_LABEL,,Back,"Retour "
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Pont
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Portes
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,Sol
GUI.BUILD.PILLARS,,Pillars,Pilliers
GUI.BUILD.PIPING,,Pipes,Tuyaux
GUI.BUILD.POWER,,Power,Puissance
GUI.BUILD.ROOFING,,Roofing,Toits
GUI.BUILD.WALLS,,Walls,Murs
GUI.BUILD_FURNITURE,,Furniture,Meubles
GUI.BUILD_LABEL,,Build,"Construire "
GUI.CANCEL_LABEL,,Cancel,"Annuler "
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Changer de profession
GUI.CHANGE_WEAPON_LABEL,,Select weapon,Selectionner arme
GUI.COMBAT_LABEL,,Combat,Combat
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,Construction
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Maintenance
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),{{craftingType}} ({{profession}})
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,Produit avec
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,Objet
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management,Gestion
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit,Limite
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity,Quantité
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement,Réduire
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment,Augmenter
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Plans
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Total actuel: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),({{quantity}} au total)
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,And You! Thanks For Playing!
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,Character Artists
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,Concept Artwork
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,Environment Artists
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,Lead Design & Programming
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,Lead 2D & UI Artist
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,Music & Sound Effects
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,Additional Music Tracks
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,Programming
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,Special Thanks
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,Special Thanks to our Founding Backers
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,Additional Thanks to our Patreon and Kickstarter Backers
GUI.CREDITS.TRANSLATORS_TITLE,,Translations,
GUI.CROP_SELECTION,,Crop:,Plantation:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},{{plantDescription}} - {{planting}} - {{usage}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,Ne peut pas être planté
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},Planté en {{season1}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},Planté en {{season1}} ou {{season2}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}","Planté en {{season1}}, {{season2}} ou {{season3}}"
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,Planté toute l'année
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, Jour {{dayNumber}}, Année {{year}}"
GUI.DAY_LABEL,,Day {{dayNumber}},Jour {{dayNumber}}
GUI.DECONSTRUCT_LABEL,,Demolish,Détruire
GUI.DIALOG.CANCEL_BUTTON,,Cancel,Annuler
GUI.DIALOG.CONFIRM,,Confirm,Valider
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,Etes vous sur de vouloir supprimer {{name}}?
GUI.DIALOG.DISMISS,,Dismiss,Rejeter
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Une pièce avec ce nom existe déjà.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Le fichier de sauvegarde n'a pas pu être chargé car il est incompatible avec cette version du jeu.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Une erreur s'est produite
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Une erreur inattendue s'est produite lors du chargement du jeu.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Une erreur inattendue s'est produite lors de la sauvegarde du jeu.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,Cacher les notifications
GUI.DIALOG.INFO_TITLE,,Information,Informations
GUI.DIALOG.JUMP_TO,,Go to Location,Aller à l'emplacement
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,La traduction de la langue sélectionnée est actuellement incomplète et il manque du texte. Un langage de secours sera utilisé.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Vous avez sélectionné un autre ensemble de mods à appliquer au jeu. Celles-ci seront appliquées au prochain redémarrage du jeu.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Un ou plusieurs mods sont incompatibles avec cette version du jeu et ont été désactivés. Vous pouvez vérifier les mises à jour dans le menu mods.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Renommer la pièce
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,Renommer le colon
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Vous devez redémarrer le jeu pour que cette modification prenne effet
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,Vous avez déjà une partie qui porte le nom de cette colonie {{name}}. Démarrer une nouvelle partie écrasera la sauvegarde existante. Etes vous sur de vouloir continuer?
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,Un nom de colonie doit être choisi
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,Paramêtre des réserves
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,Cliquez ici pour rejoindre notre communauté discord
GUI.EMBARK.MAP_SEED,,Random Seed,Seed aléatoire
GUI.EMBARK.MAP_SIZE,,Map Size,Taille de la carte
GUI.EMBARK.MAP_SIZE.LARGE,,Large,Grande
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,Moyenne
GUI.EMBARK.MAP_SIZE.SMALL,,Small,Petite
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,Mode paisible
GUI.EMBARK.SETTLEMENT_NAME,,Name,Nom
GUI.EMBARK.START,,Begin!,Démarrer!
GUI.EMBARK.TITLE,,Choose Kingdom,Choisir le royaume
GUI.EMPTY_CONTAINER_LABEL,,Empty,Vide
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,Le conteneur est en cours de vidage
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,Vide le contenu du récipient par terre
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Appartient à {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Retrait en cours
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,{{amount}} disponible
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,{{amount}} {{material}} disponible
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Plein écran
GUI.GRAPHICS.RESOLUTION,,Resolution,Résolution
GUI.INVASION_LABEL,,Invasion,Invasion
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,Debug frame buffer 0
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,Debug frame buffer 1
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,Debug frame buffer 2
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,Debug frame buffer 3
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,Debug frame buffer 4
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,Debug frame buffer 5
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,Debug frame buffer 6
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,Debug frame buffer 7
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,Debug frame buffer 8
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,Debug frame buffer 9
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,Debug game speed slow
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,Debug game speed ultra fast
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,Debug hide gui
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,Debug show individual lighting buffers
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,Debug show job status
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,Debug show liquid flow
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,Debug show menu
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,Debug show pathfinding nodes
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,Debug show zones
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,Debug toggle floor overlap rendering
GUI.KEY_BINDING.FAST_PAN,,Fast pan,Défilement rapide
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,Vitesse de jeu rapide
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,Vitesse de jeu très rapide
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,Vitesse de jeu la plus rapide
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,Vitesse de jeu normale
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,Déplacer caméra vers le bas
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,Déplacer caméra vers la gauche
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,Déplacer caméra vers la droite
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,Déplacer caméra vers le haut
GUI.KEY_BINDING.PAUSE,,Pause,Pause
GUI.KEY_BINDING.QUICKLOAD,,Quickload,Chargement rapide
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,Sauvegarde rapide
GUI.KEY_BINDING.ROTATE,,Rotate,Rotation
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,Zoom avant
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,Zoom arrière
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,Vide (en jachère)
GUI.LOAD_GAME.TABLE.COPY_SEED,,Copy Seed,
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,Dernière modification
GUI.LOAD_GAME.TABLE.DELETE,,Delete,Supprimer
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,Temps de jeu
GUI.LOAD_GAME.TABLE.PLAY,,Play,Jouer
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,Nom
GUI.LOAD_GAME.TABLE.VERSION,,Version,Version
GUI.LOAD_GAME.TITLE,,Load Game,Charger partie
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,Copier dans le presse papier
GUI.MAP_SEED_DISPLAY,,"Current map seed: ",Seed actuelle de la carte
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,Horizontale
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,Verticale
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,Nommer nouvelle escouade
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},Choisir un emblême pour {{squadName}}
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,Renommer escouade
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,Assigner à l'escouade
GUI.MILITARY.NEW_SQUAD,,New Squad,Nouvelle escouade
GUI.MILITARY.ORDERS,,Orders,Ordres
GUI.MILITARY.ORDERS.ATTACK,,Attack,Attaquer
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,Annuler l'attaque
GUI.MILITARY.ORDERS.GUARD,,Guard,Garder
GUI.MILITARY.ORDERS.RETREAT,,Retreat,Retraite
GUI.MILITARY.ORDERS.TRAIN,,Train,S'entrainer
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,Supprimer l'escouade
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,Etes vous sûre de vouloir supprimer l'escouade ?
GUI.MILITARY.SET_FORMATION,,Set Formation,Etablir Formation
GUI.MILITARY.SET_ORDERS,,Set Orders,Donner un ordre
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,Nains militaires
GUI.MILITARY.TAB.SQUADS,,Military Squads,Escouades militaires
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,Civils entrainés
GUI.MINIMAP.LABEL,,Minimap,Minimap
GUI.MUSIC_VOLUME,,Music,Musique
GUI.NEXT_LABEL,,Next,Suivant
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Aucune rotation possible pour ce meuble dans cette version du jeu
GUI.OK_LABEL,,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Options sonores
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Rendre les arbres transparents lorsqu'ils cachent les colons.
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ","Options de jeu "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Faire défiler lorsque le curseur est sur le bord de l'écran
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,Zoom au niveau du curseur
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,Sans bordures
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,Plein écran
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,Fenêtré
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Options graphiques "
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,Effet météo
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,Affiche les effets météo sur les objets (ex: la neige sur un meuble)
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,Contrôles
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,Opt In For Crash Reports
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Divers
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,Débuter la partie avec le tutoriel
GUI.OPTIONS.RESET,,Reset,Réinitialiser
GUI.OPTIONS.TAB.AUDIO,,Audio,Audio
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Gameplay
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Graphiques
GUI.OPTIONS.TAB.MISC,,Other,Autres
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Compte Twitch
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Code
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Compte Twitch connecté
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Déconnecter
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Compte Twitch déconnecté
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Intégration Twitch activée
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,Une erreur est survenue durant la communication avec Twitch
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,Lier le compte Twitch
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,Donner la priorité aux abonnés
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Envoyer
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Intégration Twitch
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,Utilisez les spectateurs comme nom de colons
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers,{{numViewers}} spectateurs
GUI.ORDERS.CHOP_WOOD,,Chop,Couper
GUI.ORDERS.CLEAR_GROUND,,Clear,Arracher
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,Irrigation
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,Cet ordre est utilisé pour creuser les canaux dans le sol
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,Eteindre les flammes
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,Cet ordre est utilisé pour indiquer les flammes à éteindre.
GUI.ORDERS.HARVEST_PLANTS,,Harvest,Récolter
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,Chasser
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,Cet ordre est utilisé pour selectionner un animal à chasser.
GUI.ORDERS.MINE,,Mine,Miner
GUI.ORDERS_LABEL,,Orders,"Ordres "
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Un pont doit couvrir les deux côtés de la rivière et avoir au moins 3x3 tuiles de taille
GUI.POWER_LABEL,,Power & Water,Energie & Eau
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},Les {{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} et les {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} sont connectés à des arbres de transmissions {{drawable|tooltip_icon_power}}{{\n}}Les arbres de transmissions {{drawable|tooltip_icon_power}} alimente les {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} et les mobiliers nécessitant de la puissance.{{\n}} Les{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} et les canaux d'irrigation {{drawable|tooltip_icon_irrigation}} sont connectés aux {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}}
GUI.PRIORITY_LABEL,,Priority,Priorité
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,Choisir l'objet à produire
GUI.PRODUCTION_EXPORT.LIMIT.REACHED,,Production halted - limit is set to {{quantity}},
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,Choisir l'objet à déposer
GUI.REMOVE_LABEL,,Remove,Retirer
GUI.REMOVE_TILES,,Remove tiles,Retirer des cases
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},Les {{item}}
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,Disponible
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,{{available}} / {{total}} Disponible
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,{{item}} a son contenu vidé par
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,{{item}} ont leurs contenus vidé par
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,{{item}} doit être transporté
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,{{item}} doivent être transportés
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,{{item}} est équipé par
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,{{item}} sont équipés par
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,{{item}} est alloué à
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,"{{item}} sont alloués à "
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,{{item}} est transporté par
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by,{{item}} sont transportés par
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of,{{item}} est dans l'inventaire de
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of,"{{item}} sont dans les inventaires de "
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire,{{item}} est en feu
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE.PLURAL,,{{item}} are on fire,{{item}} sont en feu
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION,,{{item}} is being placed for construction,{{item}} est entrain d'être placé pour la construction
