KEY,NOTES,ENGLISH,ITALIAN
GEM.TURQUOISE.ADJECTIVE,,Turquoise,di turchese
GEM.TURQUOISE.NOUN,,Turquoise,Turchese
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Un minerale blu-verde spesso usato nelle decorazioni. Si pensa che porti fortuna al portatore. È spesso infuso con l'elemento della terra.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,Abbandona il compito
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Sta raccogliendo: {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},Attacca {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Bere {{targetZoneMaterial}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},Scaricare il contenuto di {{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Mangiare {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,Spegnere il fuoco
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},In fuga da {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Sta trasportando: {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Non sta facendo niente
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,Allestimento del campo
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,Ritirarsi dalla mappa
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,Razziare le scorte
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,Passare al combattimento
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,Sorvegliare una posizione
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,Addestramento con le armi
GOAL.ON_FIRE.DESCRIPTION,,On fire!,A fuoco!
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,Riempire l'otre d'acqua
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Sta andando a dormire
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Sta trasferendo: {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Aggiungi/Rimuovi caselle
GUI.ADD_TILES,,Add tiles,Aggiungi caselle
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,Volume effetto atmosfera ambiente:
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,{{item}} Disponibile:
GUI.BACK_LABEL,,Back,Indietro
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Ponte
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Porte
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,Pavimentazione
GUI.BUILD.PILLARS,,Pillars,Pilastri
GUI.BUILD.PIPING,,Pipes,Tubi
GUI.BUILD.POWER,,Power,Potenza
GUI.BUILD.ROOFING,,Roofing,Tetto
GUI.BUILD.WALLS,,Walls,Pareti
GUI.BUILD_FURNITURE,,Furniture,Mobili
GUI.BUILD_LABEL,,Build,Costruisci
GUI.CANCEL_LABEL,,Cancel,Annulla
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Cambia professione
GUI.CHANGE_WEAPON_LABEL,,Select weapon,Seleziona l'arma
GUI.COMBAT_LABEL,,Combat,Combattimento
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,Costruzione
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Mantenere
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),{{craftingType}} ({{profession}})
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,Realizzato con
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,Oggetto
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management,Gestione
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit,Limite
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity,Quantità
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement,Decremento
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment,Incremento
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,"Creazione di "
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Totale attuale: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),({{quantity}} in totale)
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,E voi! Grazie per aver giocato!
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,Artisti dei personaggi
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,Opere d'arte concettuale
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,Artisti dell'ambiente
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,Responsabile della progettazione e della programmazione
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,Artista principale 2D e UI
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,Musica ed effetti sonori
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,Brani musicali aggiuntivi
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,Programmazione
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,Ringraziamenti speciali
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,Un ringraziamento speciale ai nostri finanziatori
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,Ulteriori ringraziamenti ai nostri sostenitori di Patreon e Kickstarter
GUI.CREDITS.TRANSLATORS_TITLE,,Translations,Traduzioni
GUI.CROP_SELECTION,,Crop:,Coltura:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},{{plantDescription}} - {{planting}} - {{usage}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,Non può essere piantato
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},Pianta nella {{season1}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},Pianta nella {{season1}} o {{season2}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}","Pianta nella {{season1}}, {{season2}} o {{season3}}"
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,Piantate tutto l'anno
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, Giorno {{dayNumber}}, Anno {{year}}"
GUI.DAY_LABEL,,Day {{dayNumber}},Giorno {{dayNumber}}
GUI.DECONSTRUCT_LABEL,,Demolish,Demolisci
GUI.DIALOG.CANCEL_BUTTON,,Cancel,Annulla
GUI.DIALOG.CONFIRM,,Confirm,Conferma
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,Sei sicuro di voler cancellare {{name}}?
GUI.DIALOG.DISMISS,,Dismiss,- Mancate
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Una stanza con quel nome esiste già.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Impossibile caricare il file di salvataggio perchÃ© non è compatibile con questa versione del gioco.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,È stato riscontrato un errore
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Si è verificato un errore imprevisto durante il caricamento del gioco.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Si è verificato un errore imprevisto durante il salvataggio del gioco.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,Nascondi queste notifiche
GUI.DIALOG.INFO_TITLE,,Information,Informazioni
GUI.DIALOG.JUMP_TO,,Go to Location,Vai alla località
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,La traduzione della lingua selezionata è attualmente incompleta e mancherà del testo. Verrà utilizzato un linguaggio di fallback.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Hai selezionato una serie diversa di mod da applicare al gioco. Questi verranno applicati al successivo riavvio del gioco.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Una o più mod sono incompatibili con questa versione del gioco e sono state disattivate. Puoi controllare gli aggiornamenti nel menu mod.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Rinomina stanza
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,Rinomina colono
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,È necessario riavviare il gioco affinchÃ© questa modifica abbia effetto
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,Hai già una partita salvata per l'insediamento {{name}}. Iniziare una nuova partita sovrascriverà il file di salvataggio esistente. Sei sicuro di voler continuare?
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,Deve essere specificato un nome per l'insediamento.
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,Impostazioni del magazzino
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,Clicca qui per unirti alla nostra comunità Discord
GUI.EMBARK.MAP_SEED,,Random Seed,Seme della mappa:
GUI.EMBARK.MAP_SIZE,,Map Size,Dimensione della mappa
GUI.EMBARK.MAP_SIZE.LARGE,,Large,Grande
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,Media
GUI.EMBARK.MAP_SIZE.SMALL,,Small,Piccola
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,Modalità pacifica
GUI.EMBARK.SETTLEMENT_NAME,,Name,Nome dell'insediamento:
GUI.EMBARK.START,,Begin!,Andiamo!
GUI.EMBARK.TITLE,,Choose Kingdom,Opzioni di imbarco
GUI.EMPTY_CONTAINER_LABEL,,Empty,Vuoto
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,Il contenuto viene svuotato.
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,Scaricate il contenuto di questo contenitore a terra.
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Oggetto assegnato a: {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Rimozione in corso
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,{{amount}} disponibile/i
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,{{amount}} {{material}} disponibile/i
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Schermo intero
GUI.GRAPHICS.RESOLUTION,,Resolution,Risoluzione
GUI.INVASION_LABEL,,Invasion,Invasione
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,Buffer frame di debug 0
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,Buffer frame di debug 1
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,Buffer frame di debug 2
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,Buffer frame di debug 3
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,Buffer frame di debug 4
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,Buffer frame di debug 5
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,Buffer frame di debug 6
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,Buffer frame di debug 7
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,Buffer frame di debug 8
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,Buffer frame di debug 9
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,Velocità del gioco di debug lenta
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,Velocità di debug del gioco veloce
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,Debug nascondi gui
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,Debug mostra i singoli buffer di illuminazione
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,Debug mostra lo stato del lavoro
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,Debug mostra flusso di liquido
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,Mostra menu di debug
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,Debug mostra nodi di pathfinding
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,Debug mostra zone
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,Rendering della sovrapposizione del pavimento con toggle di debug
GUI.KEY_BINDING.FAST_PAN,,Fast pan,Padella veloce
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,Velocità di gioco veloce
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,Velocità di gioco più elevata
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,Velocità di gioco massima
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,Velocità di gioco normale
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,Velocità di gioco bassa
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,Panoramica della telecamera a sinistra
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,Panoramica della telecamera a destra
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,Panoramica della telecamera sopra
GUI.KEY_BINDING.PAUSE,,Pause,Pausa
GUI.KEY_BINDING.QUICKLOAD,,Quickload,Caricamento rapido
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,Salvataggio rapido
GUI.KEY_BINDING.ROTATE,,Rotate,Ruota
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,Ingrandisci
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,Rimpicciolisci
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,Nessuna (lascia incolto)
GUI.LOAD_GAME.TABLE.COPY_SEED,,Copy Seed,Copia seme
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,Ultima modifica
GUI.LOAD_GAME.TABLE.DELETE,,Delete,Elimina
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,Tempo del mondo
GUI.LOAD_GAME.TABLE.PLAY,,Play,Gioca
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,Nome
GUI.LOAD_GAME.TABLE.VERSION,,Version,Versione
GUI.LOAD_GAME.TITLE,,Load Game,Carica il gioco
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,Copia negli appunti
GUI.MAP_SEED_DISPLAY,,"Current map seed: ","Seme della mappa corrente: "
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,Orizzontale
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,Verticale
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,Nome della nuova squadra
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},Scegli l'emblema per {{squadName}}
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,Rinomina squadra
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,Assegna a una nuova squadra
GUI.MILITARY.NEW_SQUAD,,New Squad,Nuova squadra
GUI.MILITARY.ORDERS,,Orders,Ordini
GUI.MILITARY.ORDERS.ATTACK,,Attack,Attacco
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,Annulla l'attacco
GUI.MILITARY.ORDERS.GUARD,,Guard,Guardia
GUI.MILITARY.ORDERS.RETREAT,,Retreat,Ritirata
GUI.MILITARY.ORDERS.TRAIN,,Train,Addestramento
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,Rimuovi squadra
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,Sei sicuro di voler rimuovere questa Squadra?
GUI.MILITARY.SET_FORMATION,,Set Formation,Imposta Formazione
GUI.MILITARY.SET_ORDERS,,Set Orders,Imposta ordini
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,Nani militari
GUI.MILITARY.TAB.SQUADS,,Military Squads,Squadre militari
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,Civili addestrati
GUI.MINIMAP.LABEL,,Minimap,Minimappa
GUI.MUSIC_VOLUME,,Music,Volume della musica:
GUI.NEXT_LABEL,,Next,Avanti
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Questo mobile non può essere ruotato in questa versione del gioco
GUI.OK_LABEL,,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Opzioni audio
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Rendere trasparenti gli alberi quando si oscurano i coloni
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options ",Opzioni di gioco
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,Scorri quando il cursore si trova sul bordo dello schermo
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,"Questo è per una domanda che chiede se il giocatore vuole che la telecamera scorrimento/panoramica in base a dove si trova il cursore del mouse quando ingrandisce o riduce, Scorrere verso il cursore quando si fa lo zoom"
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,Senza bordi
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,Schermo intero esclusivo
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,Finestrato
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Opzioni grafiche "
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,Effetti atmosferici
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,Mostrare effetti atmosferici come la neve sui mobili
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,Imposta tasti
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,Consenti rapporti di arresto anomalo automatico
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Varie
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,Chiedi di avviare il tutorial all'inizio del gioco
GUI.OPTIONS.RESET,,Reset,Resetta
GUI.OPTIONS.TAB.AUDIO,,Audio,Audio
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Gameplay
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Grafica
GUI.OPTIONS.TAB.MISC,,Other,Altro
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Twitch Account:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Codice
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,Account Twitch collegato
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Disconnetti
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Account Twitch disconnesso
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,Integrazione Twitch abilitata
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,Si è verificato un errore durante la comunicazione con Twitch
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,Clicca qui per collegare il tuo account Twitch
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,Dare la priorità agli abbonati
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Invia
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,Integrazione Twitch
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,Usare gli spettatori come nomi di coloni
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers,{{numViewers}} spettatori
GUI.ORDERS.CHOP_WOOD,,Chop,Taglia
GUI.ORDERS.CLEAR_GROUND,,Clear,Rimuovi
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,Irrigazione
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,Questo ordine è usato per scavare canali nel terreno.
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,Estinguere
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,Questo ordine è usato per estinguere gli incendi che stanno bruciando.
GUI.ORDERS.HARVEST_PLANTS,,Harvest,Raccogli
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,Cacciare
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,Questo ordine è utilizzato per selezionare gli animali da cacciare.
GUI.ORDERS.MINE,,Mine,Scava
GUI.ORDERS_LABEL,,Orders,Ordini
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Un ponte deve coprire entrambi i lati del fiume e avere dimensioni di almeno 3x3 piastrelle
GUI.POWER_LABEL,,Power & Water,Energia e acqua
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},"{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} e {{FURNITURE.WATERWHEEL.PLURAL}}
{{drawable|tooltip_icon_waterwheel}} si collegano alle linee elettriche {{drawable|tooltip_icon_power}}{{n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{n}}Le linee elettriche {{drawable|tooltip_icon_power}} alimentano {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} e altri mobili alimentati{{n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} e l'irrigazione {{drawable|tooltip_icon_irrigation}} sono collegati a {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}}"
GUI.PRIORITY_LABEL,,Priority,Priorità
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,Scegliere l'oggetto da esportare
GUI.PRODUCTION_EXPORT.LIMIT.REACHED,,Production halted - limit is set to {{quantity}},Produzione interrotta - il limite è impostato su {{quantity}}
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,Scegliere l'oggetto da importare
GUI.REMOVE_LABEL,,Remove,Rimuovi
GUI.REMOVE_TILES,,Remove tiles,Rimuovi caselle
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},Tutti {{item}}
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,Disponibili
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,{{available}} / {{total}} Disponibili
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,Il contenuto di {{item}} viene scaricato da
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,{{item}} hanno il loro contenuto scaricato da
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,Il trasporto di {{item}} è previsto
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,{{item}} devono essere trasportate
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,{{item}} è equipaggiato da
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,{{item}} sono equipaggiati da
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,{{item}} è assegnato a
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,{{item}} sono assegnati a
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,{{item}} viene trasportato da
