KEY,NOTES,ENGLISH,TURKISH
FURNITURE.MALTING_STATION.TOOLTIP,,Here brewers steep barley and then dry it out using a kiln to produce malt.,Bira yapımcısı burada önce arpayı ıslatır ardından malt üretmek için fırında kurutur.
FURNITURE.MASH_TUN,,Mash tun,Püre Fıçısı
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,Burası öğütülmüş malt ve su  ile fermente edilmemiş bira üretiminde kullanılır.
FURNITURE.MUSHROOM_LOG,,Mushroom log,Mantar kütüğü
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",{{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} ile aşılanmış kütük birkaç hasatlık  lezzetli ve sulu mantar üretecektir.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Şok tankı
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",Aşılamanın ardından {{FURNITURE.MUSHROOM_LOG}} mantarların büyümesini teşvik etmek adına şok tankının içine yerleştirilir.
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Cevher parçalama istasyonu
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,Ham {{RESOURCE.ORE.UNREFINED.PLURAL}} {{FURNITURE.SMELTER}} kullanılabilecek daha küçük parçalara ayrılır.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Sütun
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,"Sütun büyük kazı alanlarının çökmesini engellemek için gereklidir. 7 x 7 karo dan oluşan, sütun veya diğer destek yapılarından biri tarafından desteklenmeyen alanlar eninde sonunda çökecektir."
FURNITURE.RETTING_TANK,,Retting tank,
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkofaj
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,"Bu özenle hazırlanmış taş kutu, vefat etmiş bir vatandaşın son dinlenme mekanı."
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Servis masası
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.," {{PRODUCT.BREAD.LOAF.PLURAL}} {{FURNITURE.BAKING_OVEN}} pişirildikten sonra servis edilmek için buraya yerleştirilir."
FURNITURE.SINGLE_BED,,Bed,Yatak
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest.,"Yatak, rahat bir uyku için en iyi yer."
FURNITURE.SINGLE_DOOR,,Door,Kapı
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Kapı çerçevesi
FURNITURE.SLEEPING_SPOT,,Sleeping spot,
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Taş ustası tezgahı
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}} burada {{MATERIAL_TYPE.STONE.ADJECTIVE}} kaynakları ile çalışır.
FURNITURE.TANNING_FRAME,,Tanning frame,
FURNITURE.TANNING_FRAME.TOOLTIP,,Used to turn {{CARCASS.HIDE.PLURAL}} into {{PRODUCT.LEATHER.PLURAL}}.,
FURNITURE.TRADE_BANNER,,Banner,
FURNITURE.TRADE_BANNER.TOOLTIP,,A decorative banner to denote the trading depot.,
FURNITURE.TRAINING_DUMMY,,Training dummy,
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here.,
FURNITURE.WAGON_PARKED,,Wagon,
FURNITURE.WATERWHEEL,,Water Wheel,
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels,
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,
FURNITURE.WATER_BARREL,,Water Barrel,Su Fıçısı
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Su fıçısı, vatandaşların nehir gibi doğal su kaynağı bulmalarına gerek kalmadan  susuzluklarını giderdiği yerdir."
FURNITURE.WATER_PUMP,,Water Pump,
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps,
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,
FURNITURE.WEAPON_RACK,,Weapon Rack,
FURNITURE.WEAPON_RACK.TOOLTIP,,Used to store weapons.,
FURNITURE.WELL,,Well,
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.",
FURNITURE.WINDMILL,,Windmill,
FURNITURE.WINDMILL.PLURAL,,Windmills,
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench,Doğrama tezgahı
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,{{PROFESSION.WOODCUTTER}} burada {{RESOURCE.LOGS.PLURAL}} {{RESOURCE.PLANKS.PLURAL}} dönüştürür.

GEM.AMETHYST.ADJECTIVE,,Amethyst,Ametist
GEM.AMETHYST.NOUN,,Amethyst,Ametist
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,Menekşe renkli bir kuvars çeşidi. Antik insanlar taşın kendilerini çok sarhoş olmaktan koruyacağına inandıkları için Cüce kültüründe çok popüler değil.
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"Kırmızı ve yeşil parıltıya sahip, opal benzeri kıymetli taş. ""Avcı Taşı"" olarak bilinir ve bu taştan yapılan muskaların av esnasında iyi şans getireceğine inanılır."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Aquamarin
GEM.AQUAMARINE.NOUN,,Aquamarine,Aquamarin
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,"Camgöbeği renkli bir beril çeşididir. Bazı insanlar, antik bir büyücü gök ve buz büyülerini  denizlerin tehlikelerine karşı büyüşü bir koruma sağladığına inanır. Bunun inanışın nedeni, antik bir büyücünün karanlık çağda ticaret gemilerini korumak için gökyüzü ve buz büyüsünün bir kombinasyonunu kullanmış olmasıdır."
GEM.BIXBITE.ADJECTIVE,,Bixbite,Biksbit
GEM.BIXBITE.NOUN,,Bixbite,Biksbit
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",Kırmızı beril olarakta bilinen çok nadir bir değerli taş. Genellikle kırmızı zümrüt ile karıştırılır.
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Zincifre
GEM.CINNABAR.NOUN,,Cinnabar,Zincifre
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,Koyu kırmızı rengi nedeni ile genellikle mücevher yapımında kullanılan bir civa cevheri. Ayrıca vermilyon olarak bilinen boyanında yapımında kullanılır.
GEM.CITRINE.ADJECTIVE,,Citrine,Sitrin
GEM.CITRINE.NOUN,,Citrine,Sitrin
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",Sarımsı kuvars çeşidi. Rengi altına en yakın değerli taş olduğu için cüceler şans getirdiğine inanır.
GEM.DIAMOND.ADJECTIVE,,Diamond,Elmas
GEM.DIAMOND.NOUN,,Diamond,Elmas
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,"Yedi cennet taşlarının en önemlilerinden biri olan ve bilinen en sert madde.  Elmaslar, “ruh” veya “eter” olarak bilinen nötr elementin en yoğun halidir."
GEM.EMERALD.ADJECTIVE,,Emerald,Smaragd
GEM.EMERALD.NOUN,,Emerald,Smaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,"Eine leuchtend grÃ¼ne Beryllvariante. Man glaubt, dass Gravuren auf einem Smaragd groÃŸes UnglÃ¼ck bringen. Smaragde sind eng mit dem Elementarleben und der damit verbundenen Magie verwandt."
GEM.GARNET.ADJECTIVE,,Garnet,Zümrüt
GEM.GARNET.NOUN,,Garnet,Zümrüt
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",Zümrütler değerli taş olarak geçen ve genellikle koyu kırmızı renge sahip olan minerallerin genel adıdır. Bazı zümrütler aslında yoğunlaştırılmış ateş elementidir.
GEM.JADE.ADJECTIVE,,Jade,Yeşim
GEM.JADE.NOUN,,Jade,Yeşim
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Açık yeşil renge sahip ve genellikle dekorasyon için kullanılan mineral. Ayrıca, elflerin yeşimi bağırsak rahatsızlıklarına iyi gelen ilaç yapımında kullanıldığı biliniyor."
GEM.JASPER.ADJECTIVE,,Jasper,Jasper
GEM.JASPER.NOUN,,Jasper,Jasper
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Silisin, genellikle kırmızı olan ancak farklı renklerdede görülebilenö saf olmayan bir çeşidi. Jasper renk çeşitliliği nedeni ile Orklar tarafından rağbet görmektedir."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradorit
GEM.LABRADORITE.NOUN,,Labradorite,Labradorit
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,Açık mavi bir ışıltıyla parlayan bir taş. Nadir çeşitleri  farklı renkler yansıtabilmektedir.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapislazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapislazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,Muhteşem bir koyu mavi renge sahip olan değerli taş.
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Manyezit
GEM.MAGNESITE.NOUN,,Magnesite,Manyezit
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,"Kuyucumlukta kullanılmak üzere boncuk haline getirebilen ve isteğe göre farklı renklere boyanabilen bir mineral. "
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Lüle Taşı
GEM.MOONSTONE.NOUN,,Moonstone,Lüle Taşı
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",Ay ışığının bir taş içine hapsolması ile oluştuğu düşünülen ve bu nedenle Elflerin favorisi olan değerli taş.
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganit
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,"Gül rengine sahip bir beril çeşidi. Efsaneler çağında yaşamış, zengin bir tüccar tarafından popülerleştirildikden sonra bu ismi almıştır."
GEM.OPAL.ADJECTIVE,,Opal,Opal
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",Okyanusların büyüsü ile birleşmiş bir silika çeşididir. Bu nedenle denizciler ve balıkçılar arasında popülerdir.
GEM.PAINITE.ADJECTIVE,,Painite,Painit
GEM.PAINITE.NOUN,,Painite,Painit
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,Çok nadir bir mücehverdir genellikle solgun safir renginden anlaşılır. Kristaller doğal olarak altıgen şeklindedirler ve taktik uzmanlarının favorileridir.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodokrosit
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodokrosit
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,Kırmızıdan pembeye kadar farklı tonlarda bulunur. Diğer değerli taşlar kadar sert olmadıkları için genellikle yüzük veya diğer şaşalı takılarda kullanılmaz.
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Kaya Kristali
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Kaya Kristali
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,Kuvarsın en saf hali. Taş kristalleri buz elementinin yoğunlaşmış halleri olduğu için genellikle büyülü artefaktlarda kullanılırlar.
GEM.RUBY.ADJECTIVE,,Ruby,Yakut
GEM.RUBY.NOUN,,Ruby,Yakut
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",Yedi cennet taşından biri olan yakutlar katı hale yoğunlaşmış ateş elementidirler.
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Safir
GEM.SAPPHIRE.NOUN,,Sapphire,Safir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Genellikle kullanıcıyı iblislerden koruduğuna inanılan safir, büyücüler tarafından gök ve hava temelli büyülerde kullanmak için rağbet görür."
GEM.SPINEL.ADJECTIVE,,Spinel,Spinel
GEM.SPINEL.NOUN,,Spinel,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Genellikle  yakutlar ve safirler gibi cennet taşlarla karıştırılan spineller, renge bağlı olarak herhangi bir elementle ilişkilendirilebilen daha aşağı seviye büyü ile aşılanmış mücevher şeklidir."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanit
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanit
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,Mavi veya menekşe arasında renk değiştirebilen nadir bir değerli taş. Ölü bir tanrının fiziksel bedeninden meydana geldikleri düşünülüyor.
GEM.TOPAZ.ADJECTIVE,,Topaz,Topaz
GEM.TOPAZ.NOUN,,Topaz,Topaz
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",Bazen daha kolay bulunan {{GEM.CITRINE.NOUN}} karıştırılan topaz birkaç renkte bulunabilir ancak genellikle kahverengiye çalan sarı rengindedir. İlk defa artık olmayan bir adada keşfedildi.
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalin
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Genellikle {{ORE.CASSITERITE.ADJECTIVE}} ile beraber bulunan cevher. Bazen yeryüzü büyüsü ile ilişkilendirilir.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkuaz
GEM.TURQUOISE.NOUN,,Turquoise,Turkuaz
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,Mavi-yeşil renge sahip genellikle dekorasyonda kullanılan bir mineral. Taşıyıcısına iyi şans getirdiğine inanılır. Genellikle toprak elementi ile birleiştirilir.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}}," {{targetDescription}} toplanıyor"
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}}," {{targetZoneMaterial}} içiliyor"
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},{{targetDescription}} yeniliyor
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},{{itemDescription}} taşınıyor
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Boşta
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,
GOAL.ON_FIRE.DESCRIPTION,,On fire!,
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Uyumaya gidiyor
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},{{targetZoneMaterial}} aktarılıyor

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Karo ekle/çıkar
GUI.ADD_TILES,,Add tiles,Karo ekle
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,
GUI.BACK_LABEL,,Back,Geri
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Köprü
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Kapı
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,
GUI.BUILD.PILLARS,,Pillars,
GUI.BUILD.PIPING,,Pipes,
GUI.BUILD.POWER,,Power,
GUI.BUILD.ROOFING,,Roofing,
GUI.BUILD.WALLS,,Walls,Duvar
GUI.BUILD_FURNITURE,,Furniture,Mobilya
GUI.BUILD_LABEL,,Build,İnşa Et
GUI.CANCEL_LABEL,,Cancel,İptal
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Meslek Değiştir
GUI.CHANGE_WEAPON_LABEL,,Select weapon,
GUI.COMBAT_LABEL,,Combat,
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,Sabit Düzey
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Üretim
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Anlık toplam: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),Toplam) ({{quantity}}
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,
GUI.CROP_SELECTION,,Crop:,Mahsül:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}",
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, Gün {{dayNumber}}"
GUI.DAY_LABEL,,Day {{dayNumber}},
GUI.DECONSTRUCT_LABEL,,Demolish,Yık
GUI.DIALOG.CANCEL_BUTTON,,Cancel,
GUI.DIALOG.CONFIRM,,Confirm,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,
GUI.DIALOG.DISMISS,,Dismiss,Savmak
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Bu isime sahip bir oda zaten var.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,Kayıt dosyası oyunun bu versiyonu ile uyumlu olmadığı için yüklenemedi.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Bir hata oluştu.
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Oyunu yüklerken beklenmeyen bir hata oluştu.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Oyunu kaydederken beklenmeyen bir hata oluştu.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,
GUI.DIALOG.INFO_TITLE,,Information,Bilgi
GUI.DIALOG.JUMP_TO,,Go to Location,Konuma git
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Seçilen dilin çevirisi henüz tamamlanmadı ve bazı metinler eksik. Eksik kısımlar yedek dil ile doldurulacak.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,"Oyuna uygulanacak farklı bir mod seti seçtiniz. Bu modlar, oyun yeniden başlatıldığında aktif hale gelecektir."
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Bir veya birden fazla mod oyunun sürümü ile uyumlu değil bu yüzden devre dışı bırakıldı. Güncellemeler için Mod menüsünü kontrol edebilirsin.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Tamam
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Odayı yeniden isimlendir
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,Vatantaşı yeniden isimlendir
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,Bu değişikliğin gerçekleşmesi için oyunu yeniden başlatman gerekiyor.
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,
GUI.EMBARK.MAP_SEED,,Random Seed,
GUI.EMBARK.MAP_SIZE,,Map Size,
GUI.EMBARK.MAP_SIZE.LARGE,,Large,
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,
GUI.EMBARK.MAP_SIZE.SMALL,,Small,
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,
GUI.EMBARK.SETTLEMENT_NAME,,Name,
GUI.EMBARK.START,,Begin!,
GUI.EMBARK.TITLE,,Choose Kingdom,
GUI.EMPTY_CONTAINER_LABEL,,Empty,
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}}," {{name}} a atandı"
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Şuanda kaldırılıyor
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Tam ekran
GUI.GRAPHICS.RESOLUTION,,Resolution,Çözünürlük
GUI.INVASION_LABEL,,Invasion,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
