KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,厨房台面
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,{{PROFESSION.CHEF}}摆放做汤用的食材的地方。
FURNITURE.LANTERN,,Lantern,提灯
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light. This does not currently have an in-game effect.,便携式的灯具，游戏内尚未实装效果。
FURNITURE.LEATHERWORKING_STATION,,Leatherworking station,制皮台
FURNITURE.LEATHERWORKING_STATION.TOOLTIP,,A workbench to produce leather goods like armour and waterskins.,用来生产皮制品的工作台，比如防具和水袋。
FURNITURE.LEDGER_TABLE,,Ledger table,账簿桌
FURNITURE.LEDGER_TABLE.TOOLTIP,,A landmark for the {{ROOMS.TRADING_DEPOT}}. This does not currently have an in-game effect.,{{ROOMS.TRADING_DEPOT}}的标志性设施。目前在游戏内暂无效果。
FURNITURE.LOOM,,Loom,织布机
FURNITURE.LOOM.TOOLTIP,,Used to craft textiles such as {{PRODUCT.LINEN.NOUN}} from {{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}.,制作布料的工具，比如把{{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}加工成{{PRODUCT.LINEN.NOUN}}。
FURNITURE.MALTING_STATION,,Malting station,麦芽屋
FURNITURE.MALTING_STATION.TOOLTIP,,Here brewers steep barley and then dry it out using a kiln to produce malt.,"酿酒师在这里将大麦浸泡在水中，等待出芽后迅速地加热干燥，最后就能获得麦芽了。 "
FURNITURE.MASH_TUN,,Mash tun,糖化桶
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,用它能将磨碎的麦芽和水制作成麦芽汁（未发酵的啤酒）
FURNITURE.MUSHROOM_LOG,,Mushroom log,蘑菇木
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",增添了{{INGREDIENT.MUSHROOM.SPAWN.PLURAL}}的原木，能用来培养美味、多汁的蘑菇。
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,刺激培养箱
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",接种后的{{FURNITURE.MUSHROOM_LOG}}放在培养箱内刺激菌落，促成它长成蘑菇。
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,碎矿处理站
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,原生的{{RESOURCE.ORE.UNREFINED.PLURAL}}经过处理后变成较小的尺寸，以便经过{{FURNITURE.BLOOMERY_FURNACE}}继续加工处理。
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,支柱
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,支柱能有效的阻止挖空区的坍塌。如果没有支柱或其他支撑，7x7的挖空区最终必定会坍塌。
FURNITURE.RETTING_TANK,,Retting tank,沤麻池
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,能将{{VEGETABLE.HEMP}}加工处理成火麻纤维，从而能制作成各种有用的材料。
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,石棺
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,这口精美的石制棺椁是殖民者最后的安息之处。
FURNITURE.SELLING_PALLET,,Selling pallet,
FURNITURE.SELLING_PALLET.TOOLTIP,,Use this to determine which items to sell to the merchants.,
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,餐桌
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{FURNITURE.BAKING_OVEN}}烘焙的{{PRODUCT.BREAD.LOAF.PLURAL}}放在这里供所有人享用。
FURNITURE.SINGLE_BED,,Bed,床
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest.,"安逸睡觉用的家具。 "
FURNITURE.SINGLE_DOOR,,Door,门
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,门框
FURNITURE.SLEEPING_SPOT,,Sleeping spot,睡觉地点
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,殖民者睡在地上。不太舒服！
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,石工工作台
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}}处理{{MATERIAL_TYPE.STONE.ADJECTIVE}}资源的工作场所。
FURNITURE.TANNING_FRAME,,Tanning frame,鞣革架
FURNITURE.TANNING_FRAME.TOOLTIP,,Used to turn {{CARCASS.HIDE.PLURAL}} into {{PRODUCT.LEATHER.PLURAL}}.,能把{{CARCASS.HIDE.PLURAL}}加工成{{PRODUCT.LEATHER.PLURAL}}。
FURNITURE.TRADE_BANNER,,Banner,横幅
FURNITURE.TRADE_BANNER.TOOLTIP,,A decorative banner to denote the trading depot.,用来装饰贸易站点的横幅。
FURNITURE.TRAINING_DUMMY,,Training dummy,训练假人
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here up to level 50.,士兵能用来练习近战格斗能力。
FURNITURE.WAGON_PARKED,,Wagon,马车
FURNITURE.WATERWHEEL,,Water Wheel,水车
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels,水车
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,通过{{PRODUCT.STONE.GEAR.PLURAL}}和轴为其他装置提供动力。必须建造在河流附近。
FURNITURE.WATER_BARREL,,Water Barrel,水桶
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.",有了水桶，殖民者就无需寻找河水这类自然水资源饮用了。
FURNITURE.WATER_PUMP,,Water Pump,水泵
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps,水泵
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,它能将河水运送至管道系统。
FURNITURE.WEAPON_RACK,,Weapon Rack,武器架
FURNITURE.WEAPON_RACK.TOOLTIP,,Used to store weapons.,能用来存放武器。
FURNITURE.WELL,,Well,水井
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system.",井能提供水资源，但必须与切实有效的管道系统相连。
FURNITURE.WINDMILL,,Windmill,风车
FURNITURE.WINDMILL.PLURAL,,Windmills,风车
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,通过{{PRODUCT.STONE.GEAR.PLURAL}}和轴为其他装置提供动力。
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench,伐木台
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,{{PROFESSION.WOODCUTTER}}在这里将{{RESOURCE.LOGS.PLURAL}}加工成{{RESOURCE.PLANKS.PLURAL}}。

GEM.AMETHYST.ADJECTIVE,,Amethyst,紫水晶
GEM.AMETHYST.NOUN,,Amethyst,紫水晶
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,紫色的水晶。古人相信它具有防止让人酩酊大醉的奇妙效果。因此，紫水晶在矮人文化中不太受欢迎。
GEM.AMMOLITE.ADJECTIVE,,Ammolite,斑彩石
GEM.AMMOLITE.NOUN,,Ammolite,斑彩石
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,发乳光的稀有宝石，拥有红色向绿色转变的晕彩。它也被称为“狩猎石”，用它制作的首饰据说能给狩猎带去好运。
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,海蓝宝石
GEM.AQUAMARINE.NOUN,,Aquamarine,海蓝宝石
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,蓝色或海蓝色的绿柱石。有些人觉得它能保护免受海上的危险。因为有一位古老的魔法师曾用天和冰系魔法保护黑暗时代的贸易船。
GEM.BIXBITE.ADJECTIVE,,Bixbite,红绿柱石
GEM.BIXBITE.NOUN,,Bixbite,红绿柱石
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.",一种非常稀有的宝石。常常会与其他红色的绿柱石混淆。
GEM.CINNABAR.ADJECTIVE,,Cinnabar,朱砂
GEM.CINNABAR.NOUN,,Cinnabar,朱砂
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,硫化汞矿物，深红的色调使其常见于珠宝首饰。同时也会用来生产染料。
GEM.CITRINE.ADJECTIVE,,Citrine,黄水晶
GEM.CITRINE.NOUN,,Citrine,黄水晶
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.",黄色的石英。它也是颜色最接近黄金的宝石，所以大多数矮人觉得黄水晶会带来好运。
GEM.DIAMOND.ADJECTIVE,,Diamond,钻石
GEM.DIAMOND.NOUN,,Diamond,钻石
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,世界上最硬的物质，也是七圣石中最重要的宝石。钻石是有着“灵”或“以太”之名的中立元素最凝练的形态。
GEM.EMERALD.ADJECTIVE,,Emerald,祖母绿
GEM.EMERALD.NOUN,,Emerald,祖母绿
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,充满活力的绿柱石。据说在祖母绿上雕刻会导致大祸临头。祖母绿与生命元素及相关的魔法息息相关。
GEM.GARNET.ADJECTIVE,,Garnet,石榴石
GEM.GARNET.NOUN,,Garnet,石榴石
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.",石榴石包含多种用作宝石的矿物，但颜色都呈现深红色。有些石榴石其实是火元素的凝聚形态。
GEM.JADE.ADJECTIVE,,Jade,玉
GEM.JADE.NOUN,,Jade,玉
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.",浅绿色的矿物，常用来雕琢成装饰品。此外，精灵会使用玉制作治疗肠胃疾病的药物。
GEM.JASPER.ADJECTIVE,,Jasper,碧玉
GEM.JASPER.NOUN,,Jasper,碧玉
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.",不纯的石英品种，呈现的颜色较多，但最常见的为红色。由于碧玉的多样性，兽人很喜欢把它当做装饰品。
GEM.LABRADORITE.ADJECTIVE,,Labradorite,富拉玄武岩
GEM.LABRADORITE.NOUN,,Labradorite,富拉玄武岩
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,这种矿物拥有很有特色的淡蓝色虹彩。更稀有的也会呈现其他的颜色。
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,天青石
GEM.LAPIS.NOUN,,Lapis lazuli,天青石
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,常用做珍贵宝石的湛蓝色矿物。
GEM.MAGNESITE.ADJECTIVE,,Magnesite,菱镁矿
GEM.MAGNESITE.NOUN,,Magnesite,菱镁矿
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,能够打磨成珠子制作珠宝首饰的矿物。而且能够染成各种不同的颜色。
GEM.MOONSTONE.ADJECTIVE,,Moonstone,月长石
GEM.MOONSTONE.NOUN,,Moonstone,月长石
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.",人们认为岩石中的月光形成了这种宝石，因此深受精灵的喜爱。
GEM.MORGANITE.ADJECTIVE,,Morganite,摩根石
GEM.MORGANITE.NOUN,,Morganite,摩根石
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,呈现玫红色的绿柱石。在神话时代，一名腰缠万贯的富人推广了这种宝石，它也因此得名。
GEM.OPAL.ADJECTIVE,,Opal,蛋白石
GEM.OPAL.NOUN,,Opal,蛋白石
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.",蕴含海洋的魔力，因此深受水手和渔夫的喜爱。
GEM.PAINITE.ADJECTIVE,,Painite,红硅硼铝钙石
GEM.PAINITE.NOUN,,Painite,红硅硼铝钙石
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,非常稀有的宝石，通常会被误以为颜色不佳的蓝宝石。天然的六方晶系，谋略家的最爱。
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,红纹石
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,红纹石
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,典型颜色为粉红色到红色。硬度不及许多宝石，因此不适合用来制作戒指和其他高强度珠宝首饰。
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,水晶
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,水晶
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,最纯粹的石英。由于水晶是凝练的冰元素，因此常见于各种魔法器具。
GEM.RUBY.ADJECTIVE,,Ruby,红宝石
GEM.RUBY.NOUN,,Ruby,红宝石
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.",七圣石之一，凝练成固态的火焰元素。
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,蓝宝石
GEM.SAPPHIRE.NOUN,,Sapphire,蓝宝石
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.",人们普遍认为佩戴蓝宝石能避开邪魔，对于使用天和风系魔法的法师而言，这种宝石深受他们的追捧。
GEM.SPINEL.ADJECTIVE,,Spinel,尖晶石
GEM.SPINEL.NOUN,,Spinel,尖晶石
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.",经常会与红宝石和蓝宝石这类真正的圣石混淆，尖晶石可以与任何元素有关，视其颜色而定。
GEM.TANZANITE.ADJECTIVE,,Tanzanite,坦桑石
GEM.TANZANITE.NOUN,,Tanzanite,坦桑石
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,稀有的宝石，浓郁略带紫色调的蓝色。人们认为它是死亡神明的血肉形成的。
GEM.TOPAZ.ADJECTIVE,,Topaz,黄玉
GEM.TOPAZ.NOUN,,Topaz,黄玉
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.",有时候容易与更常见的{{GEM.CITRINE.NOUN}}混淆，呈现的颜色较多，但最常见的为黄褐色。最初发现的地方是一座已经不复存在的岛屿。
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,电气石
GEM.TOURMALINE.NOUN,,Tourmaline,电气石
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,通常能在{{ORE.CASSITERITE.ADJECTIVE}}附近发现。它有时候与土系魔法有关。
GEM.TURQUOISE.ADJECTIVE,,Turquoise,绿松石
GEM.TURQUOISE.NOUN,,Turquoise,绿松石
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,蓝绿色的矿物，可作首饰。据说能为佩戴者带来好运。通常为它灌注土系元素。

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,放弃任务
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},正在采集{{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},正在攻击{{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},正在饮用{{targetDescription}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},正在清空{{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},正在吃{{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,正在灭火
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},正在逃离{{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},正在搬运{{targetDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,闲置
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,正在搭建营地
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,正在撤离地图
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,正在劫掠仓库
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,正在奔赴战斗
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,正在防守
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,正在训练武器
GOAL.ON_FIRE.DESCRIPTION,,On fire!,着火了！
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,正在装水
GOAL.SLEEP.DESCRIPTION,,Going to sleep,去睡觉
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},正在转移{{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,添加/移除区格
GUI.ADD_TILES,,Add tiles,添加区格
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,环境氛围
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,可用{{item}}：
GUI.BACK_LABEL,,Back,返回
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,桥
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,门
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,地板
GUI.BUILD.PILLARS,,Pillars,柱子
GUI.BUILD.PIPING,,Pipes,管道
GUI.BUILD.POWER,,Power,动力
GUI.BUILD.ROOFING,,Roofing,屋顶
GUI.BUILD.WALLS,,Walls,墙壁
GUI.BUILD_FURNITURE,,Furniture,家具
GUI.BUILD_LABEL,,Build,建造
GUI.CANCEL_LABEL,,Cancel,取消
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,更改职业
GUI.CHANGE_WEAPON_LABEL,,Select weapon,选择武器
GUI.COMBAT_LABEL,,Combat,战斗
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,建筑
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,维持
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),{{craftingType}} ({{profession}})
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,制作材料：
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,物品
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,制作
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},目前总数：{{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),（总计{{quantity}}）
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,
GUI.CREDITS.TRANSLATORS_TITLE,,Translations,
GUI.CROP_SELECTION,,Crop:,农作物：
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},{{plantDescription}} - {{planting}} - {{usage}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,无法种植
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},在{{season1}}种植
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},在{{season1}}或{{season2}}种植
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}",在{{season1}}，{{season2}}或{{season3}}种植
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,全年种植
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}",{{timeOfDay}}，第{{dayNumber}}天，第{{year}}年
GUI.DAY_LABEL,,Day {{dayNumber}},第{{dayNumber}}天
GUI.DECONSTRUCT_LABEL,,Demolish,拆除
GUI.DIALOG.CANCEL_BUTTON,,Cancel,取消
GUI.DIALOG.CONFIRM,,Confirm,确认
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,确定删除{{name}}？
GUI.DIALOG.DISMISS,,Dismiss,遣散
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,已存在相同名字的房间。
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,存档与游戏版本不兼容，无法加载。
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,出现错误
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,加载游戏的时候出现了意外错误。
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,保存游戏的时候出现了意外错误。
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,隐藏提示
GUI.DIALOG.INFO_TITLE,,Information,信息
GUI.DIALOG.JUMP_TO,,Go to Location,前往地点
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,所选的本地化目前尚不完整，仍然有部分缺失。将使用备用的语言。
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,你已选择不同的MOD应用至游戏。重启游戏后会生效。
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,MOD与游戏版本不兼容，因此无效。你可以在MOD菜单中查看更新。
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,重命名房间
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,重命名殖民者
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,必须重启游戏让变更生效
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,你已经拥有殖民地为{{name}}的存档。开始新游戏将覆盖现有的存档。是否继续？
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,必须制定殖民地的名字。
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,贮存处设置
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,点击此处加入Discord频道
GUI.EMBARK.MAP_SEED,,Random Seed,随机种子
GUI.EMBARK.MAP_SIZE,,Map Size,地图尺寸
GUI.EMBARK.MAP_SIZE.LARGE,,Large,大
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,中
GUI.EMBARK.MAP_SIZE.SMALL,,Small,小
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,和平模式
GUI.EMBARK.SETTLEMENT_NAME,,Name,名称
GUI.EMBARK.START,,Begin!,开始！
GUI.EMBARK.TITLE,,Choose Kingdom,选择王国
GUI.EMPTY_CONTAINER_LABEL,,Empty,空
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,正在清空中。
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,将此容器内的东西放在地上。
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},分配给{{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,正在移除
