KEY,NOTES,ENGLISH,RUSSIAN
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Сапфировый
GEM.SAPPHIRE.NOUN,,Sapphire,Сапфир
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Часто считают, что сапфиры защищают владельца от демонов, поэтому он пользуется большим спросом для использования в небесной и воздушной магии."
GEM.SPINEL.ADJECTIVE,,Spinel,Шпинелевый
GEM.SPINEL.NOUN,,Spinel,Шпинель
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Шпинель часто путают с небесными камнями, такими как настоящие рубины и сапфиры, шпинель - это меньшая форма наполненного магией драгоценного камня, который может ассоциироваться с любым из элементов, в зависимости от цвета."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Танзанитовый
GEM.TANZANITE.NOUN,,Tanzanite,Танзанит
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,"Редкий драгоценный камень, оттенок которого может переливается между синим и фиолетовым цветом. Считается, что он образован из материального тела мертвого бога."
GEM.TOPAZ.ADJECTIVE,,Topaz,Топазовый
GEM.TOPAZ.NOUN,,Topaz,Топаз
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Иногда его путают с более распространенным драгоценным камнем {{GEM.CITRINE.NOUN}}, топаз встречается в нескольких цветах, но чаще всего имеет желтовато-коричневый оттенок. Впервые он был обнаружен на острове, который больше не существует."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Турмалиновый
GEM.TOURMALINE.NOUN,,Tourmaline,Турмалин
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Часто встречается вместе с {{ORE.CASSITERITE.ADJECTIVE}} руды. Иногда это связано с магией земли.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Бирюзовый
GEM.TURQUOISE.NOUN,,Turquoise,Бирюза
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,"Сине-зеленый минерал, который часто используется в декорациях. Считается, что он приносит удачу. В нем часто встречается элемент земли."

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,"Отказ от задачи "
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Сбор: {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},"Атакующий {{targetDescription}} "
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Пьющий{{targetZoneMaterial}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},Выгрузка содержимого {{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Кушающий {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,Тушит пожар
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},Убегает от {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Переноска: {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Бездельничает
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,
GOAL.ON_FIRE.DESCRIPTION,,On fire!,Горит!
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Собирается спать
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Переносит: {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Добавление/удаление клеток
GUI.ADD_TILES,,Add tiles,Добавить клетки
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,
GUI.BACK_LABEL,,Back,Назад
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Мост
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Двери
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,Полы
GUI.BUILD.PILLARS,,Pillars,
GUI.BUILD.PIPING,,Pipes,Трубы
GUI.BUILD.POWER,,Power,Энергия
GUI.BUILD.ROOFING,,Roofing,Крыша
GUI.BUILD.WALLS,,Walls,Стены
GUI.BUILD_FURNITURE,,Furniture,Мебель
GUI.BUILD_LABEL,,Build,Строить
GUI.CANCEL_LABEL,,Cancel,Отмена
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Сменить профессию
GUI.CHANGE_WEAPON_LABEL,,Select weapon,Сменить оружие
GUI.COMBAT_LABEL,,Combat,
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,"Поддержание "
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,Ремесло
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},Текущий итог: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),Всего ({{quantity}}
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,
GUI.CROP_SELECTION,,Crop:,Обрезать:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}",
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}}, день {{dayNumber}}, год {{year}}"
GUI.DAY_LABEL,,Day {{dayNumber}},
GUI.DECONSTRUCT_LABEL,,Demolish,Снести
GUI.DIALOG.CANCEL_BUTTON,,Cancel,Отмена
GUI.DIALOG.CONFIRM,,Confirm,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,Вы действительно хотите удалить {{name}} ?
GUI.DIALOG.DISMISS,,Dismiss,Уволить
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Комната с таким названием уже существует.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Не удалось загрузить файл сохранения, поскольку он несовместим с данной версией игры."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Произошла ошибка
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,При загрузке игры произошла непредвиденная ошибка.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,При сохранении игры произошла непредвиденная ошибка.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,
GUI.DIALOG.INFO_TITLE,,Information,Информация
GUI.DIALOG.JUMP_TO,,Go to Location,Перейти к местоположению
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,"Выбранный перевод языка в настоящее время неполный, и в нем отсутствует текст. Будет использоваться резервный язык."
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,Вы выбрали другой набор модов для применения к игре. Они будут применены при следующем перезапуске игры.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Один или несколько модов несовместимы с данной версией игры и были деактивированы. Проверить наличие обновлений можно в меню модов.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Переименовать комнату
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,Переименовать поселенца
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,"Вы должны перезапустить игру, чтобы это изменение вступило в силу"
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,"У вас уже есть сохраненная игра для поселения {{name}}. При запуске новой игры существующий файл сохранения будет перезаписан. Вы уверены что хотите продолжить? "
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,Необходимо указать название населенного пункта.
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,Настройка хранилища
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,Нажмите чтобы присоединиться к нашему сообществу в Discord
GUI.EMBARK.MAP_SEED,,Random Seed,
GUI.EMBARK.MAP_SIZE,,Map Size,
GUI.EMBARK.MAP_SIZE.LARGE,,Large,
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,
GUI.EMBARK.MAP_SIZE.SMALL,,Small,
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,
GUI.EMBARK.SETTLEMENT_NAME,,Name,
GUI.EMBARK.START,,Begin!,Начать!
GUI.EMBARK.TITLE,,Choose Kingdom,
GUI.EMPTY_CONTAINER_LABEL,,Empty,Пусто
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,"Содержимое опорожняется "
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,"Вылейте содержимое этого контейнера на землю. "
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Принадлежит: {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,В процессе удаления
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Во весь экран
GUI.GRAPHICS.RESOLUTION,,Resolution,Разрешение экрана
GUI.INVASION_LABEL,,Invasion,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui,
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers,
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status,
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow,
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu,
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes,
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones,
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering,
GUI.KEY_BINDING.FAST_PAN,,Fast pan,
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast,
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster,
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest,
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal,
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down,
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left,
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right,
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up,
GUI.KEY_BINDING.PAUSE,,Pause,
GUI.KEY_BINDING.QUICKLOAD,,Quickload,
GUI.KEY_BINDING.QUICKSAVE,,Quicksave,
GUI.KEY_BINDING.ROTATE,,Rotate,
GUI.KEY_BINDING.ZOOM_IN,,Zoom in,
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out,
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted,Ничего (оставить невозделанной)
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,Последнее изменение
GUI.LOAD_GAME.TABLE.DELETE,,Delete,Удалить
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,Мировое время
GUI.LOAD_GAME.TABLE.PLAY,,Play,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,Имя
GUI.LOAD_GAME.TABLE.VERSION,,Version,Версия
GUI.LOAD_GAME.TITLE,,Load Game,Загрузить игру
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard,Скопировать в буфер обмена
GUI.MAP_SEED_DISPLAY,,"Current map seed: ",Текущее значение карты:
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,Горизонтальный
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,Вертикальный
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad,
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}},
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad,
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad,
GUI.MILITARY.NEW_SQUAD,,New Squad,
GUI.MILITARY.ORDERS,,Orders,
GUI.MILITARY.ORDERS.ATTACK,,Attack,
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack,
GUI.MILITARY.ORDERS.GUARD,,Guard,
GUI.MILITARY.ORDERS.RETREAT,,Retreat,
GUI.MILITARY.ORDERS.TRAIN,,Train,
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad,
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?,
GUI.MILITARY.SET_FORMATION,,Set Formation,
GUI.MILITARY.SET_ORDERS,,Set Orders,
GUI.MILITARY.TAB.DWARVES,,Military Dwarves,
GUI.MILITARY.TAB.SQUADS,,Military Squads,
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians,
GUI.MINIMAP.LABEL,,Minimap,Миникарта
GUI.MUSIC_VOLUME,,Music,
GUI.NEXT_LABEL,,Next,Далее
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game,Эта мебель не может быть повернута в этой версии игры
GUI.OK_LABEL,,Ok,OK
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Настройки звука
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,Сделать деревья прозрачными при затемнении поселенцев
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options "," Настройки игры "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,"Прокрутка, когда курсор находится на краю экрана"
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,"Прокрутка к курсору при масштабировании "
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,Полный экран
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,"Эксклюзивный полноэкранный режим "
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,В окне
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options ","Настройки графики "
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects,
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture,
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings,
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,Разное
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial,
GUI.OPTIONS.RESET,,Reset,
GUI.OPTIONS.TAB.AUDIO,,Audio,Аудио
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,Игра
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,Графика
GUI.OPTIONS.TAB.MISC,,Other,Прочее
GUI.OPTIONS.TAB.TWITCH,,Twitch,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,Аккаунт Twitch:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,Кож
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,"Аккаунт Twitch подключен "
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,Отключен
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,Аккаунт Twitch отключен
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,"Интеграция с Twitch включена "
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,"Произошла ошибка при подключении к Twitch "
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,"Отдавайте приоритет подписчикам "
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,Отправить
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,"Интеграция с Twitch "
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,"Используйте зрителей как имена поселенцев "
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers,
GUI.ORDERS.CHOP_WOOD,,Chop,Рубить
GUI.ORDERS.CLEAR_GROUND,,Clear,Расчистить
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation,Орошение
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.,Используйте для рытья каналов в земле
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish,Тушить пожар
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.,"Этот приказ используется для тушения пожаров, которые в настоящее время горят"
GUI.ORDERS.HARVEST_PLANTS,,Harvest,Собирать
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt,Охотиться
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.,Используется для выбора животных для охоты
GUI.ORDERS.MINE,,Mine,Копать
GUI.ORDERS_LABEL,,Orders,Приказы
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size,Мост должен покрывать обе стороны реки и иметь размер не менее 3x3 клетки
GUI.POWER_LABEL,,Power & Water,
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}},
GUI.PRIORITY_LABEL,,Priority,Приоритеты
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export,
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import,
GUI.REMOVE_LABEL,,Remove,Удалить
GUI.REMOVE_TILES,,Remove tiles,Удалить квадраты
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}},
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available,
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE.PLURAL,,{{item}} are on fire,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION,,{{item}} is being placed for construction,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION.PLURAL,,{{item}} are being placed for construction,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT,,{{item}} is on an import pallet,
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT.PLURAL,,{{item}} are on an import pallet,
GUI.RESOURCE_MANAGEMENT.QUANTIFIED_ITEM,,{{quantity}} {{item}},
GUI.RESOURCE_MANAGEMENT.SEARCH,,Search,
GUI.RESOURCE_MANAGEMENT.SORT_BY,,Sort By,
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,Ресурсы
GUI.RESOURCE_MANAGEMENT.TOTAL,,Total,
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},Доступно: {{count}}
GUI.ROOFING.ADD,,Add,Добавить
GUI.ROOMS_LABEL,,Rooms,
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture,"Нажмите (R), чтобы повернуть мебель"
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Сохранение…
GUI.SELECT_WEAPON.LABEL,,Select weapon,
GUI.SETTINGS.LABEL,,Settings,Настройки
GUI.SETTLER_MANAGEMENT.CHOOSE_ARMOUR,,Choose Armour,
GUI.SETTLER_MANAGEMENT.CHOOSE_SHIELD,,Choose Shield,
GUI.SETTLER_MANAGEMENT.CHOOSE_WEAPON,,Choose Weapon,
GUI.SETTLER_MANAGEMENT.HAPPINESS,,Happiness {{happinessValue}},
GUI.SETTLER_MANAGEMENT.IMMIGRATION,,Immigration,
GUI.SETTLER_MANAGEMENT.MAIN_HAND.STATUS,,The main hand cannot be used. {{status}},
GUI.SETTLER_MANAGEMENT.OFF_HAND.STATUS,,The off hand cannot be used. {{status}},
