KEY,NOTES,ENGLISH,POLISH
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Zbiornik uderzeniowy
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Po niewinności w zbiorniku umieszcza się {{FURNITURE.MUSHROOM_LOG}}, aby „wstrząsnąć” kolonią grzybów i zachęcić ją do uprawy grzybów."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Stacja kruszenia rud
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.,"Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} jest kruszony do bardziej wykonalnego rozmiaru, dzięki czemu można go używać w {{FURNITURE.BLOOMERY_FURNACE}}."
FURNITURE.PILLAR,A pillar used to support a roof,Pillar,Filar
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.,"Filar jest wymagany, aby zapobiec zawalaniu się dużych obszarów wydobytych. Powierzchnia płytek 7x7, które zostały wydobyte bez żadnych filarów lub innych podpór w miejscu, ostatecznie zapadnie się."
FURNITURE.RETTING_TANK,,Retting tank,
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.,
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus,Sarkofag
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.,Ten wyszukany kamienny pojemnik jest ostatnim miejscem spoczynku zmarłego osadnika.
FURNITURE.SELLING_PALLET,,Selling pallet,
FURNITURE.SELLING_PALLET.TOOLTIP,,Use this to determine which items to sell to the merchants.,
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table,Stół do podawania posiłków
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} są umieszczane tutaj w celu podania po pieczeniu w {{FURNITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed,Łóżko
FURNITURE.SINGLE_BED.TOOLTIP,,A bed is the best place for a comfortable night’s rest.,Łóżko to najlepsze miejsce na komfortowy odpoczynek w nocy.
FURNITURE.SINGLE_DOOR,,Door,Drzwi
FURNITURE.SINGLE_DOOR_FRAME,,Door frame,Futryna
FURNITURE.SLEEPING_SPOT,,Sleeping spot,
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!,
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench,Stół kamieniarza
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.,{{PROFESSION.STONEMASON}} pracuje tutaj z zasobami {{MATERIAL_TYPE.STONE.ADJECTIVE}}.
FURNITURE.TANNING_FRAME,,Tanning frame,
FURNITURE.TANNING_FRAME.TOOLTIP,,Used to turn {{CARCASS.HIDE.PLURAL}} into {{PRODUCT.LEATHER.PLURAL}}.,
FURNITURE.TRADE_BANNER,,Banner,
FURNITURE.TRADE_BANNER.TOOLTIP,,A decorative banner to denote the trading depot.,
FURNITURE.TRAINING_DUMMY,,Training dummy,
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here up to level 50.,
FURNITURE.WAGON_PARKED,,Wagon,
FURNITURE.WATERWHEEL,,Water Wheel,
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels,
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.,
FURNITURE.WATER_BARREL,,Water Barrel,Beczka na wodę
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river.","Beczka z wodą to miejsce dla osadników, aby dostać napój gaszący pragnienie, zamiast szukać naturalnego źródła wody, takiego jak rzeka."
FURNITURE.WATER_PUMP,,Water Pump,
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps,
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.,
FURNITURE.WEAPON_RACK,,Weapon Rack,
FURNITURE.WEAPON_RACK.TOOLTIP,,Used to store weapons.,
FURNITURE.WELL,,Cistern,
FURNITURE.WELL.TOOLTIP,,"A cistern provides a source of water, but must be connected to a working pipe system.",
FURNITURE.WINDMILL,,Windmill,
FURNITURE.WINDMILL.PLURAL,,Windmills,
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.,
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench,Stół do cięcia drewna
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.,"{{PROFESSION.WOODCUTTER}} pracuje tutaj, aby zmienić {{RESOURCE.LOGS.PLURAL}} w {{RESOURCE.PLANKS.PLURAL}}."

GEM.AMETHYST.ADJECTIVE,,Amethyst,Ametystowy
GEM.AMETHYST.NOUN,,Amethyst,Ametyst
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.,"Fioletowy odmiana kwarcu. Starożytni ludzie wierzyli, że może magicznie ochronić ich przed zbyt pijanym. Z tego powodu nie jest zbyt popularny w kulturze krasnoludowej."
GEM.AMMOLITE.ADJECTIVE,,Ammolite,Ammolit
GEM.AMMOLITE.NOUN,,Ammolite,Ammolit
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.,"Kamień przypominający opal, który ma czerwoną do zielonego opalizowania. Znany jest jako „kamień myśliwski”, a wykonane z niego amulety mają przynieść szczęście na polowanie."
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine,Akwamarynowy
GEM.AQUAMARINE.NOUN,,Aquamarine,Akwamaryna
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.,"Odmiana berylu w kolorze cyjanowym. Niektórzy ludzie uważają, że oferuje magiczną ochronę przed niebezpieczeństwami mórz. Dzieje się tak dlatego, że starożytny maga użył kombinacji magii nieba i lodu do ochrony statków handlowych w dobie ciemności."
GEM.BIXBITE.ADJECTIVE,,Bixbite,Bixbite
GEM.BIXBITE.NOUN,,Bixbite,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald.","Znany również jako czerwony beryl, jest to bardzo rzadki kamień szlachetny. Często jest mylony z czerwonym szmaragdem."
GEM.CINNABAR.ADJECTIVE,,Cinnabar,Cinnabar
GEM.CINNABAR.NOUN,,Cinnabar,Cinnabar
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.,"Ruda rtęci, która jest często używana w biżuterii ze względu na jej głębokoczerwony odcień. Jest również stosowany do produkcji barwnika znanego jako vermillion."
GEM.CITRINE.ADJECTIVE,,Citrine,Cytrynowy
GEM.CITRINE.NOUN,,Citrine,Cytryn
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky.","Żółtawa odmiana kwarcu. Jest to kamień szlachetny najbardziej zbliżony do złota, więc większość krasnoludów uważa, że cytryn ma szczęście."
GEM.DIAMOND.ADJECTIVE,,Diamond,Diamentowy
GEM.DIAMOND.NOUN,,Diamond,Diament
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.,Najtrudniejszy znany materiał i jeden z najważniejszych z siedmiu niebiańskich kamieni. Diamenty są najbardziej skondensowaną formą neutralnego pierwiastka znanego jako „duch” lub „eter”.
GEM.EMERALD.ADJECTIVE,,Emerald,Szmaragdowy
GEM.EMERALD.NOUN,,Emerald,Szmaragd
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.,"Żywa zielona odmiana berylu. Uważa się, że grawerowanie na szmaragdzie przynosi wielkie nieszczęście. Szmaragdy są ściśle związane z życiem żywiołów i związaną z nią magią."
GEM.GARNET.ADJECTIVE,,Garnet,Granatowy
GEM.GARNET.NOUN,,Garnet,Granat
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire.","Granaty pokrywają różne minerały używane jako kamienie szlachetne, a wszystkie mają głęboki czerwony kolor. Niektóre klejnoty granatowe są w rzeczywistości skondensowaną formą ognia żywiołów."
GEM.JADE.ADJECTIVE,,Jade,Jadeitowy
GEM.JADE.NOUN,,Jade,Jadeit
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut.","Minerał o jasnozielonym kolorze często używany do dekoracji. Elfy są również znane z używania jadeitu do produkcji leków, które mogą leczyć dolegliwości jelit."
GEM.JASPER.ADJECTIVE,,Jasper,Jaspisowy
GEM.JASPER.NOUN,,Jasper,Jaspis
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety.","Nieczysta odmiana krzemionki, która może występować w kilku kolorach, ale najczęściej czerwona. Jasper jest faworyzowany jako materiał dekoracyjny przez orków ze względu na swoją różnorodność."
GEM.LABRADORITE.ADJECTIVE,,Labradorite,Labradoryt
GEM.LABRADORITE.NOUN,,Labradorite,Labradoryt
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.,"Skała, która świeci jasnoniebieskim opalizowaniem. Rzadsze okazy mogą odzwierciedlać szeroką gamę kolorów."
GEM.LAPIS.ADJECTIVE,,Lapis lazuli,Lapis lazuli
GEM.LAPIS.NOUN,,Lapis lazuli,Lapis lazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.,"Kamień o jasnoniebieskim odcieniu, który jest używany jako kamień szlachetny."
GEM.MAGNESITE.ADJECTIVE,,Magnesite,Magnezyt
GEM.MAGNESITE.NOUN,,Magnesite,Magnezyt
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.,"Minerał, który można polerować na koraliki do użytku w biżuterii. Koraliki te mogą być barwione na wiele różnych kolorów."
GEM.MOONSTONE.ADJECTIVE,,Moonstone,Księżycowy
GEM.MOONSTONE.NOUN,,Moonstone,Kamień księżycowy
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves.","Uważa się, że tworzy światło księżyca zrobione w skale, co sprawia, że ten kamień jest ulubieńcem elfów."
GEM.MORGANITE.ADJECTIVE,,Morganite,Morganitowy
GEM.MORGANITE.NOUN,,Morganite,Morganit
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.,Różowa odmiana berylu. Nazwa została nazwana po spopularyzowaniu przez szczególnie zamożnego kupca w dobie mitu.
GEM.OPAL.ADJECTIVE,,Opal,Opalowy
GEM.OPAL.NOUN,,Opal,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen.","Krzemionka nasycona magią oceanów, co czyni go faworytem żeglarzy i rybaków."
GEM.PAINITE.ADJECTIVE,,Painite,Painit
GEM.PAINITE.NOUN,,Painite,Painit
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.,"Bardzo rzadki kamień szlachetny, który jest często identyfikowany jako szafir niebarwny. Kryształy mają naturalnie sześciokątny kształt i są ulubionymi taktykami."
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite,Rodochrosite
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite,Rodochrosite
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.,"Znaleziono w różnych odcieniach czerwieni do różu. Nie jest tak trudny jak większość kamieni szlachetnych, co czyni go złym wyborem do pierścionków i innych biżuterii o dużej wytrzymałości."
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal,Kryształowy
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal,Kryształ
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.,"najczystsza forma kwarcu. Kryształy skalne często znajdują się w magicznych artefaktach, ponieważ są skondensowaną formą żywiołu lodu."
GEM.RUBY.ADJECTIVE,,Ruby,Rubinowy
GEM.RUBY.NOUN,,Ruby,Rubin
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form.","Jeden z siedmiu niebiańskich kamieni, rubiny są elementem ognia skondensowanego w solidną formę."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire,Szafirowy
GEM.SAPPHIRE.NOUN,,Sapphire,Szafir
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic.","Często uważa się, że chroni użytkownika przed uwagą demonów, szafiry są bardzo poszukiwane przez magów do stosowania w niebie i magii powietrznej."
GEM.SPINEL.ADJECTIVE,,Spinel,Spinelowy
GEM.SPINEL.NOUN,,Spinel,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour.","Często mylone z niebiańskimi kamieniami, takimi jak prawdziwe rubiny i szafiry, spinels są mniejszą formą magicznego klejnotu, który w zależności od koloru może być powiązany z dowolnym elementem."
GEM.TANZANITE.ADJECTIVE,,Tanzanite,Tanzanitowy
GEM.TANZANITE.NOUN,,Tanzanite,Tanzanit
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.,"Rzadki kamień szlachetny, który może naprzemiennie między niebieskim i fioletowym. Uważa się, że powstał z materialnego ciała martwego boga."
GEM.TOPAZ.ADJECTIVE,,Topaz,Topazowy
GEM.TOPAZ.NOUN,,Topaz,Topaz
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists.","Czasami mylone z bardziej powszechnym klejnotem {{GEM.CITRINE.NOUN}}, topaz można znaleźć w kilku kolorach, ale najczęściej żółtawo-brązowym. Po raz pierwszy odkryto go na wyspie, która już nie istnieje."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline,Turmalinowy
GEM.TOURMALINE.NOUN,,Tourmaline,Turmalin
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.,Często spotykane obok {{ORE.CASSITERITE.ADJECTIVE}} rudy. Czasami kojarzy się z magią ziemi.
GEM.TURQUOISE.ADJECTIVE,,Turquoise,Turkusowy
GEM.TURQUOISE.NOUN,,Turquoise,Turkus
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.,"Niebiesko-zielony minerał często używany w dekoracjach. Uważa się, że przyniesie szczęście na okaziciela. Często jest podawany z żywiołem ziemi."

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task,
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}},Zbieranie {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}},
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}},Picie {{targetZoneMaterial}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}},
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}},Jedzenie {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire,
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}},
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}},Transportowanie {{itemDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle,Bezczynny
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp,
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map,
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles,
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat,
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position,
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training,
GOAL.ON_FIRE.DESCRIPTION,,On fire!,
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin,
GOAL.SLEEP.DESCRIPTION,,Going to sleep,Idzie spać
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}},Przenosi {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles,Dodaj/usuń kafelki
GUI.ADD_TILES,,Add tiles,Dodaj kafelki
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere,
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:,
GUI.BACK_LABEL,,Back,"Wstecz "
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge,Most
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors,Drzwi
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring,
GUI.BUILD.PILLARS,,Pillars,
GUI.BUILD.PIPING,,Pipes,
GUI.BUILD.POWER,,Power,
GUI.BUILD.ROOFING,,Roofing,
GUI.BUILD.WALLS,,Walls,Ściany
GUI.BUILD_FURNITURE,,Furniture,Meble
GUI.BUILD_LABEL,,Build,Buduj
GUI.CANCEL_LABEL,,Cancel,"Anuluj "
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession,Zmień zawód
GUI.CHANGE_WEAPON_LABEL,,Select weapon,
GUI.COMBAT_LABEL,,Combat,
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}}),
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With,
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement,
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!,
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists,
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork,
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists,
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming,
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist,
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects,
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks,
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming,
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks,
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers,
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers,
GUI.CREDITS.TRANSLATORS_TITLE,,Translations,
GUI.CROP_SELECTION,,Crop:,Plon:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted,
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}},
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}",
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round,
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}","{{timeOfDay}} , dzień {{dayNumber}}"
GUI.DAY_LABEL,,Day {{dayNumber}},
GUI.DECONSTRUCT_LABEL,,Demolish,
GUI.DIALOG.CANCEL_BUTTON,,Cancel,
GUI.DIALOG.CONFIRM,,Confirm,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?,
GUI.DIALOG.DISMISS,,Dismiss,Oddalenie
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,Pokój o tej nazwie już istnieje.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,"Plik zapisu nie mógł zostać załadowany, ponieważ jest niezgodny z tą wersją gry."
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Wystąpił jakiś błąd
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,Wystąpił nieoczekiwany błąd podczas ładowania gry.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,Wystąpił nieoczekiwany błąd podczas zapisywania gry.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications,
GUI.DIALOG.INFO_TITLE,,Information,Informacje
GUI.DIALOG.JUMP_TO,,Go to Location,Przejdź do lokalizacji
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,Wybrane tłumaczenie językowe jest obecnie niekompletne i brakuje jakiegoś tekstu. Zostanie użyty język awarski.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,"Wybrałeś inny zestaw modów, które mają być stosowane do gry. Zostaną one zastosowane po ponownym uruchomieniu gry."
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,Jeden lub więcej modów jest niezgodnych z tą wersją gry i zostały wyłączone. Możesz sprawdzić dostępność aktualizacji w menu modów.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room,Zmiana nazwy pokoju
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,"Musisz ponownie uruchomić grę, aby ta zmiana zaczęła obowiązywać."
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,
GUI.EMBARK.MAP_SEED,,Random Seed,
GUI.EMBARK.MAP_SIZE,,Map Size,
GUI.EMBARK.MAP_SIZE.LARGE,,Large,
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium,
GUI.EMBARK.MAP_SIZE.SMALL,,Small,
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode,
GUI.EMBARK.SETTLEMENT_NAME,,Name,
GUI.EMBARK.START,,Begin!,
GUI.EMBARK.TITLE,,Choose Kingdom,
GUI.EMPTY_CONTAINER_LABEL,,Empty,
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.,
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.,
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}},Przypisano do {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed,Trwa usuwanie
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available,
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,"Pełny ekran "
GUI.GRAPHICS.RESOLUTION,,Resolution,"Rozdzielczość "
GUI.INVASION_LABEL,,Invasion,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8,
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow,
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast,
