KEY,NOTES,ENGLISH
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky."
GEM.DIAMOND.ADJECTIVE,,Diamond
GEM.DIAMOND.NOUN,,Diamond
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.
GEM.EMERALD.ADJECTIVE,,Emerald
GEM.EMERALD.NOUN,,Emerald
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.
GEM.GARNET.ADJECTIVE,,Garnet
GEM.GARNET.NOUN,,Garnet
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire."
GEM.JADE.ADJECTIVE,,Jade
GEM.JADE.NOUN,,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut."
GEM.JASPER.ADJECTIVE,,Jasper
GEM.JASPER.NOUN,,Jasper
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety."
GEM.LABRADORITE.ADJECTIVE,,Labradorite
GEM.LABRADORITE.NOUN,,Labradorite
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli
GEM.LAPIS.NOUN,,Lapis lazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.
GEM.MAGNESITE.ADJECTIVE,,Magnesite
GEM.MAGNESITE.NOUN,,Magnesite
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.
GEM.MOONSTONE.ADJECTIVE,,Moonstone
GEM.MOONSTONE.NOUN,,Moonstone
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves."
GEM.MORGANITE.ADJECTIVE,,Morganite
GEM.MORGANITE.NOUN,,Morganite
GEM.MORGANITE.TOOLTIP,,A rose-coloured variety of beryl. It was named after being popularised by a particularly wealthy merchant in the age of myth.
GEM.OPAL.ADJECTIVE,,Opal
GEM.OPAL.NOUN,,Opal
GEM.OPAL.TOOLTIP,,"A form of silica infused with the magic of the oceans, which makes this a favourite of sailors and fishermen."
GEM.PAINITE.ADJECTIVE,,Painite
GEM.PAINITE.NOUN,,Painite
GEM.PAINITE.TOOLTIP,,A very rare gemstone which is often identified as an off-colour sapphire. The crystals are naturally hexagonal in shape and a favourite of tacticians.
GEM.RHODOCHROSITE.ADJECTIVE,,Rhodochrosite
GEM.RHODOCHROSITE.NOUN,,Rhodochrosite
GEM.RHODOCHROSITE.TOOLTIP,,Found in varying shades of red to pink. It is not as hard as most gemstones making it a poor choice for rings and other high-impact jewellery.
GEM.ROCK_CRYSTAL.ADJECTIVE,,Rock crystal
GEM.ROCK_CRYSTAL.NOUN,,Rock crystal
GEM.ROCK_CRYSTAL.TOOLTIP,,The purest form of quartz. Rock crystals often feature in magical artifacts as they are a condensed form of the element of ice.
GEM.RUBY.ADJECTIVE,,Ruby
GEM.RUBY.NOUN,,Ruby
GEM.RUBY.TOOLTIP,,"One of the seven heavenly stones, rubies are the element of fire condensed into a solid form."
GEM.SAPPHIRE.ADJECTIVE,,Sapphire
GEM.SAPPHIRE.NOUN,,Sapphire
GEM.SAPPHIRE.TOOLTIP,,"Often believed to protect the wearer from the attention of daemons, sapphires are much sought-after by mages for use in sky and air-based magic."
GEM.SPINEL.ADJECTIVE,,Spinel
GEM.SPINEL.NOUN,,Spinel
GEM.SPINEL.TOOLTIP,,"Often confused with heavenly stones like true rubies and sapphires, spinels are a lesser form of magic-infused gem which can be associated with any of the elements, depending on colour."
GEM.TANZANITE.ADJECTIVE,,Tanzanite
GEM.TANZANITE.NOUN,,Tanzanite
GEM.TANZANITE.TOOLTIP,,A rare gemstone that can alternate between blue and violet. It is thought to be formed from the material body of a dead god.
GEM.TOPAZ.ADJECTIVE,,Topaz
GEM.TOPAZ.NOUN,,Topaz
GEM.TOPAZ.TOOLTIP,,"Sometimes confused with the more common {{GEM.CITRINE.NOUN}} gem, topaz can be found in several colours but most commonly a yellowish brown. It was first discovered on an island which no longer exists."
GEM.TOURMALINE.ADJECTIVE,,Tourmaline
GEM.TOURMALINE.NOUN,,Tourmaline
GEM.TOURMALINE.TOOLTIP,,Often found alongside {{ORE.CASSITERITE.ADJECTIVE}} ore. It is sometimes associated with earth magic.
GEM.TURQUOISE.ADJECTIVE,,Turquoise
GEM.TURQUOISE.NOUN,,Turquoise
GEM.TURQUOISE.TOOLTIP,,A blue-green mineral often used in decorations. It is thought to bring good luck to the bearer. It is often infused with the element of earth.

GOAL.ABANDON_JOB.DESCRIPTION,,Abandoning task
GOAL.ADD_TO_INVENTORY.DESCRIPTION,E.g. “Collecting bag of wheat seeds”,Collecting {{targetDescription}}
GOAL.COMBAT.DESCRIPTION,,Attacking {{targetDescription}}
GOAL.DRINK.DESCRIPTION,,Drinking {{targetDescription}}
GOAL.DUMP_LIQUID.DESCRIPTION,,Dumping contents of {{targetDescription}}
GOAL.EAT.DESCRIPTION,,Eating {{targetDescription}}
GOAL.EXTINGUISH_FIRE.DESCRIPTION,,Putting out a fire
GOAL.FLEE_FROM_AGGRESSOR.DESCRIPTION,,Fleeing from {{targetDescription}}
GOAL.HAULING.DESCRIPTION,E.g. “Hauling granite stone”,Hauling {{targetDescription}}
GOAL.IDLE.DESCRIPTION,When not doing anything,Idle
GOAL.INVADER.CREATE_CAMP.DESCRIPTION,,Setting up camp
GOAL.INVADER.RETREAT.DESCRIPTION,,Retreating from map
GOAL.INVADER.STEAL_RESOURCES.DESCRIPTION,,Raiding stockpiles
GOAL.MILITARY.ATTACK_TARGET.DESCRIPTION,,Moving into combat
GOAL.MILITARY.STAND_IN_FORMATION.DESCRIPTION,,Guarding a position
GOAL.MILITARY.TRAINING.DESCRIPTION,,Weapon training
GOAL.ON_FIRE.DESCRIPTION,,On fire!
GOAL.REFILL_WATERSKIN.DESCRIPTION,,Refilling waterskin
GOAL.SLEEP.DESCRIPTION,,Going to sleep
GOAL.TRANSFER_LIQUID.DESCRIPTION,Becomes “Transferring water”,Transferring {{targetZoneMaterial}}

GUI.ADD_REMOVE_TILES,Heading to describe adding or removing an area of a zone/room,Add/remove tiles
GUI.ADD_TILES,,Add tiles
GUI.AMBIENT_EFFECT_VOLUME,This is a volume setting for ambient effects such as birdsong and river flowing,Ambient Atmosphere
GUI.AVAILABLE_PROGRESS_BAR,,{{item}} Available:
GUI.BACK_LABEL,,Back
GUI.BUILD.BRIDGE,For building a bridge across a river,Bridge
GUI.BUILD.DOORS,Take from FURNITURE.SINGLE_DOOR,Doors
GUI.BUILD.FLOOR,For building floorboards/stone slabs across the ground,Flooring
GUI.BUILD.PILLARS,,Pillars
GUI.BUILD.PIPING,,Pipes
GUI.BUILD.POWER,,Power
GUI.BUILD.ROOFING,,Roofing
GUI.BUILD.WALLS,,Walls
GUI.BUILD_FURNITURE,,Furniture
GUI.BUILD_LABEL,,Build
GUI.CANCEL_LABEL,,Cancel
GUI.CHANGE_PROFESSION_LABEL,,Choose New Profession
GUI.CHANGE_WEAPON_LABEL,,Select weapon
GUI.COMBAT_LABEL,,Combat
GUI.CONSTRUCTION_LABEL,For the menu that further gives options for build and power and roofing,Construction
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining
GUI.CRAFTING_MANAGEMENT.SUBTITLE,,{{craftingType}} ({{profession}})
GUI.CRAFTING_MANAGEMENT.TABLE.CRAFTED_WITH,,Crafted With
GUI.CRAFTING_MANAGEMENT.TABLE.ITEM,,Item
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT,,Management
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.LIMIT,,Limit
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY,,Quantity
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.DECREMENT,,Decrement
GUI.CRAFTING_MANAGEMENT.TABLE.MANAGEMENT.QUANTITY.INCREMENT,,Increment
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}}
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total)
GUI.CREDITS.AND_YOU_TITLE,,And You! Thanks For Playing!
GUI.CREDITS.DEVELOPERS.CHARACTER_ART,,Character Artists
GUI.CREDITS.DEVELOPERS.CONCEPT_ART,,Concept Artwork
GUI.CREDITS.DEVELOPERS.ENVIRONMENT_ART,,Environment Artists
GUI.CREDITS.DEVELOPERS.LEAD_DESIGN,,Lead Design & Programming
GUI.CREDITS.DEVELOPERS.LEAD_UI,,Lead 2D & UI Artist
GUI.CREDITS.DEVELOPERS.MUSIC,,Music & Sound Effects
GUI.CREDITS.DEVELOPERS.MUSIC_ADDITIONAL,,Additional Music Tracks
GUI.CREDITS.DEVELOPERS.PROGRAMMING,,Programming
GUI.CREDITS.TRANSLATORS_TITLE,,Translations
GUI.CREDITS.DEVELOPERS.SPECIAL_THANKS,,Special Thanks
GUI.CREDITS.FOUNDING_BACKERS_TITLE,,Special Thanks to our Founding Backers
GUI.CREDITS.PATREON_KICKSTARTER_TITLE,,Additional Thanks to our Patreon and Kickstarter Backers
GUI.CROP_SELECTION,,Crop:
GUI.CROP_SELECTION.DESCRIPTION,,{{plantDescription}} - {{planting}} - {{usage}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_0,,Can not be planted
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_1,,Plant in {{season1}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_2,,Plant in {{season1}} or {{season2}}
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_3,,"Plant in {{season1}}, {{season2}} or {{season3}}"
GUI.CROP_SELECTION.PLANTING_HINT.SEASONS_4,,Planted all year round
GUI.DATE_TIME_YEAR_LABEL,"E.g. 09:20, Day 4, Year 2","{{timeOfDay}}, Day {{dayNumber}}, Year {{year}}"
GUI.DAY_LABEL,,Day {{dayNumber}}
GUI.DECONSTRUCT_LABEL,,Demolish
GUI.DIALOG.CANCEL_BUTTON,,Cancel
GUI.DIALOG.CONFIRM,,Confirm
GUI.DIALOG.CONFIRM_DELETE_SAVE,,Are you sure you wish to delete {{name}}?
GUI.DIALOG.DISMISS,,Dismiss
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.
GUI.DIALOG.HIDE_FURTHER_NOTIFICATIONS,Used to ask the player if they want to stop receiving this specific kind of notification,Hide These Notifications
GUI.DIALOG.INFO_TITLE,,Information
GUI.DIALOG.JUMP_TO,,Go to Location
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename Room
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename Settler
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,A name for the settlement must be specified.
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community
GUI.EMBARK.MAP_SEED,,Random Seed
GUI.EMBARK.MAP_SIZE,,Map Size
GUI.EMBARK.MAP_SIZE.LARGE,,Large
GUI.EMBARK.MAP_SIZE.MEDIUM,,Medium
GUI.EMBARK.MAP_SIZE.SMALL,,Small
GUI.EMBARK.PEACEFUL_MODE,,Peaceful Mode
GUI.EMBARK.SETTLEMENT_NAME,,Name
GUI.EMBARK.START,,Begin!
GUI.EMBARK.TITLE,,Choose Kingdom
GUI.EMPTY_CONTAINER_LABEL,,Empty
GUI.EMPTY_CONTAINER_LABEL.BEING_ACTIONED,,Contents are being emptied.
GUI.EMPTY_CONTAINER_LABEL.HINT,,Dump the contents of this container on the ground.
GUI.FURNITURE_ASSIGNED_TO,Used to show who owns a piece of furniture,Assigned to {{name}}
GUI.FURNITURE_BEING_REMOVED,Label for when a piece of furniture is in the process of being removed,Currently being removed
GUI.FURNITURE_REQUIREMENT.ALL_MATERIALS,,{{amount}} available
GUI.FURNITURE_REQUIREMENT.SPECIFIED_MATERIALS,,{{amount}} {{material}} available
GUI.GRAPHICS.FULLSCREEN,,Fullscreen
GUI.GRAPHICS.RESOLUTION,,Resolution
GUI.INVASION_LABEL,,Invasion
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_0,,Debug frame buffer 0
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_1,,Debug frame buffer 1
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_2,,Debug frame buffer 2
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_3,,Debug frame buffer 3
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_4,,Debug frame buffer 4
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_5,,Debug frame buffer 5
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_6,,Debug frame buffer 6
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_7,,Debug frame buffer 7
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_8,,Debug frame buffer 8
GUI.KEY_BINDING.DEBUG_FRAME_BUFFER_9,,Debug frame buffer 9
GUI.KEY_BINDING.DEBUG_GAME_SPEED_SLOW,,Debug game speed slow
GUI.KEY_BINDING.DEBUG_GAME_SPEED_ULTRA_FAST,,Debug game speed ultra fast
GUI.KEY_BINDING.DEBUG_HIDE_GUI,,Debug hide gui
GUI.KEY_BINDING.DEBUG_SHOW_INDIVIDUAL_LIGHTING_BUFFERS,,Debug show individual lighting buffers
GUI.KEY_BINDING.DEBUG_SHOW_JOB_STATUS,,Debug show job status
GUI.KEY_BINDING.DEBUG_SHOW_LIQUID_FLOW,,Debug show liquid flow
GUI.KEY_BINDING.DEBUG_SHOW_MENU,,Debug show menu
GUI.KEY_BINDING.DEBUG_SHOW_PATHFINDING_NODES,,Debug show pathfinding nodes
GUI.KEY_BINDING.DEBUG_SHOW_ZONES,,Debug show zones
GUI.KEY_BINDING.DEBUG_TOGGLE_FLOOR_OVERLAP_RENDERING,,Debug toggle floor overlap rendering
GUI.KEY_BINDING.FAST_PAN,,Fast pan
GUI.KEY_BINDING.GAME_SPEED_FAST,,Game speed fast
GUI.KEY_BINDING.GAME_SPEED_FASTER,,Game speed faster
GUI.KEY_BINDING.GAME_SPEED_FASTEST,,Game speed fastest
GUI.KEY_BINDING.GAME_SPEED_NORMAL,,Game speed normal
GUI.KEY_BINDING.PAN_CAMERA_DOWN,,Pan camera down
GUI.KEY_BINDING.PAN_CAMERA_LEFT,,Pan camera left
GUI.KEY_BINDING.PAN_CAMERA_RIGHT,,Pan camera right
GUI.KEY_BINDING.PAN_CAMERA_UP,,Pan camera up
GUI.KEY_BINDING.PAUSE,,Pause
GUI.KEY_BINDING.QUICKLOAD,,Quickload
GUI.KEY_BINDING.QUICKSAVE,,Quicksave
GUI.KEY_BINDING.ROTATE,,Rotate
GUI.KEY_BINDING.ZOOM_IN,,Zoom in
GUI.KEY_BINDING.ZOOM_OUT,,Zoom out
GUI.LEAVE_CROP_FALLOW,,No crop is currently selected to be planted
GUI.LOAD_GAME.TABLE.COPY_SEED,,Copy Seed
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified
GUI.LOAD_GAME.TABLE.DELETE,,Delete
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time
GUI.LOAD_GAME.TABLE.PLAY,,Play
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name
GUI.LOAD_GAME.TABLE.VERSION,,Version
GUI.LOAD_GAME.TITLE,,Load Game
GUI.MAP_SEED.COPY_TO_CLIPBOARD,,Copy to clipboard
GUI.MAP_SEED_DISPLAY,,"Current map seed: "
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical
GUI.MILITARY.DIALOG.ADD_SQUAD,,Name New Squad
GUI.MILITARY.DIALOG.CHOOSE_EMBLEM,,Choose Emblem For {{squadName}}
GUI.MILITARY.DIALOG.RENAME_SQUAD,,Rename Squad
GUI.MILITARY.DIALOG.SELECT_SQUAD,,Assign to New Squad
GUI.MILITARY.NEW_SQUAD,,New Squad
GUI.MILITARY.ORDERS,,Orders
GUI.MILITARY.ORDERS.ATTACK,,Attack
GUI.MILITARY.ORDERS.CANCEL_ATTACK,,Cancel Attack
GUI.MILITARY.ORDERS.GUARD,,Guard
GUI.MILITARY.ORDERS.RETREAT,,Retreat
GUI.MILITARY.ORDERS.TRAIN,,Train
GUI.MILITARY.REMOVE_SQUAD,,Remove Squad
GUI.MILITARY.REMOVE_SQUAD.DIALOG,,Are you sure you want to remove this Squad?
GUI.MILITARY.SET_FORMATION,,Set Formation
GUI.MILITARY.SET_ORDERS,,Set Orders
GUI.MILITARY.TAB.DWARVES,,Military Dwarves
GUI.MILITARY.TAB.SQUADS,,Military Squads
GUI.MILITARY.TAB.TRAINED_CIVILIANS,,Trained Civilians
GUI.MINIMAP.LABEL,,Minimap
GUI.MUSIC_VOLUME,,Music
GUI.NEXT_LABEL,,Next
GUI.NON_ROTATABLE_FURNITURE.HINT,,This furniture can not be rotated in this version of the game
GUI.OK_LABEL,,Ok
GUI.OPTIONS.AUDIO.TITLE,,Sound Options
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers
GUI.OPTIONS.GAMEPLAY.TITLE,,"Gameplay Options "
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed
GUI.OPTIONS.GRAPHICS.TITLE,,"Graphics Options "
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS,,Weather Effects
GUI.OPTIONS.GRAPHICS.WEATHER_EFFECTS_TOOLTIP,,Show weather effects like snow on furniture
GUI.OPTIONS.KEY_BINDINGS,,Key Bindings
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Opt In For Crash Reports
GUI.OPTIONS.MISC.TITLE,,Miscellaneous
GUI.OPTIONS.MISC.TUTORIAL_ENABLED,,Start Game With Tutorial
GUI.OPTIONS.RESET,,Reset
GUI.OPTIONS.TAB.AUDIO,,Audio
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay
GUI.OPTIONS.TAB.GRAPHICS,,Graphics
GUI.OPTIONS.TAB.MISC,,Other
GUI.OPTIONS.TAB.TWITCH,,Twitch
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Link Twitch account
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names
GUI.OPTIONS.TWITCH.VIEWERS_LABEL,,{{numViewers}} viewers
GUI.ORDERS.CHOP_WOOD,,Chop
GUI.ORDERS.CLEAR_GROUND,,Clear
GUI.ORDERS.DIG_CHANNELS,Used to dig channels in the ground for water to run through to irrigate crops,Irrigation
GUI.ORDERS.DIG_CHANNELS.TOOLTIP,,This order is used to dig channels in the ground.
GUI.ORDERS.EXTINGUISH_FLAMES," - used to put out fires by throwing buckets of water on them",Extinguish
GUI.ORDERS.EXTINGUISH_FLAMES.TOOLTIP,,This order is used to extinguish fires that are currently burning.
GUI.ORDERS.HARVEST_PLANTS,,Harvest
GUI.ORDERS.HUNT," - used to select animals to be hunted",Hunt
GUI.ORDERS.HUNT.TOOLTIP,,This order is used to select animals to be hunted.
GUI.ORDERS.MINE,,Mine
GUI.ORDERS_LABEL,,Orders
GUI.PLACE_BRIDGE.HINT,This is a longer label as a hint to the player,A bridge must cover both sides of the river and be at least 3x3 tiles in size
GUI.POWER_LABEL,,Power & Water
GUI.POWER_WATER_INFO,,{{FURNITURE.WINDMILL.PLURAL}} {{drawable|tooltip_icon_windmill}} and {{FURNITURE.WATERWHEEL.PLURAL}} {{drawable|tooltip_icon_waterwheel}} connect to powerlines {{drawable|tooltip_icon_power}}{{\n}}Powerlines {{drawable|tooltip_icon_power}} power {{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and other powered furniture{{\n}}{{FURNITURE.WATER_PUMP.PLURAL}} {{drawable|tooltip_icon_pump}} and Irrigation {{drawable|tooltip_icon_irrigation}} are connected to {{PRODUCT.STONE.PIPE.PLURAL}} {{drawable|tooltip_icon_pipes}}
GUI.PRIORITY_LABEL,,Priority
GUI.PRODUCTION_EXPORT.CHOOSE_ITEM_TYPE,,Choose Item to Export
GUI.PRODUCTION_IMPORT.CHOOSE_ITEM_TYPE,,Choose Item to Import
GUI.REMOVE_LABEL,,Remove
GUI.REMOVE_TILES,,Remove tiles
GUI.RESOURCE_MANAGEMENT.ALL_OF,,All {{item}}
GUI.RESOURCE_MANAGEMENT.AVAILABLE,,Available
GUI.RESOURCE_MANAGEMENT.AVAILABLE_OF_TOTAL,,{{available}} / {{total}} Available
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED,,{{item}} is having it's contents dumped by
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.CONTENTS_TO_BE_DUMPED.PLURAL,,{{item}} are having their contents dumped by
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED,,{{item}} is due for hauling
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.DUE_TO_BE_HAULED.PLURAL,,{{item}} are due for hauling
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED,,{{item}} is equipped by
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.EQUIPPED.PLURAL,,{{item}} are equipped by
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION,,{{item}} is allocated to
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.FOOD_ALLOCATION.PLURAL,,{{item}} are allocated to
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING,,{{item}} is being hauled by
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HAULING.PLURAL,,{{item}} are being hauled by
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY,,{{item}} is in the inventory of
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.HELD_IN_INVENTORY.PLURAL,,{{item}} are in the inventory of
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE,,{{item}} is on fire
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.ON_FIRE.PLURAL,,{{item}} are on fire
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION,,{{item}} is being placed for construction
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PLACED_FOR_CONSTRUCTION.PLURAL,,{{item}} are being placed for construction
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT,,{{item}} is on an import pallet
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_IMPORT.PLURAL,,{{item}} are on an import pallet
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT,,{{item}} is being moved to an export palle
GUI.RESOURCE_MANAGEMENT.ITEM_ALLOCATION_PURPOSE.PRODUCTION_OUTPUT.PLURAL,,{{item}} are being moved to an export pallet
GUI.RESOURCE_MANAGEMENT.QUANTIFIED_ITEM,,{{quantity}} {{item}}
GUI.RESOURCE_MANAGEMENT.SEARCH,,Search
GUI.RESOURCE_MANAGEMENT.SORT_BY,,Sort By
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources
GUI.RESOURCE_MANAGEMENT.TOTAL,,Total
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}}
GUI.ROOFING.ADD,,Add
GUI.ROOMS_LABEL,,Rooms
GUI.ROTATE_FURNITURE.HINT,This is a longer label as a hint to the player,Press (R) to rotate furniture
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…
GUI.SELECT_WEAPON.LABEL,,Select weapon
GUI.SETTINGS.LABEL,,Settings
GUI.SETTLER_MANAGEMENT.CHOOSE_ARMOUR,,Choose Armour
GUI.SETTLER_MANAGEMENT.CHOOSE_SHIELD,,Choose Shield
GUI.SETTLER_MANAGEMENT.CHOOSE_WEAPON,,Choose Weapon
GUI.SETTLER_MANAGEMENT.HAPPINESS,,Happiness {{happinessValue}}
GUI.SETTLER_MANAGEMENT.IMMIGRATION,,Immigration
